whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
ich,ich,20.919999999999998,21.7803173065,21.86,21.8920631409
würde,würd,21.86,21.8920631409,22.04,22.0535144806
so,so,22.04,22.0535144806,22.18,22.1982765198
gerne,gerne,22.18,22.1982765198,22.4,22.4943313599
meinen,meinen,22.4,22.4943313599,22.72,22.7918357849
namen,namen,22.72,22.7918357849,23.2,23.2272109985
verlieren,verliern,23.2,23.3360538483,24.46,24.4506130219
das,das,24.46,24.8917922974,25.08,25.1704311371
wäre,wär,25.08,25.1704311371,25.36,25.4490699768
schon,schon,25.36,25.4490699768,25.78,25.7937412262
unweg,okay,25.78,25.7937412262,26.26,26.3793201447
vollkommen,vollkommen,26.26,26.538230896,26.88,26.9017696381
in,unerkannt,26.88,26.9017696381,27.02,27.412607193
unerkannte,durch,27.02,27.412607193,27.5,27.5243530273
straßen,straßen,27.5,27.5243530273,27.96,28.1752376556
marschieren,maschiern,27.96,28.1752376556,29.12,29.2201366425
no,no,29.12,29.694694519,29.84,29.8536052704
you,you,30.06,29.9624481201,30.18,30.2976875305
dont,dont,30.18,30.2976875305,30.56,30.5213603973
know,know,30.56,30.5959186554,30.84,30.8985042572
me,me,30.84,30.8985042572,31.16,31.4144210815
es,es,31.16,31.4144210815,31.48,31.5160083771
würde,würde,31.48,31.5160083771,31.7,31.7953739166
niemand,niemand,31.7,31.7953739166,32.04,32.1001358032
danach,danach,32.04,32.1001358032,32.28,32.3613586426
fragen,fragen,32.28,32.3613586426,32.8,32.9904747009
was,was,32.84,32.9904747009,33.22,33.2952384949
geht,geht,33.22,33.2952384949,33.74,34.0527877808
alter,alter,33.74,34.4903411865,34.7,34.7755088806
scheiß,scheiß,34.7,34.7755088806,35.06,35.1259880066
auf,auf,35.06,35.1259880066,35.22,35.2565994263
mein,mein,35.22,35.2565994263,35.38,35.3937416077
smartphone,smartphone,35.38,35.3937416077,35.96,36.1164627075
und,und,35.96,36.3363265991,36.44,36.4212226868
ich,ich,36.44,36.4952392578,36.62,36.6410865784
hätte,hätte,36.62,36.6410865784,36.78,36.9008598328
endlich,endlich,36.78,36.9008598328,37.14,37.1831283569
zeit,zeit,37.14,37.1831283569,37.38,37.4051704407
zu,zu,37.38,37.4581413269,37.68,37.7367782593
verstehen,verstehn,37.68,37.7367782593,38.36,38.9289779663
ich,ich,38.36,39.2812690735,39.42,39.4615859985
muss,muss,39.42,39.4615859985,39.58,39.6520652771
einfach,einfach,39.58,39.6520652771,39.96,40.0326538086
mal,mal,39.96,40.0326538086,40.26,40.2089805603
da,klar,40.26,40.2089805603,40.38,40.4419059753
ich,kommen,40.38,40.4419059753,40.7,40.5790481567
schließ,ich,40.7,40.5790481567,41.18,40.8228569031
mich,schließ,41.18,40.8228569031,41.56,41.2560539246
ein,mich,41.56,41.2560539246,42.42,41.7349662781
und,ein,42.42,41.7349662781,43.12,42.5970077515
komm,und,43.12,42.8843536377,43.58,43.20362854
nicht,komm,43.58,43.20362854,44.02,43.6825408936
raus,nicht,44.02,43.6825408936,44.5,44.0939674377
ich,raus,44.5,44.0939674377,44.92,44.6926078796
bin,ich,44.92,44.6926078796,45.22,44.9799537659
ein,bin,45.22,44.9799537659,45.58,45.2172317505
freak,ein,45.58,45.2172317505,46.22,45.5423126221
ein,freak,46.38,45.5423126221,46.7,46.2459869385
freak,ein,46.7,46.4805450439,47.3,46.7200012207
rede,freak,47.3,46.7729721069,47.88,47.4187736511
ständig,rede,47.88,47.719909668,48.2,47.9317932129
von,ständig,48.2,47.9317932129,48.4,48.2409057617
meinem,von,48.4,48.2409057617,48.56,48.4266662598
wunderschönen,meinem,48.56,48.4266662598,49.18,48.5892066956
