whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,through,3.500000000000001,32.4483757019,3.74,32.7687721252
you,days,3.74,32.7687721252,3.86,32.9775009155
thank,of,33.26,32.9775009155,34.66,33.1689376831
you,thunders,34.66,33.1689376831,34.9,34.1006813049
thank,continuing,67.65999999999998,34.2626152039,69.05999999999999,34.945224762
you,stolid,69.05999999999999,34.945224762,70.46,36.7286567688
thank,smiles,99.17999999999999,36.7286567688,100.58,38.207824707
you,to,100.58,38.207824707,101.98,38.4139137268
thank,wear,147.17999999999998,38.4139137268,148.57999999999998,40.0961456299
you,were,148.57999999999998,40.5532493591,149.98,41.2015647888
thank,going,150.0,41.2015647888,150.74,41.5122032166
you,on,150.74,41.5122032166,152.0,42.4399108887
thank,we,189.16,43.035987854,190.56,43.3090324402
you,nearly,190.56,43.3090324402,191.28,44.0780029297
thank,carried,218.6,44.1550102234,220.0,45.1505508423
you,it,220.0,45.1505508423,220.0,45.5248527527
thank,to,240.94,45.5248527527,241.54,45.8009796143
you,the,241.54,45.8009796143,242.14,46.073928833
,end,,46.073928833,,46.9752388
,and,,47.3192024231,,47.4627838135
,every,,47.4627838135,,47.8643302917
,whisper,,47.8643302917,,48.8812713623
,and,,49.0558319092,,49.2741317749
,every,,49.2741317749,,49.6550674438
,beat,,49.6550674438,,50.5100784302
,of,,50.5100784302,,51.5111122131
,windy,,51.5983390808,,53.3733215332
,heart,,53.3733215332,,54.9108390808
,were,,55.2953834534,,55.9023513794
,holding,,55.9023513794,,56.2681274414
,on,,56.2681274414,,57.3857841492
,for,,57.7583503723,,57.9339065552
,the,,57.9339065552,,58.0585212708
,moment,,58.0585212708,,59.0652732849
,when,,59.0652732849,,59.7548904419
,we,,59.7548904419,,61.971157074
,unite,,62.0326004028,,64.3294296265
,no,,64.5112838745,,65.2076950073
,face,,65.2076950073,,66.0579910278
,is,,66.0579910278,,66.3609848022
,seen,,66.3609848022,,66.8973999023
,at,,66.8973999023,,67.0641708374
,dusk,,67.0641708374,,67.6600418091
,of,,67.7190628052,,67.9225082397
,a,,67.9225082397,,68.1010742188
,raining,,68.1010742188,,68.8164596558
,day,,68.8164596558,,69.4987792969
,no,,69.6668243408,,69.9685134888
,name,,69.9685134888,,71.2780075073
,is,,71.6574401855,,71.8016738892
,spoken,,71.8016738892,,72.3530654907
,in,,72.3530654907,,72.5439834595
,a,,72.5439834595,,73.724937439
,loud,,73.724937439,,74.3538894653
,voice,,74.3538894653,,75.4947433472
,still,,75.4947433472,,76.4269790649
,still,,76.4269790649,,77.3739395142
,one,,77.3739395142,,78.015625
,day,,78.015625,,78.6821517944
,it,,78.6821517944,,79.0216064453
,all,,79.0216064453,,80.1204528809
,will,,80.3616256714,,80.6543045044
,gone,,80.6543045044,,80.9554443359
,forever,,80.9554443359,,82.0825424194
,will,,82.1838912964,,82.5021362305
,gone,,82.5021362305,,82.7741699219
,forever,,82.7741699219,,84.770942688
,dont,,84.770942688,,85.4032211304
,close,,85.4032211304,,85.856880188
,your,,85.856880188,,86.4410552979
,eyes,,86.4410552979,,87.4652862549
,youll,,87.8066940308,,87.9958877563
,gone,,87.9958877563,,88.275970459
,forever,,88.275970459,,89.3968276978
,youll,,89.6231842041,,89.8995437622
,gone,,89.8995437622,,90.1975021362
,forever,,90.1975021362,,95.1511154175
,just,,95.1511154175,,95.2832183838
