whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
du,du,19.479999999999997,20.2488880157,20.4,20.5866661072
bist,bist,20.4,20.5866661072,20.86,20.9574604034
es,es,20.86,20.9574604034,21.18,21.2723808289
nicht,nicht,21.18,21.2723808289,21.64,21.7048530579
die,die,21.82,21.9682540894,22.12,22.236371994
so,so,22.12,22.236371994,22.4,22.4025402069
sehr,sehr,22.4,22.4025402069,22.9,23.0864391327
für,für,22.9,23.7460308075,23.88,24.0
eine,eine,23.88,24.0,24.36,24.4774608612
sache,sache,24.36,24.4774608612,24.92,25.0895233154
brennt,brennt,24.92,25.0895233154,25.5,25.5419502258
dass,dass,25.5,25.6380958557,25.82,25.9073009491
man,man,25.82,25.9073009491,26.14,26.2222213745
sie,sie,26.14,26.2222213745,26.48,26.6514282227
hinterher,hinterher,26.48,26.6514282227,27.48,27.4967803955
vor,vor,27.48,27.4967803955,27.72,27.71301651
lauter,lauter,27.72,27.71301651,28.24,28.4571437836
ruhs,ruß,28.24,28.4571437836,28.92,28.9625396729
nicht,nicht,28.92,28.9625396729,29.22,29.26222229
wiedererkennt,wiedererkennt,29.22,29.26222229,30.84,30.9812240601
du,du,31.1,31.7790470123,31.86,31.8755550385
stehst,stehst,31.86,31.8755550385,32.22,32.2583236694
nicht,nicht,32.22,32.3276176453,32.56,32.5752372742
unter,unter,32.56,32.6577758789,32.98,32.9375038147
strom,strom,32.98,33.0057144165,33.58,33.7095680237
zumindest,zumindest,34.28,34.4308395386,34.82,34.988117218
nicht,nicht,34.82,34.988117218,35.2,35.2136955261
permanent,permanent,35.2,35.2888870239,35.86,36.0489807129
auch,auch,36.18,36.2311096191,36.5,36.4821777344
für,für,36.5,36.4821777344,36.8,36.9306106567
die,die,36.8,36.9306106567,37.12,37.2027206421
kleinen,kleinen,37.12,37.2027206421,37.68,37.9602737427
dinge,dinge,37.68,37.9602737427,38.26,38.4783668518
bleiben,bleiben,38.26,38.4783668518,38.8,39.0677566528
dir,dir,38.8,39.2642173767,39.46,39.6560554504
immer,immer,39.46,39.6560554504,39.82,39.8998641968
noch,noch,39.82,39.8998641968,40.16,40.3196372986
ein,ein,40.16,40.3196372986,40.48,40.5507469177
paar,paar,40.48,40.5507469177,40.72,40.8845367432
prozent,prozent,40.72,40.9839439392,41.28,41.455783844
du,du,41.5,41.6130599976,41.76,41.9874839783
bist,bist,41.76,41.9874839783,42.22,42.3140144348
es,es,42.22,42.3140144348,42.5,42.5687065125
nicht,nicht,42.5,42.6536064148,42.96,43.1891174316
die,die,43.38,43.3088417053,43.56,43.602722168
gern,gern,43.56,43.602722168,43.84,43.8182296753
etwas,etwas,43.84,43.8182296753,44.34,44.5765075684
auf,auf,44.34,45.1091156006,45.26,45.2985038757
sich,sich,45.26,45.2985038757,45.5,45.631565094
beruhen,beruhen,45.5,45.631565094,46.4,46.4195899963
lässt,lässt,46.4,46.4195899963,46.78,46.9072113037
oder,oder,46.82,46.9072113037,47.36,47.5940132141
die,die,47.36,47.5940132141,47.76,47.8214950562
schon,schon,47.76,47.8214950562,48.14,48.2655792236
bevor,bevor,48.14,48.2655792236,48.72,48.9404067993
es,das,48.72,48.9404067993,49.1,49.1297950745
licht,licht,49.1,49.1297950745,49.38,49.4519729614
anbietet,angeht,49.38,49.4519729614,50.26,50.2465324402
den,den,50.58,50.2465324402,50.58,50.5600013733
kinosaal,kinosaal,50.58,50.5600013733,51.5,51.5200004578
verlässt,verlässt,51.5,51.5200004578,52.4,52.210067749
als,was,52.4,52.6280288696,52.88,52.8961448669
