whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
wenn,man,8.679999999999996,3.546122551,9.52,3.7257142067
andere,o,9.52,3.7257142067,10.28,3.8008162975
ihre,man,10.28,3.8008162975,11.02,4.0460772514
kinder,am,11.02,4.597550869,11.94,4.7640814781
betten,ende,11.94,4.7640814781,13.22,5.0009975433
brennt,des,13.46,5.0009975433,14.54,5.2016324997
im,tages,14.54,5.2016324997,14.88,5.5974602699
büro,ist,14.88,5.5974602699,15.64,5.9301586151
ein,noch,15.64,5.9301586151,16.12,6.0901589394
licht,arbeit,16.12,6.0901589394,16.86,6.5549206734
man,übrig,17.28,6.5549206734,17.82,7.2794556618
sieht,wenn,17.82,9.4868030548,18.18,9.6711111069
dich,andere,18.18,9.6711111069,18.34,10.4489793777
da,ihre,18.34,10.6347389221,18.62,11.2471656799
die,kinder,18.94,11.3429479599,19.1,12.2165985107
firma,betten,19.1,12.3036737442,19.84,13.424036026
retten,brennt,19.84,13.9609975815,21.0,14.5066671371
die,im,21.44,14.5066671371,22.04,14.9710655212
sonst,büro,22.04,14.9710655212,22.66,15.6734695435
zusammenbricht,ein,22.66,15.7663488388,24.92,16.132062912
na,licht,25.58,16.132062912,26.12,17.0782775879
ja,man,26.12,17.7371425629,26.32,17.8996829987
kollege,sieht,26.36,17.8996829987,26.64,18.1859416962
einer,dich,26.88,18.1859416962,26.98,18.4018135071
muss,dort,26.98,18.4018135071,27.18,18.7297954559
sich,die,27.18,18.8879814148,27.3,19.2562351227
ja,firma,27.3,19.2562351227,27.4,20.1287975311
darum,retten,27.4,20.1287975311,27.66,21.3761444092
kümmern,die,27.66,21.7919273376,28.04,22.2273006439
es,sonst,33.18,22.2273006439,34.0,22.807800293
ist,zusammenbricht,34.0,22.807800293,34.3,25.2540588379
noch,naja,34.3,26.0694789886,34.74,26.4068927765
arbeit,kollege,34.74,26.4068927765,35.64,26.822675705
übrig,einer,35.64,26.822675705,36.44,27.0875282288
du,muss,36.46,27.0875282288,37.84,27.2108840942
hasts,sich,37.84,27.2108840942,38.44,27.3124713898
