whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
sous,wo,29.400000000000002,47.5784111023,29.48,47.9568252563
titrage,gibts,29.48,47.9568252563,29.56,48.3613586426
st,den,29.56,48.3613586426,29.58,48.7328796387
501,besten,29.6,48.7328796387,29.64,49.3714294434
sous,milchkaffee,30.0,49.3714294434,30.5,50.6049880981
titrage,himbeer,30.5,53.8184127808,49.18,54.6176872253
st,oder,49.18,54.7326965332,49.18,55.2692985535
501,roiibusch,49.18,55.2692985535,49.34,55.9949188232
sous,tee,87.17999999999999,55.9949188232,88.58,56.5986404419
titrage,wo,88.58,59.5098419189,89.98,59.9031295776
st,gibt,89.98,59.9031295776,89.98,60.3784141541
501,es,89.98,60.3784141541,89.98,60.6349220276
sous,frühstück,106.27999999999999,60.6349220276,107.67999999999999,61.4831733704
titrage,bis,107.67999999999999,61.4831733704,109.08,61.8336524963
st,nach,109.08,61.8336524963,109.08,62.3568267822
501,zwei,109.08,62.3568267822,109.08,63.3251686096
sous,cafe,109.08,65.1961898804,109.74,65.7498397827
titrage,jenseitz,109.74,65.7498397827,126.68,67.1288909912
st,wo,126.68,71.5319747925,127.08,71.8802719116
501,wird,127.08,71.8802719116,127.1,72.2256698608
sous,man,127.1,72.2982330322,129.08,72.57396698
titrage,immer,129.08,72.7365112305,134.0,73.309753418
st,nett,134.0,73.437461853,134.0,73.7668914795
501,begrüßt,134.0,73.8514251709,134.02,74.7029495239
sous,wo,161.1,77.5339660645,162.5,77.9225387573
titrage,tuckt,162.5,77.9225387573,163.9,78.3180007935
st,der,163.9,78.3180007935,163.9,78.5422210693
501,chef,163.9,78.5422210693,163.9,79.1238098145
sous,in,236.04,79.1238098145,237.44,79.4819030762
titrage,der,237.44,79.4819030762,238.84,79.717010498
st,kombüse,238.84,79.8273010254,238.84,80.5369644165
501,wo,238.84,83.5773239136,238.84,83.7841262817
sous,sieht,238.84,83.7841262817,241.46,84.2739257812
titrage,man,241.46,84.350479126,242.9,84.7288894653
st,dir,242.9,84.7288894653,242.9,85.1047592163
501,gern,242.9,85.1047592163,243.32,85.4907913208
,auf,,85.4907913208,,85.9155578613
,dein,,86.057144165,,86.4870758057
,teil,,86.5879364014,,87.4594116211
,cafe,,89.1987304688,,89.742225647
,jenseitz,,89.742225647,,90.9104766846
,wo,,95.5682525635,,95.7387771606
,dreht,,95.8755569458,,96.2350997925
,man,,96.2920608521,,96.6516113281
,gleich,,96.6516113281,,97.0463485718
,den,,97.0463485718,,97.3866653442
,kopf,,97.3866653442,,97.7175521851
,zurück,,97.789390564,,98.4228591919
,nur,,101.4933319092,,101.8579559326
,weil,,101.9149169922,,102.3492050171
,ein,,102.3492050171,,102.7200012207
,gast,,102.7200012207,,103.0661239624
,die,,103.0661239624,,103.275100708
,klinke,,103.4107971191,,104.2565078735
,drückt,,104.5384140015,,105.2016296387
,wo,,107.5301589966,,107.8374633789
,sitzt,,107.8374633789,,108.2732009888
,man,,108.2732009888,,108.6577758789
,gerne,,108.6577758789,,109.1134719849
,auch,,109.2139663696,,109.5923843384
,zu,,109.5923843384,,109.8710174561
,zweit,,109.9250793457,,110.6285705566
,im,,112.995552063,,113.1961898804
,cafe,,113.1961898804,,113.7396850586
,jenseitz,,113.7396850586,,114.8952407837
,wo,,119.508026123,,119.8179626465
,gibt,,119.9212722778,,120.2133331299
,es,,120.3428573608,,120.6146011353
,bowle,,120.7441253662,,121.2901611328
,mal,,121.2901611328,,121.8793640137
,umsonst,,121.8793640137,,122.5868453979
,wenn,,125.4400024414,,125.9479370117
,du,,125.9479370117,,126.1931991577
,zur,,126.280632019,,126.6343765259
,grand,,126.6343765259,,127.0679397583
,prix,,127.0679397583,,127.3295211792
,party,,127.4641265869,,128.282989502
,kommst,,128.5561828613,,129.1711578369
,wo,,131.4285736084,,131.7137451172
,kassierst,,131.8679351807,,132.4850769043
,du,,132.4850769043,,132.9447631836
,sechzig,,132.9447631836,,133.8488922119
,euro,,133.8488922119,,134.6184082031
,dann,,134.6184082031,,135.0182342529
,im,,136.8228607178,,137.0296630859
,cafe,,137.1987304688,,137.8184051514
,jenseitz,,137.8184051514,,138.9583740234
,das,,140.5739746094,,140.8696594238
,cafe,,140.9447631836,,141.7904815674
,für,,141.7904815674,,142.6634063721
,den,,142.854598999,,143.250793457
,mann,,143.250793457,,143.9738769531
