whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
someday,someday,13.52,13.699010849,14.4,14.5689697266
youll,youll,14.4,14.5689697266,14.84,14.8902082443
come,come,14.84,14.8902082443,15.3,15.4019365311
back,back,15.3,15.4019365311,15.74,15.9263086319
here,here,15.74,15.9263086319,16.68,17.7545585632
and,and,18.880000000000003,19.5887050629,19.76,19.7871379852
youll,youll,19.76,19.7871379852,20.18,20.2343215942
open,open,20.18,20.2343215942,20.64,20.9177265167
up,up,20.64,20.9177265167,21.18,21.2478218079
your,your,21.18,21.2478218079,21.48,21.5528755188
arms,arms,21.48,21.5528755188,22.5,22.7787761688
and,youll,24.9,25.6086235046,25.78,26.0870227814
youll,laugh,25.78,26.0870227814,26.16,26.4117202759
laugh,and,26.16,26.4117202759,26.54,26.7926254272
and,say,26.54,26.7926254272,26.76,27.1985397339
say,i,26.76,27.1985397339,27.12,27.5401592255
i,knew,27.12,27.5401592255,27.5,27.9646606445
knew,it,27.5,27.9646606445,27.84,28.3406791687
it,wouldnt,27.84,28.3406791687,28.28,29.0273265839
wouldnt,take,28.28,29.0273265839,29.02,29.4126281738
take,you,29.02,29.4126281738,29.36,29.9537410736
you,long,29.36,30.2410984039,29.84,31.1814956665
long,to,29.84,31.9245758057,30.54,32.1252174377
to,realize,30.54,32.1252174377,32.06,32.969783783
realize,i,32.06,32.969783783,32.64,33.2469215393
i,was,32.64,33.2469215393,33.16,33.4937934875
was,gone,33.16,33.4937934875,33.46,34.4526062012
gone,its,33.46,37.7883682251,33.94,38.1103782654
and,only,36.7,38.1103782654,37.74,38.8056030273
its,been,37.74,38.8056030273,38.18,39.5838928223
only,three,38.18,39.5838928223,38.62,39.9347496033
been,years,38.62,39.9347496033,39.14,41.5405006409
three,but,39.14,43.6785583496,39.62,43.8740653992
years,for,39.62,43.8740653992,40.74,44.1230735779
but,me,42.78,44.1230735779,43.82,44.5404396057
to,its,43.82,44.5404396057,44.06,44.8561172485
me,been,44.06,44.8561172485,44.32,45.1226463318
its,so,44.32,45.1226463318,44.82,45.2960357666
been,long,44.82,45.2960357666,45.04,46.3876647949
so,i,45.04,49.6228485107,45.38,49.7936973572
long,remember,45.38,49.7936973572,45.86,50.8668518066
and,it,48.660000000000004,50.8668518066,49.7,51.1865158081
i,like,49.7,51.1865158081,49.88,51.5183677673
remember,yesterday,49.88,51.5183677673,50.5,53.2578697205
it,oh,50.5,53.5155067444,51.16,53.7401504517
like,you,51.16,53.7401504517,51.52,53.8694877625
yesterday,could,51.52,53.8694877625,52.3,54.2737197876
oh,say,52.3,54.2737197876,53.68,55.1938323975
you,ive,53.68,55.6150398254,53.98,55.9250144958
could,been,53.98,55.9250144958,54.24,56.723110199
say,holding,54.24,56.723110199,54.82,57.3264274597
ive,on,54.82,57.3264274597,56.04,58.2588653564
been,ive,56.04,60.371219635,56.48,60.653968811
holding,waited,56.48,60.653968811,57.18,61.9305229187
on,all,57.18,62.1658935547,57.84,62.9521408081
and,of,59.2,62.9521408081,60.22,63.1833953857
i,my,60.22,63.1833953857,60.52,63.390789032
waited,life,60.52,63.390789032,61.46,64.5369644165
all,for,61.46,64.8428878784,62.54,65.1888198853
of,you,62.54,65.1888198853,63.22,65.5757522583
my,to,63.22,65.5757522583,63.42,65.8106002808
life,make,63.42,65.8106002808,64.4,66.2568130493
for,it,64.4,66.2568130493,65.1,66.5709686279
you,right,65.1,66.5709686279,65.36,67.3552856445
to,but,65.36,67.5184783936,65.62,67.6971664429
make,the,65.62,67.6971664429,66.08,68.0064697266
it,time,66.08,68.0064697266,66.42,68.4778366089
right,has,66.42,68.4778366089,66.92,68.7356338501
but,come,66.92,68.7356338501,67.74,69.1567382812
the,and,67.74,69.1567382812,68.0,69.4539489746
time,gone,68.0,69.4539489746,68.54,71.1894760132
has,its,68.54,72.2312927246,68.8,72.6245346069
come,faded,68.8,72.6245346069,69.26,73.9615097046
and,and,69.26,73.9615097046,69.46,74.1445617676
gone,lost,69.46,74.1445617676,70.04,74.8259735107
and,all,71.22,74.8259735107,72.24,75.1576538086
its,its,72.24,75.1576538086,72.64,75.507484436
faded,light,72.64,75.507484436,73.42,76.4981384277
and,a,73.42,76.7921447754,74.14,76.9516601562
lost,star,74.14,76.9516601562,74.86,77.5066375732
all,that,74.86,77.5066375732,75.22,77.8017272949
its,shined,75.22,77.8017272949,75.46,78.1866836548
light,so,75.46,78.1866836548,76.08,78.7736968994
a,bright,76.08,78.895362854,77.06,79.6789321899
star,falls,77.06,79.9401168823,77.5,80.7862472534
