whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
please,yeah,24.779999999999998,19.6767215729,26.06,21.8448982239
dont,oh,26.06,22.6990032196,27.34,23.5624485016
stand,please,27.34,25.69896698,27.54,26.5569038391
over,dont,27.54,26.5569038391,27.98,27.0806350708
here,stand,27.98,27.1931114197,28.62,27.5814533234
act,over,28.62,27.5814533234,29.2,28.1793193817
like,here,29.2,28.1793193817,29.46,28.8810787201
you,act,29.46,28.8810787201,29.66,29.1653423309
care,like,29.66,29.1653423309,30.24,29.3890209198
so,you,30.62,29.3890209198,30.74,29.7443523407
self,care,30.74,29.7443523407,31.12,30.4870014191
aware,so,31.12,30.4870014191,31.58,30.7213897705
i,self,31.58,30.7213897705,32.46,31.1700000763
know,aware,32.46,31.1700000763,33.24,31.9232654572
you,i,33.24,32.1743659973,33.8,32.9342193604
were,know,33.8,32.9342193604,34.16,33.5853767395
not,you,34.16,33.5853767395,34.4,33.8543663025
scared,were,34.4,33.8543663025,34.86,34.1283569336
i,not,34.86,34.1283569336,35.52,34.4022674561
couldve,scared,35.52,34.4022674561,36.1,35.1466674805
died,i,36.1,35.2571983337,36.54,35.4933662415
but,couldve,36.6,35.4933662415,36.92,36.1040840149
that,died,36.92,36.1040840149,37.18,36.6601524353
isnt,but,37.18,36.6601524353,37.66,36.8584480286
fair,that,37.66,36.8584480286,38.16,37.1838111877
but,isnt,39.17999999999999,37.1838111877,39.98,37.6514205933
what,fair,39.98,37.6514205933,40.3,38.3104095459
am,huh,40.3,38.5300598145,40.54,39.1695251465
i,but,40.54,39.8825759888,40.78,40.0911254883
supposed,what,40.78,40.0911254883,41.2,40.2830085754
to,am,41.2,40.2830085754,41.5,40.5531959534
think,i,41.5,40.5531959534,42.22,40.762386322
you,supposed,42.5,40.762386322,42.9,41.3685340881
werent,to,42.9,41.3685340881,43.3,41.6024894714
there,think,43.3,41.6024894714,43.66,42.3111114502
for,you,43.66,42.8024330139,44.04,43.0055961609
me,werent,44.04,43.0055961609,44.78,43.3552093506
cause,there,45.62,43.3552093506,46.42,43.7659263611
im,for,46.42,43.7659263611,46.74,44.2933197021
not,me,46.74,44.2933197021,46.92,44.9828567505
who,cause,46.92,46.2906265259,47.26,46.4600639343
i,im,47.26,46.4600639343,47.68,46.728717804
should,not,47.68,46.728717804,48.52,47.0718612671
be,who,48.52,47.0718612671,49.02,47.342086792
for,i,49.02,47.342086792,49.5,48.344291687
you,should,49.5,48.344291687,49.9,48.6057472229
youve,be,49.9,48.6057472229,50.9,49.1631736755
got,for,50.9,49.2299842834,51.14,49.6195831299
a,you,51.14,49.6195831299,51.34,49.9961891174
record,youve,51.34,50.7362289429,51.84,50.9402198792
and,got,51.84,50.9402198792,52.78,51.1759262085
a,a,52.78,51.1759262085,52.92,51.3650932312
past,record,52.92,51.3650932312,53.78,52.1092071533
