whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
wenn,wenn,0.0,0.3555555642,0.46,0.4774603248
ihr,ihr,0.46,0.5612698197,0.7,0.792380929
es,so,0.7,0.792380929,0.84,0.9110203981
so,weiter,0.84,1.0031746626,1.0,1.4323809147
weitermacht,macht,1.0,1.4323809147,1.64,1.5934693813
dann,verspielt,1.74,1.7531065941,1.92,2.2984127998
stellt,ihr,1.92,2.2984127998,2.18,2.5244443417
ihr,meine,2.18,2.5244443417,2.36,2.9082992077
meine,zukunft,2.36,2.9082992077,2.7,3.389387846
zukunft,seid,2.7,3.9386847019,3.22,4.1763267517
seid,ihr,3.78,4.2920637131,4.2,4.4669389725
ihr,doof,4.2,4.5511112213,4.4,5.23609972
doof,vor,4.4,8.0025396347,5.16,8.2565078735
vor,dem,7.380000000000001,8.2565078735,8.1,8.4431743622
dem,küchenfenster,8.1,8.505396843,8.42,9.6362810135
küchenfenster,steht,8.42,12.3791379929,9.62,12.7129249573
steht,ein,9.62,12.7129249573,12.56,12.9683446884
ein,alter,12.56,12.9683446884,12.94,13.4291152954
alter,baum,12.94,13.5136508942,13.28,13.9203624725
baum,so,13.28,16.5209980011,13.86,16.8547840118
so,alt,16.040000000000003,16.8547840118,16.76,17.1951026917
alt,wie,16.76,17.3384132385,17.24,17.6500682831
wie,er,17.24,17.6500682831,17.5,17.9225387573
er,ist,17.5,17.9225387573,17.84,18.3611793518
ist,krieg,17.84,21.0133342743,18.42,21.2673015594
krieg,ich,18.72,21.2673015594,21.24,21.4987754822
ich,das,21.24,21.4987754822,21.42,21.7251701355
das,grauen,21.42,21.8006343842,21.7,22.2759189606
grauen,der,21.7,25.4146022797,22.2,25.5680732727
der,baum,24.82,25.6685714722,25.54,25.9686164856
baum,der,25.54,25.9686164856,25.88,26.1746940613
der,steht,25.98,26.1746940613,26.08,26.476190567
steht,da,26.08,26.476190567,26.4,26.7145576477
da,seit,26.4,26.7145576477,26.62,27.0599555969
seit,jahren,26.62,27.0599555969,26.9,27.6897964478
jahren,schon,26.9,29.8057136536,27.52,30.1257133484
schon,lang,29.32,30.1257133484,29.98,30.3822231293
lang,bevor,29.98,30.3822231293,30.3,30.9434928894
bevor,wir,30.3,30.9434928894,30.64,31.202539444
wir,da,30.64,31.202539444,31.1,31.4768257141
da,waren,31.1,31.4768257141,31.36,32.1596374512
waren,auch,31.36,34.2171440125,32.04,34.3887519836
auch,wird,34.06,34.4816322327,34.42,34.7682533264
wird,er,34.42,34.7682533264,34.74,35.0418128967
er,nicht,34.74,35.0418128967,34.94,35.3233566284
nicht,vergehn,34.94,35.3233566284,35.24,36.022857666
vergehen,wenn,35.24,38.6742858887,35.96,38.806350708
