whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,es,0.0,36.2031745911,1.88,36.3428573608
you,ist,1.88,36.3428573608,1.9,36.5224494934
thank,weit,30.0,36.5224494934,30.26,36.6933326721
you,gefehlt,30.26,36.8384590149,30.28,37.2585945129
thank,dass,60.0,37.398639679,60.28,37.54920578
you,es,60.28,37.54920578,61.58,37.6907043457
thank,immer,61.58,37.6907043457,62.14,37.9559173584
you,quält,62.14,38.0789108276,62.14,38.3918380737
thank,wenn,62.14,38.4961433411,63.82,38.6321983337
you,ein,63.82,38.6321983337,66.86,38.7882080078
thank,musiker,66.86,38.7882080078,67.48,39.1673469543
you,schlicht,67.48,39.1673469543,67.72,39.4277534485
thank,von,67.72,39.5145568848,68.32,39.6654891968
you,seinem,68.32,39.6654891968,69.72,39.9847602844
thank,alltag,76.18,39.9847602844,77.58,40.309841156
you,spricht,77.58,40.3736953735,77.58,40.684261322
thank,seis,80.55999999999999,40.7564620972,81.96,41.0412712097
you,melancholie,81.96,41.0956916809,82.14,41.9120178223
i,oder,82.14,42.0048980713,82.14,42.2603187561
like,hysterie,82.14,42.2603187561,82.14,43.0784568787
music,wenn,82.14,43.0784568787,82.42,43.2217674255
music,ich,82.52,43.2217674255,82.78,43.3668937683
because,ehrlich,82.98,43.3668937683,83.24,43.7405891418
its,bin,83.24,43.8218612671,83.34,43.993106842
always,hab,83.34,44.5206336975,83.7,44.6657600403
been,ich,83.7,44.6657600403,83.7,44.7981872559
a,das,83.7,44.7981872559,83.7,44.9480285645
dream,nie,83.7,44.9480285645,84.16,45.20054245
i,dieses,86.42,45.3678016663,86.74,45.6798171997
like,magische,86.74,45.6798171997,86.96,46.1090240479
music,greifen,86.96,46.1090240479,91.5,46.5251693726
music,nach,91.62,46.5251693726,91.92,46.6343765259
every,der,92.14,46.6866226196,92.44,46.8263053894
day,neuen,92.44,46.8263053894,92.62,47.0929718018
and,idee,92.62,47.0929718018,92.8,47.566078186
every,was,92.8,47.6643981934,93.0,47.8185958862
week,nur,93.0,47.8185958862,93.42,47.9746017456
i,möglich,93.42,47.9746017456,94.12,48.2780036926
like,sei,94.12,48.3791389465,94.14,48.8090705872
music,mit,94.14,48.8090705872,94.16,48.9650802612
music,der,95.26,48.9650802612,95.28,49.1138305664
because,guten,111.62,49.1138305664,111.62,49.4643096924
its,fee,111.62,49.4643096924,113.0,49.8793640137
always,ist,113.0,49.9700698853,113.22,50.1278915405
been,ne,113.22,50.1278915405,113.76,50.2693862915
a,ideologie,113.76,50.2693862915,113.76,51.0577774048
dream,von,113.76,51.1158294678,113.82,51.3973693848
i,anfang,113.82,51.3973693848,114.18,51.8153305054
wish,an,114.18,51.8153305054,114.34,52.1258964539
i,und,114.34,52.2086181641,114.72,52.4208602905
like,genau,114.72,52.4208602905,114.88,52.8021774292
music,besehen,114.88,52.8021774292,115.48,53.2607727051
which,ist,115.78,53.3696136475,116.28,53.5328788757
tell,da,116.28,53.5328788757,116.36,53.5916557312
me,gar,116.36,53.6700210571,116.38,53.8557815552
how,nichts,116.38,53.8557815552,116.86,54.1006813049
its,dran,116.86,54.1006813049,116.92,54.4594993591
going,komponiern,116.92,54.800907135,117.2,55.697052002
and,und,117.2,55.697052002,117.48,55.9455795288
kiss,dichten,117.48,55.9455795288,117.58,56.4419059753
me,als,117.58,56.7989120483,117.66,57.0010871887
and,bräuchte,117.88,57.0684814453,117.88,57.3551025391
im,man,117.88,57.3551025391,117.88,57.5782318115
just,nur,117.88,57.5782318115,117.98,57.9102058411
kidding,von,117.98,57.9102058411,118.22,58.0843544006
and,den,118.22,58.0843544006,118.64,58.2603187561
i,musen,118.64,58.2603187561,118.72,58.5378684998
