whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
weißt,weißt,19.680000000000007,20.4277553558,20.64,20.6693878174
du,du,20.64,20.6693878174,20.9,21.0514278412
noch,noch,20.9,21.0514278412,21.34,21.3975505829
damals,damals,21.34,21.4639453888,22.08,23.2163257599
als,als,23.1,23.2685718536,23.58,23.6611347198
wir,wir,23.58,23.6611347198,23.86,23.8987751007
durch,durch,23.86,23.8987751007,24.2,24.2677555084
die,die,24.2,24.3199996948,24.5,24.5126533508
straßen,straßen,24.5,24.6334686279,25.12,25.5477542877
gingen,gingen,25.12,25.5477542877,26.1,26.3999996185
weißt,weißt,26.1,26.9257144928,27.16,27.2065315247
du,du,27.16,27.2065315247,27.42,27.552652359
noch,noch,27.42,27.552652359,27.86,27.9020404816
damals,damals,27.86,27.9640808105,28.74,29.3964633942
als,als,29.44,29.3964633942,29.58,29.6065311432
die,die,29.58,29.6065311432,29.76,29.795917511
revolution,revolution,29.76,29.795917511,30.3,30.8128795624
in,in,30.3,30.8128795624,30.96,31.0040817261
den,den,30.96,31.0040817261,31.2,31.2076187134
köpfen,köpfen,31.2,31.2076187134,31.84,32.017414093
war,war,31.84,32.017414093,32.32,32.6269378662
denn,und,33.08,33.4138793945,33.54,33.648979187
damals,damals,33.54,33.648979187,34.32,34.4424476624
dachten,dachten,34.32,34.4424476624,35.08,35.2946929932
sie,sie,35.08,35.2946929932,35.6,35.8579597473
sie,sie,36.06,36.045715332,36.24,36.2677536011
wären,wären,36.24,36.2677536011,36.78,36.894695282
unbesiegbar,unbesiegbar,36.78,36.894695282,38.72,39.5036735535
und,und,39.66,39.9183654785,40.04,40.1273460388
damals,damals,40.04,40.1273460388,40.8,40.9404067993
fühlten,fühlten,40.8,40.9404067993,41.56,41.7676200867
sie,sie,41.56,41.7676200867,42.0,42.1507492065
sich,sich,42.0,42.1507492065,42.48,42.5882987976
zusammen,zusammen,42.48,42.5882987976,43.08,43.432926178
einfach,einfach,43.08,43.432926178,44.0,44.0881614685
unschlagbar,unschlagbar,44.0,44.2340126038,45.34,46.1278915405
heute,heute,65.28,66.3727874756,66.68,66.9561920166
sind,sind,66.68,66.9561920166,67.24,67.3697967529
sie,sie,67.24,67.3697967529,67.8,68.5786819458
in,in,67.8,68.7771453857,69.02,69.0648498535
seattle,seattle,69.02,69.1504745483,69.82,70.1812210083
und,und,69.82,70.1812210083,70.54,70.5893859863
cancun,cancun,70.54,70.5893859863,71.52,71.7206344604
