whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
komm,komm,16.06,16.4799995422,16.6,16.7339687347
her,her,16.6,16.7339687347,16.92,17.0285720825
komm,komm,17.12,17.1740589142,17.32,17.4374599457
her,her,17.32,17.4374599457,17.62,17.7159175873
komm,komm,17.74,17.879365921,17.98,18.1376876831
her,her,17.98,18.1376876831,18.3,18.3722457886
zu,zu,18.3,18.5422229767,18.68,18.9968261719
mir,mir,18.68,18.9968261719,19.26,19.3306121826
du,du,19.26,19.9949207306,20.02,20.1955547333
hast,hast,20.02,20.1955547333,20.28,20.439365387
drei,drei,20.28,20.439365387,20.5,20.6730155945
wünsche,wünsche,20.5,20.6730155945,20.88,21.0514278412
frei,frei,20.88,21.0514278412,21.32,21.4318370819
komm,komm,21.56,21.5390472412,21.68,21.7752380371
und,und,21.68,21.7752380371,21.94,22.0012702942
sag,sag,21.94,22.0012702942,22.18,22.2247619629
was,was,22.28,22.2247619629,22.4,22.4482536316
wünschst,wünschst,22.4,22.4482536316,22.74,22.7250785828
du,du,22.74,22.7250785828,22.9,22.9471206665
dir,dir,22.9,22.9471206665,23.2,23.2604084015
komm,komm,23.54,23.8425388336,24.0,24.1269836426
her,her,24.0,24.1269836426,24.3,24.3836727142
komm,komm,24.52,24.5688896179,24.68,24.8431739807
her,her,24.68,24.8431739807,24.98,25.0579586029
komm,komm,25.18,25.2429924011,25.38,25.5071201324
her,her,25.38,25.5071201324,25.72,25.8401813507
mein,mein,26.0,25.9512023926,26.16,26.2465305328
kind,kind,26.16,26.3796825409,26.6,26.7918357849
ich,ich,26.6,27.3625392914,27.5,27.5733337402
hab,hab,27.5,27.5733337402,27.7,27.7892055511
für,für,27.7,27.7892055511,27.94,28.0177783966
dich,dich,27.94,28.0177783966,28.14,28.2590484619
drei,drei,28.14,28.2590484619,28.36,28.4774608612
nüsse,nüsse,28.36,28.4774608612,28.82,28.9407711029
die,die,28.98,28.9407711029,29.06,29.1526527405
für,für,29.06,29.1526527405,29.3,29.3968257904
deine,deine,29.3,29.3968257904,29.72,29.8463497162
wünsche,wünsche,29.72,29.8463497162,30.18,30.3314285278
sind,sind,30.18,30.3314285278,30.6,30.756280899
drei,drei,30.6,31.0653972626,31.16,31.2888889313
nüsse,nüsse,31.16,31.2888889313,31.48,31.5250797272
das,das,31.54,31.5250797272,31.66,31.7485713959
ist,ist,31.66,31.7485713959,31.84,31.9720630646
krümann,cool,31.84,31.9720630646,32.34,32.2082557678
wie,mann,32.46,32.2082557678,32.54,32.432472229
im,wie,32.54,32.432472229,32.66,32.5659866333
film,im,32.66,32.5659866333,32.96,32.7459411621
von,film,32.96,32.7459411621,33.18,33.0013618469
aschenbrödel,vom,33.18,33.0013618469,33.96,33.3264389038
endlich,aschenbrödel,33.96,33.3264389038,34.8,34.1318817139
schluss,endlich,34.8,34.4584121704,35.04,34.8825378418
mit,schluss,35.04,34.8825378418,35.3,35.157913208
all,mit,35.3,35.157913208,35.52,35.4412689209
den,all,35.52,35.4412689209,35.72,35.5961914062
sorgen,den,35.72,35.5961914062,36.22,35.847618103
von,sorgen,36.22,35.847618103,36.48,36.3047637939
gestern,von,36.48,36.3047637939,36.94,36.5815887451
heute,gestern,36.94,36.5815887451,37.42,37.0401802063
und,heute,37.42,37.3282546997,37.66,37.54920578
morgen,und,37.66,37.54920578,38.06,37.7853965759
geht,morgen,38.06,37.7853965759,38.34,38.1619949341
nur,geht,38.34,38.1619949341,38.54,38.4126968384
noch,nur,38.54,38.4126968384,38.76,38.6336517334
die,noch,38.76,38.6336517334,38.98,38.8647613525
party,die,38.98,38.8647613525,39.38,39.1187286377
ab,party,39.38,39.1187286377,39.68,39.448890686
her,ab,39.68,39.448890686,39.86,39.6712913513
mit,her,39.86,39.6712913513,40.06,39.8831748962
den,mit,40.06,39.8831748962,40.24,40.0660324097
nüssen,den,40.24,40.0660324097,40.5,40.2742843628
ich,nüssen,40.5,40.2742843628,40.9,40.6131515503
geh,ich,40.9,40.7684364319,41.06,40.9716110229
ins,geh,41.06,40.9716110229,41.3,41.1283454895
kdw,ins,41.3,41.1283454895,41.88,41.3692512512
zum,kdw,41.88,41.3692512512,42.16,42.0542411804
shoppen,zum,42.16,42.0542411804,42.62,42.2628555298
korken,shoppen,42.76,42.2628555298,43.12,42.6768264771
knallen,korken,43.12,42.7566452026,43.56,43.2609519958
hüllen,knallen,43.7,43.2609519958,43.98,43.6883430481
fallen,hüllen,43.98,43.6883430481,44.4,44.0772781372
und,fallen,44.4,44.0772781372,44.72,44.5997276306
die,und,44.72,44.5997276306,44.94,44.794921875
popkörner,die,44.94,44.794921875,45.84,45.1410446167
poppen,popkörner,45.84,45.3253517151,46.34,45.9014968872
nie,poppen,46.34,46.0393638611,46.82,46.4094314575
wieder,nie,46.82,46.7022209167,47.1,46.9231758118
das,wieder,47.1,46.9231758118,47.36,47.1655311584
gerödel,das,47.36,47.1655311584,47.88,47.4641265869
