whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
i,i,14.600000000000001,15.716211319,15.32,15.8351020813
see,see,15.32,15.9436130524,16.04,16.1690177917
your,your,16.04,16.1690177917,16.3,16.2808170319
face,face,16.3,16.3995399475,16.78,16.8897953033
everywhere,everywhere,16.78,16.9415740967,17.44,17.8043880463
that,that,17.44,17.8043880463,18.06,18.0210876465
i,i,18.06,18.0933322906,18.28,18.2690353394
go,go,18.28,18.2690353394,18.6,18.6253051758
on,on,18.6,18.7304153442,18.94,18.8669395447
the,the,18.94,18.9341506958,19.12,19.1654548645
clouds,clouds,19.12,19.1654548645,19.66,19.6458969116
and,in,19.66,19.6458969116,19.86,19.8649177551
the,the,19.86,19.8649177551,20.02,20.0345935822
sky,sky,20.02,20.0345935822,20.42,20.5518360138
on,on,20.42,20.6414833069,20.78,20.8376140594
the,the,20.78,20.8376140594,20.98,21.0932292938
faces,faces,20.98,21.0932292938,21.6,21.7371425629
of,of,21.6,21.8139457703,21.9,21.9314289093
strangers,strangers,21.9,22.0316543579,22.64,23.0304088593
the,the,22.64,23.0304088593,23.12,23.2070007324
birds,birds,23.12,23.2070007324,23.4,23.405714035
sing,sing,23.4,23.4648036957,23.6,23.6538314819
your,your,23.6,23.7168502808,23.84,23.8988132477
name,name,23.84,23.8988132477,24.28,24.2558956146
and,and,24.28,24.3749217987,24.56,24.6234836578
the,the,24.56,24.6234836578,24.74,24.7738780975
fists,fish,24.74,24.8481483459,25.14,25.224489212
try,try,25.14,25.2887992859,25.46,25.5531654358
to,to,25.46,25.5531654358,25.68,25.6571426392
talk,talk,25.68,25.7654933929,26.08,26.1061229706
cause,cause,26.08,26.2000408173,26.44,26.4434204102
without,without,26.44,26.4434204102,26.92,27.0040817261
you,you,26.92,27.1522140503,27.36,27.333152771
the,the,27.36,27.3934593201,27.54,27.5540142059
world,world,27.54,27.6075305939,28.04,28.011428833
would,would,28.04,28.0910606384,28.24,28.270067215
be,be,28.24,28.3297252655,28.46,28.4881629944
too,too,28.46,28.6020679474,28.82,29.0001296997
dark,dark,28.82,29.0001296997,29.2,29.1954193115
to,to,29.2,29.1954193115,29.4,29.4204082489
matter,matter,29.4,29.4846935272,30.06,30.2808170319
youre,youre,30.06,30.4893245697,30.86,30.7697734833
like,like,30.86,30.7697734833,31.0,31.0073471069
the,the,31.0,31.1277084351,31.28,31.2636737823
sun,sun,31.28,31.3922023773,31.82,31.9444904327
youre,youre,31.82,32.3488388062,32.5,32.5110206604
so,so,32.5,32.5902709961,32.76,32.8440818787
far,far,32.76,32.8985328674,33.06,33.1732749939
away,away,33.06,33.1732749939,33.58,33.7363510132
but,but,33.58,33.7363510132,33.88,34.0370101929
your,your,33.88,34.0370101929,34.1,34.2434921265
light,light,34.1,34.2434921265,34.68,34.7089118958
shines,shines,34.68,34.8640594482,35.16,35.2218017578
on,on,35.16,35.2218017578,35.58,35.603263855
it,and,35.58,36.1341514587,36.32,36.3124504089
brightens,brightens,36.32,36.3124504089,36.76,36.8119697571
each,each,36.76,36.8119697571,36.96,37.0769119263
day,day,36.96,37.0769119263,37.34,37.5353355408
when,when,37.34,37.5353355408,37.66,37.6756401062
youre,youre,37.66,37.6756401062,37.86,38.0015945435
not,not,37.86,38.0015945435,38.46,38.6297340393
around,around,38.46,38.6297340393,39.22,39.5151023865
you,you,39.22,39.8237037659,39.94,39.9921875
make,make,39.94,39.9921875,40.28,40.2840805054
it,it,40.28,40.3927001953,40.46,40.6026611328
worthwhile,worthwhile,40.46,40.6026611328,40.94,41.275100708
to,to,40.94,41.3576660156,41.38,41.4661216736
expect,expect,41.38,41.6243553162,41.94,42.16979599
you,you,41.94,42.2617912292,42.68,43.0140380859
youre,youre,42.68,43.2647819519,43.68,43.5441589355
like,like,43.68,43.5441589355,44.12,44.2106132507
the,the,44.12,44.3010177612,44.4,44.4643096924
sun,sun,44.4,44.4643096924,45.0,45.0710220337
you,you,45.0,45.4362602234,45.56,45.7080421448
turn,turn,45.56,45.7080421448,45.92,46.0285224915
on,on,45.92,46.0285224915,46.12,46.1502037048
a,a,46.12,46.2961273193,46.34,46.4342193604
switch,switch,46.34,46.4342193604,46.78,46.7232666016
and,and,46.78,46.8414573669,47.06,47.0237464905
the,the,47.06,47.0237464905,47.24,47.2983436584
gloom,gloom,47.24,47.2983436584,48.0,47.8420639038
is,is,48.0,48.0233078003,48.24,48.2270050049
gone,gone,48.24,48.2948989868,48.58,48.8293876648
you,you,48.58,49.2530326843,49.3,49.3827400208
gave,gave,49.3,49.3827400208,49.72,49.7157669067
me,me,49.72,49.7157669067,49.86,49.8837471008
my,my,49.86,49.8837471008,50.1,50.1414299011
life,life,50.1,50.1414299011,50.58,50.5921325684
and,and,50.58,50.7423744202,50.78,50.8729171753
you,you,50.78,50.8729171753,50.92,51.0519485474
carry,carry,50.92,51.1116409302,51.76,52.0411758423
on,on,51.76,52.0411758423,52.42,52.7704544067
without,without,52.42,53.0135421753,53.22,53.6026802063
ever,ever,53.22,53.6026802063,53.78,53.9818496704
wanting,wanting,53.78,53.9818496704,54.44,54.5828590393
a,a,54.44,54.6914596558,54.74,54.8744812012
thank,thank,54.74,54.8744812012,55.1,55.3272247314
you,you,55.1,55.3272247314,55.66,56.2334709167
youre,youre,57.14,57.377532959,57.82,57.689365387
like,like,57.82,57.689365387,57.96,58.0973091125
the,the,57.96,58.0973091125,58.48,58.3539199829
sun,sun,58.48,58.3539199829,58.98,59.5657157898
everyone,everyone,73.56,73.8206558228,74.24000000000001,74.5445251465
loves,loves,74.24000000000001,74.5445251465,74.92,75.0012893677
you,you,74.92,75.0012893677,75.16,75.2336273193
and,and,75.16,75.2336273193,75.38,75.4792633057
