whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
ich,ich,21.400000000000002,22.6684799194,22.8,22.9616317749
will,will,22.8,22.9616317749,23.36,23.4231300354
entfliehen,entfliehen,23.36,23.4231300354,24.6,24.726348877
dem,dem,24.74,25.54920578,25.94,26.0919723511
käfig,käfig,25.94,26.0919723511,26.76,26.8850784302
der,der,26.76,26.8850784302,27.24,27.3980960846
mich,mich,27.24,27.3980960846,27.8,27.8349208832
hält,hält,27.8,27.9720630646,29.28,29.5568256378
lass,lass,29.28,30.3288879395,30.5,30.5120182037
dich,dich,30.5,30.5730609894,30.74,30.8520641327
allein,allein,30.74,30.8520641327,31.3,31.3295230865
zurück,zurück,31.3,31.4318370819,32.46,33.3815879822
folge,folge,33.66,34.0016326904,34.5,34.5955543518
dem,dem,34.5,34.5955543518,34.8,34.8596839905
was,was,35.08,34.8596839905,35.28,35.3828582764
mich,mich,35.28,35.3828582764,35.8,35.9009513855
ruht,ruft,35.8,35.9009513855,37.26,37.4399986267
nächte,nächte,38.34,38.5306129456,38.92,39.0806350708
lang,lang,38.92,39.0806350708,39.3,39.3904762268
geredet,geredet,39.3,39.3904762268,40.9,41.4577789307
geweint,geweint,41.78,41.7697944641,42.48,42.5175514221
geschworen,geschworen,42.58,42.5175514221,43.18,43.3142852783
versöhnt,versöhnt,43.4,43.3142852783,45.44,45.4958724976
gesteh,gesteh,45.74,46.2563247681,46.76,46.8165092468
doch,doch,46.76,46.8165092468,46.98,47.0806350708
endlich,endlich,46.98,47.0806350708,47.62,47.9640808105
ein,ein,47.62,47.9640808105,49.1,49.3866653442
all,all,50.04,50.0419044495,50.36,50.3720626831
das,das,50.36,50.3720626831,50.76,50.8292045593
macht,macht,50.76,50.9053955078,51.28,51.2812690735
mich,nicht,51.28,51.4263954163,51.72,51.7790489197
frei,frei,51.72,51.9517478943,52.4,53.1199989319
ich,ich,52.4,53.8122444153,53.96,54.0179595947
folge,folge,53.96,54.0179595947,54.9,55.0552368164
meinem,meinem,54.9,55.0552368164,55.62,55.7206344604
herzen,herzen,55.62,55.7812232971,56.8,57.0260314941
woher,woher,57.72,57.747303009,58.5,58.9765090942
es,es,58.5,59.0773696899,59.5,59.5824050903
noch,auch,59.5,59.5824050903,59.8,59.8581390381
ruft,ruft,59.8,59.8581390381,60.7,60.6171417236
und,und,61.24,61.7534675598,61.92,62.0117912292
leg,flieg,61.92,62.0117912292,62.26,62.3658943176
mich,mich,62.26,62.3658943176,62.68,62.8419036865
frei,frei,62.68,62.8419036865,63.24,63.2584114075
von,von,63.24,63.5530166626,63.88,63.9535598755
jedem,jedem,63.88,63.9535598755,64.66,64.8380966187
zwang,zwang,64.66,64.8380966187,65.22,65.2546005249
ein,ein,65.46,65.5470275879,65.96,65.906211853
