whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
der,der,20.1,21.3623580933,21.5,21.6671199799
himmel,himmel,21.5,21.6671199799,22.34,22.4152374268
zeigt,zeigt,22.34,22.5175514221,23.26,23.2431755066
statt,statt,23.26,23.3578224182,23.58,23.6462593079
der,der,23.58,23.7424030304,23.94,23.8933334351
engel,engel,23.94,24.0435371399,24.9,24.9759635925
lauter,lauter,24.9,24.9759635925,25.74,25.965713501
wolken,wolken,25.74,26.1804981232,27.14,27.6622219086
einem,einem,27.14,28.3102035522,28.76,28.645986557
stern,stern,28.76,28.7579135895,29.28,29.4639453888
wolltest,wolltest,29.28,29.4639453888,30.2,30.3528347015
du,du,30.2,30.3528347015,30.64,30.7490253448
folgen,folgen,30.64,30.8810882568,32.04,32.2285728455
doch,doch,32.3,33.9591827393,34.1,34.1714286804
der,der,34.1,34.2421760559,34.46,34.5088424683
weltraum,weltraum,34.46,34.5977325439,35.82,35.8907928467
schweigt,schweigt,35.82,35.9531974792,37.76,37.9834938049
es,es,39.839999999999996,40.2575950623,40.54,40.5877532959
ist,ist,40.54,40.5877532959,40.84,40.8671188354
alles,alles,40.84,40.8671188354,41.54,41.6043548584
still,still,41.54,41.6043548584,42.18,42.4330177307
und,und,42.18,42.6448974609,42.86,42.9351463318
du,du,42.86,42.9351463318,43.14,43.1773223877
betest,betest,43.14,43.2580490112,44.1,44.1447601318
um,um,44.1,44.204990387,44.64,44.8072547913
dem,dem,44.64,44.8072547913,45.2,45.3616333008
rauschen,rauschen,45.2,45.3616333008,46.34,46.6285705566
eine,eine,46.92,47.4739227295,47.86,48.0653076172
botschaft,botschaft,47.86,48.0653076172,48.9,48.9687080383
abzulauschen,abzulauschen,48.9,48.9687080383,51.12,51.4946022034
die,die,51.12,53.1483001709,53.32,53.4857139587
nicht,nicht,53.32,53.4857139587,53.62,53.6838111877
kommen,kommen,53.62,53.7948303223,54.56,55.2308387756
will,will,54.56,55.2308387756,55.86,56.5870285034
du,du,77.8,78.9681625366,79.08,79.2642211914
liest,liest,79.08,79.2642211914,79.56,79.5972824097
und,und,79.56,79.5972824097,79.98,79.9482955933
fragst,fragst,79.98,80.0653076172,80.78,80.8286590576
warum,warum,81.08,81.0492553711,81.38,81.5949172974
durften,durften,81.38,81.6544189453,82.34,82.5861206055
jene,jene,82.34,82.5861206055,83.34,83.8204116821
wissen,wissen,83.34,83.8204116821,84.52,85.0198669434
wo,wo,84.52,85.8601379395,86.02,86.1779556274
wir,wir,86.02,86.1779556274,86.32,86.4783706665
heute,heute,86.32,86.4783706665,87.12,87.3491134644
glauben,glauben,87.12,87.3491134644,87.98,88.5732421875
müssen,müssen,87.98,88.5732421875,89.28,90.0760116577
und,und,89.28,91.8349227905,92.0,91.9684371948
du,du,92.0,92.1687088013,92.44,92.7521057129
beklagst,beklagst,92.44,92.7521057129,94.52,95.1031265259
es,es,97.08,98.2131500244,98.48,98.5142822266
ist,ist,98.48,98.5142822266,98.78,98.8255767822
nicht,nicht,98.78,98.8255767822,99.24,99.3639907837
recht,recht,99.24,99.439453125,99.88,99.9677124023
jene,jene,100.12,100.2536087036,100.74,100.8384552002
durften,durften,100.74,100.889251709,101.58,101.7861251831
wunder,wunder,101.58,101.7861251831,102.54,102.7076644897
schauen,schauen,102.54,102.8353729248,103.92,104.234375
und,und,103.92,105.0920639038,105.26,105.3736038208
