whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,lay,0.0,18.6199798584,0.54,18.8935203552
you,awake,0.54,18.8935203552,5.16,19.2129116058
off,at,30.0,19.2129116058,30.18,19.4400577545
the,night,30.18,19.4400577545,30.44,19.8730163574
plane,wondering,30.44,20.8442592621,30.9,21.1843261719
while,how,30.9,21.1843261719,32.04,21.4153881073
you,could,32.04,21.4153881073,32.16,21.6228580475
cursed,i,32.16,21.6760368347,32.44,22.1282539368
my,let,32.44,23.0229873657,32.64,23.2142295837
last,it,32.64,23.2142295837,32.96,23.3772315979
name,get,32.96,23.3772315979,33.42,23.7942848206
i,this,33.42,23.88372612,36.3,24.1249885559
thought,way,36.3,24.205411911,36.54,24.4241275787
we,through,36.54,27.4613018036,36.74,27.7841262817
could,all,36.74,27.8356018066,36.9,28.0584220886
get,the,36.9,28.0584220886,37.1,28.2234916687
better,pain,37.1,28.3166828156,37.7,28.6603183746
take,i,38.3,29.4815254211,38.76,29.6551818848
a,took,38.76,29.6551818848,38.9,29.9689750671
minute,all,38.9,29.9689750671,39.04,30.2568130493
like,the,39.04,30.2568130493,39.26,30.4101581573
a,blame,39.26,30.5582275391,39.38,30.8799991608
soldier,while,39.38,31.9374294281,39.84,32.1115989685
believe,you,39.84,32.1115989685,41.18,32.2326431274
were,cursed,41.18,32.2326431274,41.64,32.476940155
okay,my,41.64,32.476940155,42.08,32.7711410522
now,last,42.08,32.7711410522,44.68,33.0323410034
i,name,44.68,33.0323410034,45.86,33.4222221375
know,i,45.86,36.1861076355,46.94,36.2919807434
that,thought,46.94,36.2919807434,47.54,36.5884552002
you,we,47.54,36.5884552002,48.0,36.7265777588
dont,could,48.0,36.7265777588,48.78,36.9193649292
care,get,48.78,36.9711761475,49.26,37.1022224426
at,better,49.26,37.2218055725,50.9,37.859046936
all,stayed,50.9,38.4517059326,51.44,38.7072525024
time,committed,53.059999999999995,38.7072525024,53.98,39.0947990417
wasted,like,53.98,39.0947990417,54.72,39.2592506409
gave,a,54.72,39.2592506409,55.4,39.3143615723
all,soldier,55.4,39.3143615723,55.8,40.0965080261
of,believed,55.8,40.9698486328,55.98,41.3815040588
my,were,55.98,41.3815040588,56.16,41.6685714722
soul,okay,56.16,41.7382278442,56.62,42.3136520386
and,now,56.62,44.4153594971,57.1,45.4425392151
my,i,57.1,45.755897522,57.36,46.1384124756
heart,know,57.36,46.6265182495,57.82,47.1009521484
to,that,57.82,47.1708526611,58.18,47.5682525635
someone,you,58.18,47.7046890259,58.76,48.0939674377
that,dont,58.76,48.2551651001,59.32,48.6831741333
would,care,59.32,48.941078186,59.62,49.4628562927
never,at,59.62,50.4838790894,60.36,50.9922180176
give,all,60.36,50.9922180176,61.24,52.5638084412
me,time,61.24,53.5652809143,61.54,54.0139694214
the,wasted,61.54,54.1492919922,61.76,54.8342857361
same,gave,61.76,55.2363510132,62.14,55.6025810242
i,all,62.14,55.6025810242,62.62,55.8716430664
was,of,62.62,55.8716430664,63.0,56.0727539062
a,my,63.0,56.0727539062,63.28,56.1955566406
fool,soul,63.28,56.2563285828,63.58,56.9595451355
to,and,63.58,56.9595451355,64.02,57.189037323
believe,my,64.02,57.189037323,64.56,57.4507637024
that,heart,64.56,57.4507637024,65.0,57.8006362915
you,to,65.0,58.0819168091,65.48,58.2779273987
would,someone,65.48,58.2779273987,66.08,58.9663505554
finally,that,66.08,59.1313362122,66.9,59.4080696106
be,would,66.9,59.4080696106,67.56,59.5911102295
the,never,67.56,59.6786613464,67.84,60.9752388
one,give,67.84,61.112487793,68.3,61.3409461975
to,me,68.3,61.3409461975,68.72,61.6341285706
give,the,69.61999999999999,61.6341285706,70.1,61.8527984619
me,same,70.1,61.8527984619,70.4,62.1434936523
the,i,70.4,62.52003479,70.64,62.7631759644
same,was,70.64,62.8216743469,71.08,63.0851898193
heart,a,71.08,63.0851898193,71.7,63.1824417114
broken,fool,71.7,63.1824417114,72.66,63.7790489197
now,to,72.66,63.900177002,73.38,64.0406341553
how,believe,73.38,64.1321182251,75.98,64.7185745239
you,that,75.98,64.7185745239,76.2,65.2640457153
let,you,76.2,65.2640457153,76.66,65.5568237305
me,would,76.66,65.7631454468,77.14,66.1384124756
down,finally,77.14,66.356803894,78.06,67.3142852783
but,be,78.06,67.3961105347,79.82,67.6686782837
somehow,the,79.82,67.6686782837,81.16,67.9668197632
deep,one,81.16,67.9668197632,82.44,68.2615890503
down,to,82.44,68.55909729,83.1,69.601272583
i,give,83.1,69.9486465454,83.62,70.1811523438
still,me,83.62,70.1811523438,84.38,70.5396881104
do,the,84.38,70.5396881104,84.84,70.7224502563
love,same,84.84,70.7224502563,86.44,71.1187286377
you,heartbroken,86.44,71.2926864624,86.88,72.9064559937
now,now,91.44000000000001,72.9064559937,92.04,74.6260299683
youre,how,92.04,75.791885376,92.26,76.0634841919
up,you,92.26,76.0634841919,92.48,76.331237793
all,let,92.48,76.331237793,92.74,76.5993652344
night,me,92.74,76.8081512451,93.24,77.26222229
telling,down,93.24,77.4755935669,94.64,79.0349197388
your,but,94.64,79.6428222656,94.9,79.9173736572
lies,somehow,94.9,79.9173736572,95.5,81.7574615479
about,deep,95.5,82.2336044312,96.44,82.653968811
the,down,96.44,82.7621536255,96.64,83.3084945679
way,i,96.64,83.3084945679,96.84,83.5987319946
i,still,96.84,83.6488723755,97.08,84.3326950073
hurt,do,97.08,84.5115814209,97.38,85.1911087036
you,love,97.38,86.00390625,97.72,86.5918121338
they,you,97.72,86.5918121338,98.54,88.3657150269
couldnt,now,98.54,91.8908996582,98.86,92.0797271729
see,your,98.86,92.0797271729,99.08,92.3355712891
the,out,99.08,92.3355712891,99.34,92.4825363159
way,all,99.34,92.6237792969,99.72,92.8477935791
you,night,99.72,92.8477935791,100.74,93.3612670898
made,telling,100.74,94.4600219727,100.94,94.7749557495
me,your,100.94,94.7749557495,101.08,94.9996795654
feel,lies,101.08,95.0745925903,101.4,95.7003173828
ashamed,about,101.4,96.2922210693,102.0,96.4803619385
for,the,102.0,96.4803619385,103.16,96.6527862549
choosing,way,103.16,96.6527862549,103.68,96.9533691406
to,i,103.68,96.9533691406,104.0,97.1475601196
love,hurt,104.0,97.1475601196,104.5,97.3984451294
you,you,104.5,97.3984451294,105.08,97.7955551147
i,they,105.08,98.4243087769,107.54,98.587852478
began,couldnt,107.54,98.587852478,107.86,98.8859176636
to,see,107.86,98.8859176636,108.02,99.1583175659
see,the,108.02,99.1583175659,108.2,99.4135055542
clearer,way,108.2,99.4135055542,108.76,99.8222198486
that,you,108.76,100.6925125122,109.98,100.8716125488
you,made,109.98,100.8716125488,110.1,100.9380645752
were,me,110.1,100.9380645752,110.22,101.169708252
just,feel,110.22,101.169708252,110.38,101.4290237427
