whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
ich,ich,17.28,18.5422229767,18.68,18.7733325958
werde,werd,18.68,18.7733325958,19.02,19.0693874359
nicht,nicht,19.02,19.1695232391,19.54,19.6099777222
aufhören,aufhören,19.54,19.7079372406,20.76,20.999546051
dich,dich,20.76,22.9688892365,23.26,23.4184131622
zu,zu,23.26,23.4184131622,23.64,23.7460308075
lieben,lieben,23.64,23.7460308075,24.46,24.5151920319
in,in,24.46,26.3034915924,26.7,26.9485721588
meinem,meinem,26.7,26.9485721588,27.42,27.6317462921
kopf,kopf,27.42,27.7663497925,28.1,28.078004837
sind,sind,28.1,28.4241275787,28.68,28.797460556
alle,all,28.68,28.797460556,29.14,29.239364624
deine,deine,29.14,29.239364624,29.68,29.6743755341
bilder,bilder,29.68,30.011428833,30.36,30.8970527649
und,und,30.36,34.9892082214,35.12,35.2609519958
die,die,35.12,35.2609519958,35.5,35.5200004578
erinnerung,erinnerung,35.5,35.5200004578,36.98,36.9719734192
halt,heilt,38.42,38.4653053284,39.06,39.1270751953
nicht,nicht,39.06,39.2359199524,39.48,39.7191848755
meine,meine,39.48,39.7191848755,39.94,40.0428123474
wunden,wunden,39.94,40.0428123474,40.94,41.4998626709
ich,ich,42.54,42.4355545044,42.8,42.906124115
will,will,42.8,42.9917449951,43.24,43.2685699463
dich,dich,43.24,43.2685699463,43.52,43.6876182556
sehen,sehen,43.52,43.6876182556,44.2,44.4292068481
für,für,44.2,44.4292068481,44.84,45.0031738281
ein,ein,44.84,45.0031738281,45.14,45.2546043396
paar,paar,45.14,45.2546043396,45.48,45.7012252808
stunden,stunden,45.48,45.9250793457,46.2,47.4775505066
ich,ich,49.58,50.4859848022,50.62,50.7225379944
kann,kann,50.62,50.7225379944,51.06,51.0142402649
dich,dich,51.06,51.1974601746,51.36,51.4539680481
nicht,nicht,51.36,51.4539680481,51.62,51.735874176
vergessen,vergessen,51.62,51.735874176,52.38,53.016960144
es,es,53.0,54.5204544067,54.68,54.7504768372
gelingt,gelingt,54.68,54.7504768372,55.2,55.1880264282
mir,mir,55.2,55.3215408325,55.52,55.7046699524
nicht,nicht,55.52,55.7046699524,56.3,56.4999542236
ich,ich,57.86,58.4620399475,58.8,58.9496612549
warte,warte,58.8,58.9496612549,59.3,59.4764633179
bis,bis,59.5,59.4764633179,59.62,59.7282524109
das,das,59.62,59.7282524109,59.92,59.9365081787
eis,eis,59.92,60.022857666,60.56,60.754283905
zusammenbricht,zusammenbricht,60.56,60.754283905,62.32,62.5676193237
ich,ich,65.52,66.4613189697,66.6,66.7051239014
halte,halte,66.6,66.7051239014,67.28,67.2660293579
es,es,67.28,67.2660293579,67.46,67.4996795654
nicht,nicht,67.46,67.4996795654,67.62,67.7384109497
mehr,mehr,67.62,67.7384109497,67.86,67.9796829224
aus,aus,67.86,67.9796829224,68.68,68.8979568481
es,es,69.84,70.5142822266,70.82,70.8832626343
tut,tut,70.82,70.98412323,71.16,71.2097930908
so,so,71.16,71.2812728882,71.56,71.7365951538
weh,weh,71.56,71.7365951538,72.56,72.5681610107
der,der,73.72000000000001,74.4881668091,74.68,74.7297973633
schmerz,schmerz,74.68,74.8843536377,75.24,75.2384567261
wird,wird,75.24,75.2384567261,75.56,75.461227417
stärker,stärker,75.56,75.6448059082,76.46,76.6302032471
wenn,wenn,76.78,76.9480285645,77.18,77.2527923584
ich,ich,77.18,77.2527923584,77.52,77.5488433838
dich,dich,77.52,77.5488433838,77.78,77.9798660278
seh,seh,77.78,77.9798660278,78.52,78.7330627441
mit,mit,97.28,98.50340271,98.68,98.6717453003
deinen,deinen,98.68,98.7646255493,99.24,99.4568710327
blauen,blauen,99.24,99.4568710327,99.9,100.0054397583
augen,augen,99.9,100.0054397583,100.8,101.1555557251
hast,hast,100.8,102.4653091431,102.64,102.7961883545
du,du,102.64,102.7961883545,103.02,103.2359161377
mich,mich,103.02,103.2359161377,103.58,103.7003173828
verzaubert,verzaubert,103.58,103.7003173828,105.02,105.5085678101
du,du,105.02,106.4939651489,106.64,106.9561920166
hast,hast,106.64,106.9561920166,107.18,107.2304763794
mein,mein,107.18,107.334602356,107.62,107.9822235107
herz,herz,107.62,107.9822235107,108.62,108.8050765991
im,im,108.62,110.4065322876,110.66,110.5371398926
