whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,durch,0.0,47.0806350708,2.38,47.42603302
you,diese,2.38,47.42603302,4.22,48.0203170776
thank,wände,30.0,48.0203170776,31.0,48.8685722351
you,dringt,31.0,48.8685722351,31.68,49.1218147278
thank,ein,60.0,49.1218147278,61.18,49.4120635986
you,dumpfer,61.18,49.4120635986,61.32,50.2857131958
thank,klang,100.3,50.2857131958,101.7,50.7472114563
you,und,101.7,51.649887085,101.72,51.9974594116
thank,er,120.96,51.9974594116,121.6,52.5315208435
you,führt,121.6,52.5315208435,121.92,53.1504745483
thank,uns,154.12,53.1504745483,155.24,53.4349212646
you,im,155.24,53.4349212646,156.36,53.7179145813
,kreis,,53.7179145813,,54.5378684998
,was,,55.89478302,,56.2648544312
,jetzt,,56.2648544312,,56.6167793274
,noch,,56.6167793274,,57.0376434326
,bleibt,,57.0376434326,,57.6036262512
,ist,,57.6036262512,,57.8793640137
,keine,,57.8793640137,,58.4562339783
,zeit,,58.4562339783,,58.8161468506
,zu,,58.8161468506,,59.0657577515
,verlieren,,59.0657577515,,60.3718833923
,sind,,60.8072547913,,61.1439437866
,gefangen,,61.1439437866,,62.5719718933
,im,,62.5719718933,,62.8716545105
,labyrinth,,62.8716545105,,64.2554168701
,der,,64.8489761353,,65.4331054688
,wille,,65.4331054688,,65.9809494019
,ist,,65.9809494019,,66.1950149536
,stark,,66.1950149536,,66.9133758545
,und,,66.9133758545,,67.1709747314
,es,,67.1709747314,,67.4575958252
,verlangt,,67.4575958252,,68.0308380127
,nach,,68.0308380127,,68.502494812
,mehr,,68.502494812,,69.2070770264
,die,,69.685256958,,69.9827651978
,wunde,,69.9827651978,,70.8099746704
,kehle,,70.8099746704,,71.4993209839
,erhebt,,71.4993209839,,72.5101165771
,ihre,,72.5101165771,,72.9803161621
,stimme,,73.0557785034,,73.8278427124
,selbst,,74.396736145,,74.7479400635
,wenn,,74.7479400635,,75.0839004517
,sich,,75.0839004517,,75.3632659912
,der,,75.3632659912,,75.7151947021
,geist,,75.7151947021,,76.1846694946
,vom,,76.1846694946,,76.5351486206
,körper,,76.5351486206,,77.4791870117
,trennt,,77.6054458618,,78.3151016235
,erfüllt,,78.8259429932,,79.4586868286
,uns,,79.4586868286,,79.7206344604
,kein,,79.7206344604,,80.0290222168
,frieden,,80.0290222168,,81.1319732666
,dieser,,81.1319732666,,82.1659851074
,welt,,82.5106582642,,87.4463500977
,der,,101.4204101562,,101.953742981
,puls,,101.953742981,,102.4870758057
,schlägt,,102.4870758057,,102.8498840332
,schneller,,102.8498840332,,103.7003173828
,und,,103.7003173828,,103.9963684082
,der,,103.9963684082,,104.2684783936
,hass,,104.2684783936,,104.6276626587
,nimmt,,104.6276626587,,104.9070281982
,die,,104.9070281982,,105.1718826294
,luft,,105.1718826294,,105.9845809937
,ein,,105.9845809937,,106.4816360474
,feuer,,106.4816360474,,107.4387283325
,wächst,,107.4387283325,,108.0366439819
,in,,108.0366439819,,108.5532913208
,unserer,,108.5532913208,,109.6997756958
,brust,,109.6997756958,,110.3934707642
,entflammte,,110.5705184937,,111.7206344604
,gedanken,,111.7206344604,,113.0753707886
,trocknen,,113.0753707886,,114.009979248
,die,,114.009979248,,114.2828140259
,tränen,,114.2828140259,,115.1310653687
,das,,115.1310653687,,115.6048965454
,blut,,115.6897964478,,116.2216796875
,verbrennt,,116.2216796875,,117.1388626099
,in,,117.1388626099,,117.449432373
,den,,117.449432373,,117.7832183838
,venen,,117.7832183838,,120.5942840576
