whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
people,people,19.900000000000002,20.0212211609,20.3,20.4502429962
gon,gonna,20.3,20.4502429962,20.58,20.7817077637
hate,hate,20.72,20.7817077637,20.9,20.9705219269
let,let,21.02,21.0593833923,21.12,21.177148819
them,them,21.12,21.177148819,21.22,21.342048645
do,do,21.22,21.342048645,21.46,21.5886116028
it,it,21.46,21.5886116028,21.64,21.8049888611
shine,shine,21.64,21.9040222168,22.08,22.2094459534
like,like,22.08,22.2094459534,22.36,22.4297046661
it,it,22.36,22.4297046661,22.54,22.6159324646
aint,aint,22.54,22.6159324646,22.74,22.8412952423
nothin,nothing,22.74,22.8412952423,22.94,23.1839065552
to,to,23.12,23.1839065552,23.24,23.3647460938
it,it,23.24,23.3647460938,23.38,23.5319728851
damn,damn,23.5,23.739397049,23.88,24.0187282562
you,you,23.88,24.0187282562,24.1,24.2133426666
a,a,24.1,24.2133426666,24.3,24.3288059235
mage,major,24.3,24.3288059235,24.6,24.7288303375
influence,influence,24.6,24.7288303375,25.12,25.1863937378
skate,skate,25.44,25.4426231384,25.7,25.7447738647
like,like,25.7,25.7447738647,25.92,25.9207267761
they,there,25.92,25.9207267761,26.1,26.0880718231
aint,aint,26.1,26.0880718231,26.34,26.3634090424
nothin,nothing,26.34,26.3634090424,26.56,26.656955719
doin,doing,26.7,26.656955719,26.96,27.0250911713
live,live,26.96,27.0250911713,27.2,27.2479801178
life,life,27.2,27.2479801178,27.46,27.5555553436
dont,dont,27.62,27.6068630219,27.8,27.7878303528
say,say,27.8,27.7878303528,28.04,28.1471366882
nothin,nothing,28.04,28.1471366882,28.32,28.4650421143
to,to,28.5,28.4650421143,28.66,28.6169719696
them,them,28.66,28.6169719696,28.82,28.8616771698
people,people,29.44,29.6069431305,29.92,29.9537410736
gon,gonna,29.92,30.0202713013,30.18,30.2331066132
hate,hate,30.32,30.3172149658,30.48,30.5895996094
let,let,30.58,30.5895996094,30.72,30.7272567749
them,them,30.72,30.7272567749,30.82,30.9780216217
do,do,30.82,30.9780216217,31.08,31.1171665192
it,it,31.08,31.1171665192,31.2,31.2199554443
shine,shine,31.22,31.4177093506,31.68,31.8283405304
like,like,31.68,31.8283405304,31.96,32.0503082275
it,it,31.96,32.0503082275,32.14,32.187538147
aint,aint,32.14,32.187538147,32.34,32.4198722839
nothin,nothing,32.34,32.4198722839,32.54,32.651184082
to,to,32.7,32.651184082,32.84,32.8991928101
it,it,32.84,32.8991928101,32.96,32.9868469238
damn,damn,33.08,33.3734321594,33.48,33.5746040344
you,you,33.48,33.6383514404,33.7,33.8029823303
a,a,33.7,33.8029823303,33.9,33.8902893066
mage,major,33.9,33.8902893066,34.2,34.321521759
influence,influence,34.2,34.321521759,34.68,34.9024925232
skate,skate,35.04,35.0408096313,35.3,35.3495025635
like,like,35.3,35.3495025635,35.5,35.5070075989
they,there,35.5,35.5070075989,35.7,35.6391410828
aint,aint,35.7,35.6391410828,35.94,35.904132843
nothin,nothing,35.94,35.904132843,36.14,36.2705535889
doin,doing,36.26,36.2705535889,36.54,36.6345176697
live,live,36.54,36.6345176697,36.82,36.8652610779
life,life,36.82,36.8652610779,37.06,37.1120185852
dont,dont,37.22,37.1627349854,37.4,37.3685646057
say,say,37.4,37.3685646057,37.64,37.7268753052
nothin,nothing,37.64,37.7268753052,37.92,38.0635757446
to,to,38.04,38.0635757446,38.26,38.2771186829
them,them,38.26,38.3483085632,38.46,38.5850334167
people,people,39.02,39.2623214722,39.5,39.5541038513
tellin,telling,39.5,39.5541038513,39.84,39.9061889648
lies,lies,39.86,39.9061889648,40.18,40.2428588867
on,on,40.18,40.2428588867,40.42,40.5083465576
