whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
ich,ich,16.28,16.6429023743,16.76,16.7949199677
hab,habe,16.76,16.7949199677,16.92,16.9055786133
keine,keine,16.92,17.0031738281,17.2,17.3518371582
lust,lust,17.2,17.3518371582,17.58,17.7142848969
mir,mir,17.6,17.7142848969,17.8,17.8971424103
das,das,17.8,17.8971424103,18.04,18.0850791931
leben,leben,18.04,18.0850791931,18.36,18.4206809998
von,von,18.36,18.6187763214,18.76,18.7918357849
deppen,deppen,18.76,18.7918357849,19.0,19.0575504303
vermasselt,vermasseln,19.0,19.1461219788,19.6,19.71301651
zu,zu,19.6,19.71301651,19.82,19.8984127045
lassen,lassen,19.82,19.8984127045,20.12,20.1752376556
sag,sag,20.12,20.413061142,20.54,20.5453052521
mir,mir,20.54,20.6138782501,20.7,20.7885723114
nicht,nicht,20.7,20.7885723114,20.94,20.9240818024
ich,ich,21.06,21.1608161926,21.26,21.2680263519
könnt,könnte,21.26,21.3434925079,21.42,21.5187301636
was,was,21.42,21.5187301636,21.6,21.7117462158
besser,besser,21.6,21.7117462158,21.94,22.0520629883
machen,machen,21.94,22.0520629883,22.3,22.413061142
ich,ich,22.3,22.413061142,22.56,22.6024494171
hab,habe,22.56,22.6024494171,22.7,22.6829929352
keine,keine,22.7,22.786939621,22.98,23.1363258362
lust,lust,22.98,23.1363258362,23.36,23.410068512
mir,mir,23.44,23.5123806,23.58,23.6850795746
das,das,23.58,23.6850795746,23.8,23.8579597473
leben,leben,23.8,23.8579597473,24.14,24.2068023682
von,von,24.14,24.3999996185,24.5,24.5746936798
deppen,deppen,24.5,24.5746936798,24.78,24.9257144928
vermasselt,vermasseln,24.78,24.9257144928,25.38,25.5004081726
zu,zu,25.38,25.5004081726,25.58,25.66040802
lassen,lassen,25.58,25.66040802,25.92,25.9744224548
sag,sag,25.92,26.2044448853,26.32,26.3183670044
mir,mir,26.32,26.3952827454,26.48,26.5665302277
nicht,nicht,26.48,26.5665302277,26.7,26.7406806946
ich,ich,26.84,26.9306125641,27.06,27.1151027679
könnt,könnte,27.06,27.1151027679,27.22,27.3028564453
was,was,27.22,27.3028564453,27.4,27.479183197
besser,besser,27.4,27.479183197,27.72,27.7942848206
machen,machen,27.72,27.847618103,28.04,28.1088428497
ich,ich,28.04,28.1959190369,28.36,28.3631744385
hab,habe,28.36,28.3631744385,28.48,28.4517002106
keine,keine,28.48,28.5632648468,28.76,28.9093875885
lust,lust,28.76,28.9093875885,29.14,29.2397270203
darauf,darauf,29.14,29.2977771759,29.54,29.6836280823
dass,dass,29.72,29.8122444153,29.9,30.0081634521
du,du,29.9,30.0081634521,30.06,30.1599998474
mich,mich,30.06,30.1599998474,30.24,30.32380867
ständig,ständig,30.24,30.3873023987,30.62,30.6590480804
korrigierst,korrigierst,30.62,30.7326984406,31.42,31.4557819366
mir,mir,31.42,31.6293869019,31.7,31.8171424866
sagst,sagst,31.7,31.8171424866,31.96,32.0050811768
was,was,32.0,32.0050811768,32.08,32.1777763367
ich,ich,32.08,32.1777763367,32.24,32.3453979492
zu,zu,32.24,32.3453979492,32.44,32.4310188293
tun,tun,32.44,32.5409507751,32.64,32.7169151306
hab,hab,32.64,32.7169151306,32.84,32.8097953796
und,und,32.84,32.9142875671,33.04,32.9883003235
es,es,33.04,33.0726547241,33.2,33.2190475464
selber,selber,33.2,33.2190475464,33.46,33.6081619263
nicht,nicht,33.46,33.6081619263,33.7,33.7066650391
probierst,probierst,33.7,33.8024482727,34.3,34.2639465332
keine,keine,34.3,34.3314285278,34.6,34.7102050781
lust,lust,34.6,34.7102050781,34.94,35.0693893433
darauf,darauf,34.94,35.0693893433,35.38,35.4351005554
dass,dass,35.52,35.6016311646,35.74,35.7926521301
du,du,35.74,35.7926521301,35.88,35.9695243835
ewig,ewig,35.88,35.9695243835,36.26,36.2323799133
dazwischen,dazwischenfunkst,36.26,36.3199996948,36.76,37.1853065491
fungst,mir,36.76,37.414604187,37.18,37.5161895752
mir,dauernd,37.18,37.591835022,37.5,37.9608154297
dauernd,alles,37.5,37.9608154297,37.92,38.316734314
alles,vorhältst,37.92,38.316734314,38.24,38.7218856812
vorhältst,und,38.24,38.7218856812,38.68,38.8751029968
und,es,38.68,38.8751029968,38.82,39.0432662964
es,selber,38.82,39.0432662964,38.96,39.3991851807
selber,nicht,38.96,39.3991851807,39.26,39.5967330933
nicht,versuchst,39.26,39.5967330933,39.52,40.0805435181
versuchst,keine,39.52,40.1306114197,40.08,40.4995918274
keine,lust,40.08,40.4995918274,40.38,40.8417243958
lust,darauf,40.38,40.8417243958,40.72,41.2734680176
darauf,immer,40.72,41.3968238831,41.14,41.748752594
immer,das,41.34,41.748752594,41.66,41.9265289307
dasselbe,selbe,41.66,41.9265289307,42.24,42.3531990051
zu,zu,42.24,42.4152374268,42.52,42.6285705566
hören,hören,42.52,42.6285705566,42.9,42.9786834717
hältst,hältst,42.9,42.9786834717,43.2,43.2054405212
es,es,43.2,43.2054405212,43.3,43.3864860535
wohl,wohl,43.3,43.3864860535,43.58,43.5631752014
nicht,nicht,43.58,43.5631752014,43.7,43.7289810181
für,für,43.7,43.9238090515,44.04,44.099773407
möglich,möglich,44.04,44.099773407,44.34,44.3951034546
dass,dass,44.44,44.4680290222,44.58,44.6530609131
mich,mich,44.58,44.6530609131,44.72,44.8235816956
sowas,sowas,44.72,44.8235816956,45.12,45.1736946106
manchmal,manchmal,45.12,45.1736946106,45.42,45.5600891113
stört,stört,45.42,45.5600891113,45.74,45.7926521301
keine,keine,45.74,45.9083900452,46.2,46.2748298645
lust,lust,46.2,46.2748298645,46.52,46.6267585754
darauf,darauf,46.52,46.6267585754,46.92,47.0770072937
immer,immer,47.08,47.1818580627,47.42,47.5392303467
