whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
im,im,22.46,22.84308815,23.02,23.0706043243
asleep,asleep,23.02,23.0706043243,23.36,23.4948406219
at,at,23.36,23.4948406219,23.66,23.6451702118
the,the,23.66,23.7230205536,23.84,23.9212112427
wheel,wheel,23.84,23.9212112427,24.36,24.4053134918
and,and,24.36,24.4053134918,24.62,24.6363277435
theres,theres,24.62,24.6363277435,24.9,24.9496688843
a,a,24.9,24.9496688843,25.04,25.0340137482
cub,curve,25.04,25.1141033173,25.32,25.3821258545
in,in,25.32,25.3821258545,25.54,25.6107940674
the,the,25.54,25.6107940674,25.7,25.7712879181
highway,highway,25.7,25.7712879181,26.32,26.9859409332
yet,yet,30.0,30.150352478,30.32,30.3206119537
were,we,30.32,30.3773708344,30.58,30.4914283752
tired,tear,30.58,30.5682525635,30.84,30.7809524536
through,through,30.84,30.8385181427,31.1,31.0724258423
the,the,31.1,31.0724258423,31.22,31.2672557831
night,night,31.22,31.2672557831,31.74,31.8425388336
like,like,31.74,31.9043655396,32.2,32.2498512268
a,a,32.2,32.2498512268,32.38,32.3758735657
beyond,peyote,32.38,32.4533843994,32.88,33.1962623596
your,migraine,32.88,33.1962623596,33.14,34.8139686584
migraine,how,33.14,37.0918273926,34.22,38.0441589355
how,much,36.54,38.0441589355,37.5,38.5828590393
much,further,37.5,38.8529510498,38.46,39.7612686157
farther,is,38.46,39.8698730469,39.42,40.15650177
is,it,39.42,40.15650177,40.1,40.4317474365
it,aching,40.1,40.8692169189,40.38,42.2857131958
aching,so,41.26,42.6247787476,42.22,43.1195755005
so,exquisite,42.22,43.1195755005,42.98,44.1955566406
exquisite,i,42.98,44.9840583801,44.02,45.4715576172
i,hope,44.72,45.4715576172,45.2,46.1104774475
hope,we,45.2,46.3048591614,45.88,46.6031761169
we,can,45.88,46.7572555542,46.52,47.0247612
cant,stop,46.52,47.2050552368,47.1,47.4514274597
stop,in,47.1,47.5755195618,47.48,47.7612686157
inside,time,47.48,47.9361763,48.16,49.1029472351
now,now,52.019999999999996,52.3564949036,52.5,52.5674934387
you,you,52.5,52.5674934387,52.7,52.8078575134
dont,dont,52.7,52.8078575134,53.04,53.0580749512
want,want,53.04,53.0580749512,53.28,53.2657699585
to,to,53.28,53.2657699585,53.4,53.3841285706
dance,dance,53.4,53.4477462769,54.08,54.263004303
so,cause,54.08,54.263004303,54.56,54.5205879211
looking,were,54.56,54.5205879211,54.88,54.6519470215
right,looking,54.88,54.6519470215,55.26,55.1126747131
through,right,55.26,55.1126747131,55.66,55.2881622314
you,through,55.66,55.3535919189,56.5,55.7658004761
oh,you,58.29999999999999,55.7658004761,59.099999999999994,56.946937561
and,oh,59.099999999999994,57.9661445618,59.9,58.5329246521
the,oh,59.9,58.5329246521,60.04,59.6497688293
clothes,and,60.04,59.6497688293,60.48,59.8558654785
that,the,60.48,59.8558654785,60.84,60.0773124695
you,clothes,60.84,60.0773124695,61.1,60.5634498596
wear,that,61.1,60.5634498596,61.54,60.7379608154
we,you,61.54,60.847618103,62.0,61.162109375
dont,wear,62.0,61.162109375,62.38,61.5510215759
need,we,62.38,61.8414154053,62.62,61.9787750244
to,dont,62.62,62.1031837463,63.1,62.3252601624
stand,mean,63.1,62.3992881775,63.86,62.667755127
now,to,73.82000000000001,62.7869949341,74.62,63.2416687012
the,stare,74.62,63.2416687012,74.84,64.2089767456
sky,now,74.84,74.4832992554,75.14,74.7108078003
is,the,75.14,74.7108078003,75.44,74.8267822266
on,sky,75.44,74.8267822266,75.58,75.2013473511
fire,is,75.58,75.2013473511,76.18,75.4255523682
and,on,76.18,75.4255523682,76.56,75.5403137207
the,fire,76.56,75.6672973633,76.68,76.3422241211
desert,and,76.68,76.3422241211,77.1,76.5269546509
is,the,77.1,76.5269546509,77.44,76.6526947021
freezing,desert,77.44,76.7751693726,78.1,77.2456359863
wonder,is,106.67999999999999,77.2456359863,108.08,77.4718093872
how,freezing,108.08,77.4718093872,108.08,78.6590499878
im,wonder,108.08,81.9061737061,108.08,82.2903366089
alive,how,108.08,82.2903366089,108.08,82.6123962402
oh,im,109.9,82.6123962402,110.76,82.821472168
and,alive,110.76,82.821472168,111.62,83.5983657837
the,hen,111.62,83.7407608032,111.76,83.9118347168
clothes,im,111.76,83.9654998779,112.18,84.1403045654
that,not,112.18,84.1403045654,112.48,84.3824539185
you,even,112.48,84.3824539185,112.68,84.7502059937
wear,breathing,112.68,84.8727874756,113.18,86.0473480225
we,how,113.18,88.778175354,113.64,89.8186264038
dont,much,113.64,89.8186264038,114.0,90.2595901489
need,further,114.0,90.658493042,114.24,91.415512085
to,is,114.24,91.5647888184,114.7,91.7783813477
stand,it,114.7,91.7783813477,115.3,92.1208190918
oh,aching,116.4,92.5167770386,117.26,94.1453094482
but,so,118.66,94.2781143188,118.92,94.8308410645
the,exquisite,118.92,94.8308410645,119.12,95.9608154297
people,i,119.12,96.6474533081,119.56,97.0819168091
you,hope,119.56,97.0819168091,119.86,97.7763290405
know,we,119.86,98.0322494507,120.36,98.3424911499
they,can,120.36,98.4459152222,120.94,98.7412490845
say,stop,120.94,98.8396911621,121.26,99.154838562
what,in,121.26,99.154838562,121.46,99.5302963257
they,time,121.46,99.5302963257,121.7,100.9306106567
want,now,121.7,104.0233535767,122.14,104.2962646484
to,you,122.14,104.2962646484,122.62,104.3918380737
oh,dont,123.72,104.4872589111,124.58,104.7338027954
cause,want,126.0,104.7338027954,126.4,104.9680252075
the,to,126.4,104.9680252075,126.54,105.0971450806
truth,dance,126.54,105.1973953247,126.86,105.7242202759
of,cause,126.86,105.8998336792,127.08,106.112449646
it,were,127.08,106.112449646,127.36,106.3225250244
is,looking,127.36,106.3225250244,127.84,106.706199646
we,right,127.84,106.706199646,128.32,106.8799972534
dont,through,128.32,106.992805481,128.76,107.3274917603
really,you,128.76,107.3274917603,129.4,108.878364563
care,oh,129.4,109.5811920166,130.32,110.2430114746
oh,oh,159.89999999999998,110.2430114746,159.98,111.3534698486
and,and,159.98,111.4623565674,160.06,111.6784515381
the,the,160.06,111.6784515381,160.08,111.823677063
sharks,clothes,160.08,111.9505844116,160.08,112.2539825439
pop,that,160.08,112.2539825439,160.16,112.593421936
in,you,160.16,112.593421936,160.16,112.8360061646
felicab,wear,160.16,112.8360061646,160.18,113.2342834473
i,we,160.18,113.4386978149,160.24,113.6768264771
run,dont,160.24,113.6768264771,160.24,113.9707260132
outside,mean,160.24,114.0686798096,160.24,114.3210449219
and,to,160.24,114.4051589966,160.26,114.7539672852
ive,stare,160.26,114.8702316284,160.26,116.0489807129
been,oh,160.26,117.0470428467,160.26,117.6554718018
there,oh,160.26,117.6554718018,160.26,118.5763244629
so,but,160.26,118.7974700928,160.28,118.9224472046
looking,the,160.28,119.0577468872,160.3,119.2288589478
at,people,160.3,119.2288589478,160.3,119.7264404297
snow,you,160.3,119.7264404297,160.3,119.9689483643
and,know,181.33999999999997,119.9689483643,181.82,120.6204071045
thats,they,181.82,120.9315567017,182.04,120.9991836548
quite,say,182.04,121.1037521362,182.28,121.4310760498
enough,what,182.28,121.4310760498,182.56,121.5346908569
of,they,182.56,121.6553955078,182.76,121.8905487061
that,want,182.76,121.8905487061,182.9,122.1485748291
,to,,122.2741088867,,123.5330581665
,oh,,124.3104476929,,125.0013656616
,oh,,125.0013656616,,126.1865615845
,cause,,126.1865615845,,126.3951034546
,the,,126.3951034546,,126.6234207153
,truth,,126.6234207153,,126.9007949829
,of,,126.9007949829,,127.1262664795
,it,,127.1262664795,,127.2853469849
,is,,127.2853469849,,127.8987731934
,we,,128.2197265625,,128.4279937744
,dont,,128.4279937744,,128.6955108643
,really,,128.7565917969,,129.5346984863
,care,,129.6723327637,,130.9812316895
