whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,late,0.0,29.7795658112,1.82,30.1394958496
you,nights,1.82,30.1394958496,1.84,30.290430069
late,staying,30.0,30.4171047211,30.12,31.1695575714
night,up,30.12,31.1695575714,30.3,32.6646728516
staying,messaging,30.3,33.7788696289,30.72,34.6795005798
up,you,30.72,34.6795005798,32.06,35.3523826599
messaging,can,32.54,36.8181381226,34.26,37.127822876
you,i,34.26,37.127822876,35.26,37.3522529602
can,express,35.52,37.3522529602,36.98,37.8717460632
i,what,36.98,37.9517440796,37.26,38.2059211731
express,im,37.26,38.2059211731,37.62,38.4058952332
what,feeling,37.62,38.4058952332,38.16,38.9746932983
im,for,38.16,39.0910415649,38.38,40.4491615295
feeling,you,38.38,41.1166954041,38.76,41.4168281555
for,without,38.76,41.4168281555,39.5,41.7436752319
you,revealing,40.68,41.8484916687,41.28,42.3880271912
without,truths,41.28,42.4937400818,41.66,43.1484794617
revealing,ive,41.66,43.3061103821,42.26,43.5610122681
truth,been,42.26,43.5610122681,42.72,43.7190513611
ive,thinking,43.2,43.7190513611,43.58,44.0587654114
been,about,43.58,44.0587654114,43.76,44.3632698059
thinking,you,43.76,44.3632698059,44.02,44.6330680847
about,lately,44.02,44.6330680847,44.32,45.4708213806
you,lately,44.32,45.4708213806,44.54,46.5052146912
lately,thats,44.54,46.8500061035,45.1,47.0770301819
thats,a,45.46,47.0770301819,47.14,47.2402114868
a,massive,47.14,47.2402114868,47.32,47.7319526672
massive,understatement,47.32,47.7319526672,47.66,48.7851257324
understatement,baby,47.66,49.0431404114,48.66,49.934513092
baby,i,48.98,50.3738479614,49.56,50.46717453
cant,cant,50.24,50.46717453,50.62,50.6401939392
stop,stop,50.62,50.6401939392,50.76,50.8110656738
thinking,thinking,50.76,50.8926086426,51.1,51.142490387
about,about,51.1,51.142490387,51.42,51.5710830688
you,you,51.42,51.5710830688,51.66,51.8413963318
all,all,51.66,51.8413963318,52.12,52.0301132202
day,day,52.12,52.1296234131,52.44,52.5130882263
and,and,52.44,52.5130882263,52.64,52.6834106445
all,all,52.64,52.6834106445,52.94,53.084728241
night,night,52.94,53.084728241,53.96,54.1431274414
oh,but,54.72,55.1102752686,55.08,55.2809066772
but,is,55.08,55.3515739441,55.28,55.5728759766
is,it,55.28,55.5728759766,55.58,55.8556022644
it,right,55.58,55.9376525879,55.82,56.5522003174
right,finally,55.82,58.2380523682,56.4,58.6201591492
but,figured,56.4,58.7475128174,58.2,59.3735427856
finally,it,58.2,59.3735427856,58.66,59.5710411072
figured,out,58.66,59.5710411072,59.22,60.9175491333
it,i,59.22,61.766368866,59.56,61.9561920166
out,got,59.56,62.0194740295,60.38,62.2353363037
i,my,61.48,62.2353363037,61.9,62.4326515198
got,head,61.9,62.6701011658,62.12,62.9983139038
my,around,62.12,62.9983139038,62.4,63.564781189
head,it,62.4,63.564781189,62.9,64.1277084351
around,although,62.9,65.3521881104,63.4,65.7829360962
it,i,63.4,65.7829360962,64.06,65.9675064087
although,know,65.26,65.9675064087,65.6,66.4085388184
i,ive,65.6,66.4085388184,65.92,66.7399520874
know,got,65.92,66.8350982666,66.22,67.1276855469
ive,to,66.22,67.1276855469,66.78,67.4655761719
got,get,66.78,67.596496582,67.0,68.0518798828
to,myself,67.0,68.1608428955,67.34,69.0070037842
get,out,67.34,69.2890625,67.82,69.5774536133
myself,of,67.82,69.5774536133,68.74,69.7780990601
out,this,68.74,69.7780990601,69.5,70.1992492676
of,habit,69.5,70.1992492676,69.76,71.2852630615
this,of,69.76,72.7567520142,70.16,72.9803161621
