whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
maybe,maybe,12.38,13.1351671219,13.38,13.3457221985
you,you,13.38,13.3457221985,13.66,13.5638217926
had,hate,13.66,13.5638217926,13.98,13.9679546356
me,me,13.98,13.9679546356,14.5,14.5066671371
buy,but,15.1,15.7964200974,16.06,15.9926223755
your,you,16.06,15.9926223755,16.28,16.1778526306
dress,dress,16.28,16.1778526306,16.92,16.9903621674
and,somebodys,16.92,16.9903621674,17.22,18.1536331177
buy,suit,17.22,18.1536331177,17.82,18.9237422943
their,because,17.82,19.180431366,18.04,19.6379432678
suit,theres,18.04,19.6379432678,18.54,20.1926879883
because,no,18.54,20.1926879883,19.78,20.4189720154
theres,risk,19.78,20.4189720154,20.14,21.1047611237
no,to,20.14,22.2186470032,20.32,22.4072761536
risk,put,20.32,22.4072761536,21.1,22.4728565216
to,on,21.1,22.4728565216,22.34,22.6357135773
put,a,22.34,22.6357135773,22.52,22.7524585724
on,mask,22.52,22.7524585724,22.7,23.4158725739
a,when,22.7,25.4693584442,22.78,25.6981563568
mascara,we,22.78,25.6981563568,23.42,25.8804244995
when,get,24.839999999999996,25.8804244995,25.6,26.0093784332
we,scared,25.6,26.0093784332,25.82,29.0418624878
get,to,25.82,29.0418624878,26.0,29.1440868378
scared,live,26.0,29.1440868378,26.92,31.0298404694
to,with,26.92,32.0219230652,29.26,32.170841217
leave,our,29.26,32.170841217,29.98,32.7111129761
with,back,29.98,32.8435516357,32.14,34.6717453003
our,with,32.14,35.2308082581,32.46,35.4074783325
back,our,32.46,35.4074783325,33.92,35.9669837952
with,back,33.92,36.0541267395,35.4,38.3847618103
our,maybe,35.4,39.0803146362,35.68,39.3367195129
back,you,35.68,39.3367195129,36.88,39.6387443542
maybe,love,38.53999999999999,39.6387443542,39.3,40.0560340881
you,me,39.3,40.0560340881,39.68,40.5028572083
loved,but,39.68,41.7337417603,39.98,42.0845718384
me,you,39.98,42.0845718384,41.12,42.3185539246
but,run,41.76,42.3185539246,42.0,42.5966567993
youre,under,42.0,42.5966567993,42.38,42.8661575317
under,the,42.38,42.8661575317,42.62,42.9880180359
the,sun,42.62,42.9880180359,43.06,43.3807640076
sun,and,43.06,43.3807640076,43.38,43.6898002625
and,me,43.38,43.6898002625,43.6,44.0345573425
me,under,43.6,44.0345573425,43.82,44.5054779053
under,the,43.82,44.5054779053,44.28,44.7442741394
the,rain,44.28,44.7442741394,44.62,45.0164108276
rain,its,44.62,45.0164108276,45.0,45.3292198181
its,so,45.0,45.3292198181,45.34,45.7533454895
so,easy,45.34,45.7533454895,45.78,47.5631752014
easy,to,45.78,48.1701507568,46.54,48.2872428894
to,lose,46.54,48.2872428894,48.24,48.4990158081
lose,ourselves,48.24,48.4990158081,48.48,50.3517456055
ourselves,when,48.48,51.421257019,49.32,51.6283378601
when,we,49.32,51.6283378601,51.52,51.8059005737
we,get,51.52,51.8059005737,51.8,52.1452674866
get,scared,51.8,52.1452674866,52.1,55.0620689392
scared,to,52.1,55.0620689392,53.6,55.328704834
to,love,53.6,55.328704834,55.18,56.9193649292
love,with,55.18,57.973400116,55.9,58.1290435791
with,every,57.32,58.1290435791,58.02,58.6869850159
everything,tear,58.02,58.7890396118,59.0,60.5257148743
with,with,61.02,61.1875,61.36,61.4135971069
everything,every,61.36,61.4135971069,62.28,61.8869857788
but,fear,63.9,61.9995269775,64.52,63.7917442322
you,but,64.52,64.3637619019,64.76,64.5336914062
could,you,64.76,64.5336914062,65.04,64.7734451294
give,could,65.04,64.7734451294,65.56,65.0717468262
me,give,65.56,65.224395752,65.7,65.5876312256
just,me,65.7,65.5876312256,66.02,65.8179779053
your,just,66.02,65.8179779053,66.3,66.1091003418
money,your,66.3,66.1091003418,66.92,66.4121551514
but,money,66.92,66.4121551514,67.84,67.250793457
i,but,67.84,67.6768188477,68.06,68.0124893188
dont,i,68.06,68.0124893188,68.2,68.1882019043
wish,wished,68.2,68.1882019043,68.52,68.8173828125
it,just,68.52,68.8173828125,68.68,69.2762145996
was,your,68.68,69.2762145996,68.88,69.8057174683
just,honey,68.88,70.0370941162,69.22,70.5389862061
your,i,69.22,70.5389862061,69.78,70.7099304199
honey,burnt,69.78,70.7099304199,70.5,71.1157302856
and,your,70.5,71.1157302856,70.68,71.3920059204
your,t,70.68,71.3920059204,71.18,71.8000030518
t,shirt,71.18,71.8000030518,71.64,72.1522521973
shirt,that,71.64,72.1522521973,72.08,72.32472229
and,one,72.08,72.32472229,72.3,72.5716247559
run,with,72.3,72.5716247559,72.5,72.9164886475
with,bunny,72.5,72.9164886475,72.74,73.742225647
bonnie,and,72.74,74.1199569702,73.4,74.3259124756
and,now,73.4,74.3259124756,74.26,74.6117095947
now,about,74.26,74.6117095947,74.54,75.1529846191
i,you,74.54,75.1529846191,74.74,75.5575485229
found,nothing,74.74,75.5575485229,75.04,76.3719711304
you,more,75.04,76.6434402466,75.38,76.972618103
nothings,of,75.38,76.972618103,76.66,77.1517715454
more,funny,76.66,77.211479187,76.96,78.6575927734
of,maybe,76.96,84.5135955811,77.22,84.9201660156
funny,well,77.22,84.9201660156,78.04,85.1460189819
maybe,meet,83.9,85.1460189819,84.72,85.5451889038
youll,again,84.72,85.5451889038,85.08,86.4725646973
meet,but,85.08,87.0981063843,85.3,87.4218673706
again,this,85.3,87.4218673706,86.06,87.7376861572
but,not,86.8,87.7376861572,87.28,88.1908798218
its,the,87.28,88.1908798218,87.74,88.5088729858
not,right,87.74,88.5088729858,87.98,89.1718826294
the,life,87.98,89.2412109375,88.38,89.9464874268
right,for,88.38,89.9464874268,88.82,90.1446685791
to,us,88.82,90.1446685791,89.24,90.4464797974
lie,its,89.24,90.4464797974,89.62,90.7102050781
for,so,89.62,90.760597229,90.06,91.1663818359
us,hard,90.06,91.1663818359,90.42,93.0467147827
its,to,90.56,93.6174087524,90.8,93.7769546509
so,live,90.8,93.7769546509,91.18,93.9920272827
hard,our,91.18,93.9920272827,92.94,94.3602600098
to,love,92.94,94.3602600098,93.68,95.136505127
live,when,93.68,96.8257598877,93.94,97.0385971069
with,we,93.94,97.0385971069,94.26,97.2685241699
love,get,94.26,97.2685241699,94.96,97.5165557861
but,scared,95.75999999999999,97.6302261353,96.52,100.459274292
when,to,96.52,100.459274292,96.98,100.5637054443
we,see,96.98,100.5637054443,97.2,101.8993225098
get,inside,97.2,103.3954544067,97.5,103.7442169189
scared,our,97.5,103.7442169189,98.78,103.9020385742
to,soul,98.78,104.0584640503,100.56,105.8321990967
see,inside,100.56,106.5658340454,101.42,107.011390686
inside,our,101.42,107.011390686,103.62,107.2108840942
our,soul,103.62,107.3345031738,103.96,109.1555557251
soul,but,103.96,109.8404159546,104.52,109.9899291992
but,you,109.03999999999999,109.9899291992,109.8,110.2150497437
you,could,109.8,110.2150497437,110.14,110.4682235718
could,give,110.14,110.4682235718,110.4,110.888458252
give,me,110.4,110.888458252,110.88,111.2060241699
me,just,110.88,111.2060241699,111.1,111.5540466309
just,your,111.1,111.5540466309,111.42,111.820602417
your,money,111.42,111.820602417,111.7,112.8158721924
money,but,111.7,113.1476211548,112.3,113.5118942261
but,i,112.92,113.5118942261,113.3,113.647644043
i,wished,113.3,113.647644043,113.54,114.2089385986
wish,just,113.54,114.2089385986,113.92,114.672416687
it,your,113.92,114.672416687,114.1,115.2725601196
was,honey,114.1,115.5307846069,114.32,116.0044784546
just,i,114.32,116.0044784546,114.62,116.1330337524
your,burnt,114.62,116.1330337524,115.16,116.5062484741
honey,your,115.16,116.5062484741,115.92,116.8653945923
and,t,115.92,116.8653945923,116.64,117.2099990845
your,shirt,116.64,117.2099990845,116.64,117.5151748657
t,that,116.64,117.5151748657,117.02,117.6889419556
shirt,one,117.02,117.6889419556,117.5,117.9546356201
and,with,117.5,117.9546356201,117.9,118.3395385742
run,bunny,117.9,118.3395385742,117.94,119.3578262329
with,and,117.94,119.5838317871,118.26,119.7585372925
bonnie,now,118.26,119.7585372925,118.86,120.0167770386
and,about,118.86,120.0167770386,119.72,120.5722961426
now,you,119.72,120.5722961426,119.98,120.9881134033
i,nothing,119.98,120.9881134033,120.18,121.7904052734
found,more,120.18,122.0578231812,120.5,122.411857605
you,of,120.5,122.411857605,120.74,122.633934021
nothings,funny,120.74,122.633934021,122.06,123.2610321045
more,your,122.06,123.2610321045,122.36,123.5214691162
of,mind,122.36,123.5214691162,122.6,123.8823394775
funny,is,122.6,123.8823394775,123.04,124.2214202881
your,closed,123.04,124.2214202881,123.4,124.6178588867
mind,like,123.4,124.6178588867,123.78,125.0443954468
is,an,123.78,125.0443954468,124.18,125.1918334961
closing,aquarium,124.18,125.2762527466,124.52,126.0559921265
like,mine,124.52,126.0559921265,124.9,126.3553390503
an,completly,124.9,126.3553390503,125.26,127.3030471802
aquarium,opened,125.26,127.3030471802,125.74,127.8336029053
im,like,125.74,127.8336029053,126.5,128.1164398193
completely,the,126.5,128.1164398193,126.9,128.2975006104
open,colosseum,126.9,128.4751281738,127.74,129.5165557861
like,so,127.74,129.5940856934,128.06,129.8457183838
the,nothing,128.06,129.8457183838,128.32,130.5035247803
colosseum,about,128.32,130.5035247803,129.52,131.1203155518
so,idyll,129.52,131.3259124756,129.78,132.1886138916
nothings,between,129.78,132.4761810303,130.64,133.1444091797
about,us,130.64,133.1444091797,130.86,135.783416748
it,its,130.86,135.783416748,131.52,135.9942321777
till,not,131.52,135.9942321777,131.96,136.152633667
there,a,131.96,136.152633667,132.22,136.3353729248
between,wrong,132.22,136.3353729248,132.88,136.6540222168
us,accent,132.88,136.6540222168,133.8,136.9238891602
its,no,135.44,136.9238891602,136.14,138.1365509033
the,no,136.14,138.5407867432,136.26,138.7424316406
wrong,no,136.26,138.7424316406,136.56,138.9736938477
consent,no,136.56,138.9736938477,137.08,139.2839813232
no,no,137.08,139.2839813232,138.34,139.5597991943
no,no,138.56,139.5597991943,138.64,139.8572845459
no,no,138.8,139.8572845459,139.02,140.1669616699
no,no,139.04,140.1669616699,139.32,141.1265258789
no,whats,139.32,141.4552764893,139.58,141.9355316162
no,wrong,139.58,141.9355316162,139.88,142.3456115723
no,is,139.88,142.3456115723,140.2,142.6518707275
no,the,140.2,142.6518707275,140.42,142.7229003906
no,concept,140.42,142.8460845947,140.52,145.1392364502
no,wrong,140.52,145.5022583008,140.96,146.091217041
whats,concept,140.96,146.091217041,141.82,147.9157409668
so,to,141.82,147.9157409668,142.04,148.2870941162
wrong,love,142.04,148.2870941162,142.3,148.6858062744
is,but,142.3,148.6858062744,142.56,148.8884887695
the,you,142.56,148.8884887695,142.74,149.1604614258
concept,could,142.74,149.1604614258,144.38,149.5869293213
wrong,give,145.04000000000002,149.5869293213,145.74,149.8634490967
concept,me,145.74,149.8634490967,147.82,150.0775909424
i,just,147.82,150.0775909424,148.08,150.391494751
love,your,148.08,150.391494751,148.08,150.6874542236
it,money,148.08,150.6874542236,148.08,151.8439941406
too,but,148.08,152.0272521973,148.1,152.3427276611
long,i,148.1,152.3427276611,148.54,152.5615386963
but,wished,148.54,152.5615386963,148.92,153.1007232666
you,just,148.92,153.1007232666,149.06,153.6296234131
could,your,149.06,153.6296234131,149.42,154.1442108154
give,honey,149.42,154.4208679199,149.86,154.9474334717
me,i,149.86,154.9474334717,150.04,155.0773010254
just,burnt,150.04,155.0773010254,150.34,155.3957672119
your,your,150.34,155.3957672119,150.62,155.8099822998
money,t,150.62,155.8099822998,151.14,156.0500030518
but,shirt,151.14,156.0500030518,152.26,156.4421691895
i,that,152.26,156.4421691895,152.46,156.7101745605
wish,one,152.46,156.7101745605,152.88,156.8919067383
it,with,152.88,156.8919067383,153.02,157.270980835
was,bunny,153.02,157.270980835,153.18,158.2657623291
just,and,153.18,158.4961547852,153.52,158.5919647217
your,now,153.52,158.5919647217,154.06,158.8872833252
honey,about,154.06,158.8872833252,154.82,159.43699646
and,you,154.82,159.43699646,154.84,159.841796875
your,nothing,154.84,159.841796875,155.2,160.6095275879
t,more,155.2,160.8719482422,155.96,161.2978210449
shirt,of,155.96,161.2978210449,156.42,161.5013122559
and,funny,156.42,161.5013122559,156.64,162.0045013428
run,you,156.64,162.0045013428,156.8,162.2095031738
with,could,156.8,162.2095031738,157.2,162.4945983887
bonnie,give,157.2,162.4945983887,157.78,162.8833618164
and,me,157.78,162.8833618164,158.66,163.1145477295
now,just,158.66,163.1145477295,158.88,163.4244842529
i,your,158.88,163.4244842529,159.08,163.7448272705
found,money,159.08,163.7448272705,159.38,164.5859375
