whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
musik,die,23.92,28.0264854431,25.32,28.1164627075
die,welt,27.12,28.2006340027,28.1,28.5692520142
welt,um,28.1,28.6243991852,28.58,28.8682079315
um,mich,28.58,28.8682079315,28.82,29.4603176117
mich,herum,28.82,29.5125617981,29.42,30.3426761627
herum,bewegt,29.42,30.3426761627,30.1,31.1640815735
bewegt,sich,30.1,31.248254776,31.22,32.1248054504
sich,stetig,31.22,32.1248054504,31.82,33.7705230713
stetig,alles,31.82,35.2943305969,33.86,35.7645339966
alles,rauscht,33.86,35.7645339966,35.64,36.1041259766
rauscht,nur,35.64,36.194103241,36.14,36.5830383301
nur,so,36.14,36.5830383301,36.4,36.7999992371
so,an,36.4,36.7999992371,36.76,37.0684814453
an,mir,36.76,37.0684814453,37.02,37.3879356384
mir,vorbei,37.02,37.4944229126,37.34,39.5559196472
vorbei,sehe,37.34,42.4816322327,38.26,43.4271202087
sehe,alles,42.0,43.4271202087,42.980000000000004,44.0424499512
alles,nur,42.980000000000004,44.1360549927,43.96,44.7854881287
nur,verschleiert,43.96,44.7854881287,44.44,46.2432670593
verschleiert,scheint,44.44,46.5095672607,45.96,46.718547821
scheint,so,45.96,46.718547821,46.64,46.9275283813
so,weit,46.64,46.9275283813,46.84,47.0552368164
weit,weg,46.84,47.1829490662,47.08,47.5007705688
weg,doch,47.08,47.6067123413,47.52,47.8737411499
doch,ist,47.58,47.8737411499,47.8,48.2858963013
ist,es,47.8,48.2858963013,48.2,48.5043067932
es,hier,48.2,48.5043067932,48.46,49.3627204895
hier,ich,48.46,50.2189559937,49.24,50.3553733826
ich,fühle,49.24,50.4743766785,50.34,50.648525238
fühl,mich,50.34,50.648525238,50.6,50.9329719543
mich,hypnotisiert,50.6,50.9329719543,50.82,53.6555099487
hypnotisiert,und,50.82,57.533241272,53.0,57.9221763611
und,von,56.540000000000006,58.0324707031,57.82,58.2994995117
von,weit,57.82,58.2994995117,58.16,58.9786834717
weit,entfernt,58.16,58.9786834717,58.94,60.0816345215
entfernt,höre,58.94,60.3428573608,60.04,60.6621322632
hör,ich,60.04,60.6621322632,60.56,61.0510673523
ich,ein,60.56,61.0510673523,61.0,61.4980506897
ein,geräusch,61.0,61.4980506897,61.42,64.3831329346
geräusch,ein,61.42,64.8126983643,64.18,65.0042648315
ein,zarter,64.18,65.0666656494,64.96,65.5847625732
zarter,klang,64.96,65.7008590698,65.58,66.4264831543
klang,der,65.58,66.8270263672,66.4,67.0824508667
der,mein,66.54,67.0824508667,66.96,67.5787734985
mein,herz,66.96,67.7442169189,67.62,68.2376403809
herz,erfreut,67.62,68.2376403809,68.18,70.5306091309
erfreut,musik,68.18,70.5828552246,70.2,71.9760513306
musik,du,70.2,71.9760513306,70.58,72.2546920776
du,bist,72.0,72.2546920776,72.1,72.8584136963
bist,zurück,72.1,72.8584136963,72.78,74.0716552734
zurück,um,72.78,74.6115188599,73.46,74.7798614502
um,mich,73.46,74.7798614502,74.74,74.9714279175
mich,mit,74.74,75.0236740112,74.94,75.2674865723
mit,liebe,74.94,75.2674865723,75.16,75.9234466553
liebe,aufzufüllen,75.16,75.9234466553,75.74,77.6997756958
aufzufüllen,um,75.74,78.291885376,77.66,78.4660339355
um,meine,77.66,78.4660339355,78.42,78.8636703491
meine,seele,78.42,78.9246292114,78.82,79.5994567871
seele,zu,78.82,79.7024917603,79.5,80.3642654419
zu,berühren,79.5,80.3642654419,80.04,84.6657562256
berühren,sind,80.04,85.507484436,81.82,85.6707458496
sind,die,84.53999999999999,85.7745132446,85.66,85.884803772
die,depressionen,85.66,85.9660797119,85.88,86.9122924805
depressionen,auch,85.88,86.9122924805,86.96,87.111114502
auch,noch,86.96,87.2025375366,87.12,87.7482070923
noch,so,87.12,87.7482070923,87.48,88.0907058716
so,groß,87.48,88.0907058716,87.94,89.1747817993
groß,holst,87.94,89.5361480713,89.04,89.8496170044
holst,du,89.04,89.8496170044,89.82,90.0179595947
du,mich,89.82,90.0179595947,89.92,90.209526062
mich,immer,89.92,90.209526062,90.16,91.0686645508
immer,wieder,90.16,91.0686645508,90.66,91.8000869751
wieder,raus,90.66,91.8000869751,91.58,92.8689346313
raus,gibst,91.58,93.3906555176,92.36,93.6809082031
gibst,mir,92.36,93.6809082031,93.6,93.9073028564
mir,mut,93.6,93.9073028564,93.78,94.3542861938
mut,und,93.78,94.3542861938,94.3,94.5378646851
und,kraft,94.3,94.667755127,94.54,95.2453536987
kraft,für,94.54,95.3585510254,95.16,95.4978713989
für,jeden,95.16,95.4978713989,95.44,96.6878890991
jeden,neuen,95.44,96.6878890991,96.38,97.1189117432
neuen,tag,96.38,97.204536438,96.98,99.9227218628
tag,wäre,96.98,100.4727401733,97.62,100.7165527344
wär,ich,99.86,100.7165527344,100.7,101.0459899902
ich,taub,100.7,101.1867599487,100.98,101.7948303223
taub,oder,100.98,101.9356002808,101.88,102.3883895874
oder,wäre,101.88,102.3883895874,102.22,102.5741500854
wär,ich,102.22,102.5741500854,102.52,102.8092498779
ich,stumm,102.52,102.864402771,102.8,103.4884338379
stumm,hätte,102.8,104.0370101929,103.24,104.3301620483
hätt,ich,103.24,104.3301620483,104.3,104.5536499023
ich,all,104.3,104.5536499023,104.48,104.6770095825
all,diese,104.48,104.7510223389,104.68,105.2212219238
diese,lieder,104.68,105.2212219238,105.04,105.9468460083
lieder,nie,105.04,105.9468460083,105.74,106.3183670044
nie,gesungen,105.74,106.4286651611,106.24,107.660774231
gesungen,hätte,106.24,108.071472168,107.2,108.6947860718
hätt,ich,107.2,108.6947860718,108.34,109.1352386475
ich,nicht,108.34,109.4878921509,109.02,109.7723388672
nicht,mal,109.02,109.7723388672,109.64,110.3804092407
mal,gewusst,109.64,110.4515228271,110.04,111.3919296265
gewusst,wie,110.04,111.3919296265,111.26,111.5791397095
wie,mir,111.44,111.6415405273,111.52,111.8214950562
mir,jetzt,111.52,111.8214950562,111.78,112.0653076172
jetzt,geschieht,111.78,112.1233596802,112.06,115.1825866699
geschieht,musik,112.06,115.6585922241,113.28,116.9371414185
musik,du,114.74,117.0459899902,116.1,117.2419052124
du,bist,117.1,117.3652572632,117.18,118.0386428833
bist,zurück,117.18,118.0386428833,117.86,119.2707519531
zurück,um,117.86,119.7104797363,118.54,119.9078445435
um,mich,118.54,119.9078445435,119.88,120.0979614258
mich,mit,119.88,120.1922912598,120.1,120.3156433105
mit,liebe,120.1,120.3156433105,120.3,121.0514297485
liebe,aufzufüllen,120.3,121.0514297485,120.92,123.1760559082
aufzufüllen,um,120.92,123.4546966553,122.82,123.6346511841
um,meine,122.82,123.6346511841,123.56,124.0874404907
meine,seele,123.56,124.0874404907,124.0,124.69115448
seele,zu,124.0,124.807258606,124.64,125.521270752
zu,berühren,124.64,125.521270752,125.22,132.2608642578
berühren,die,125.22,161.1522827148,127.32,161.3961029053
oooh,erde,127.32,161.3961029053,127.86,161.8793640137
ooo,kreist,127.86,162.0404510498,129.34,162.7486572266
untertitelung,und,157.73999999999998,162.7486572266,159.14,163.0098876953
des,kreist,159.14,163.0098876953,159.14,163.6368255615
zdf,sie,159.14,163.6368255615,159.14,163.8051757812
für,dreht,159.14,163.9444885254,159.14,164.4959564209
funk,sich,159.14,164.6207733154,159.14,165.5408630371
2017,ewig,159.14,165.5408630371,159.14,167.0907897949
die,alles,159.34,169.1979980469,161.26,169.6217651367
erde,kommt,161.26,169.7320709229,161.82,170.1500244141
kreist,und,161.82,170.1500244141,162.66,170.4402770996
und,zieht,162.66,170.5854034424,162.86,171.090423584
kreist,vorbei,162.86,171.090423584,163.5,173.2266693115
sie,suche,163.62,176.1407775879,163.82,177.0231323242
dreht,ordnung,163.82,177.0231323242,164.54,177.7429504395
sich,in,164.54,177.7429504395,165.44,178.126083374
ewig,dem,165.44,178.126083374,166.68,178.4279327393
