whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
amen,now,7.359999999999999,51.1984405518,8.76,51.4237937927
amen,that,34.54,51.4237937927,35.94,51.5590667725
amen,i,65.91999999999999,51.5590667725,67.32,51.7499313354
amen,have,90.0,51.7499313354,90.2,52.0019798279
amen,found,120.82,52.0019798279,122.22,52.3786468506
amen,you,153.78,52.3786468506,155.18,53.263671875
amen,im,184.6,53.7803916931,186.0,54.0263366699
amen,okay,210.0,54.0263366699,211.0,55.6669387817
amen,but,244.04,57.1673278809,245.44,57.3358039856
,the,,57.3358039856,,57.5199623108
,people,,57.5199623108,,57.9728660583
,that,,57.9728660583,,58.1925735474
,surround,,58.1925735474,,58.8243217468
,you,,58.8243217468,,59.5853042603
,act,,60.4125137329,,60.8539466858
,strange,,60.8539466858,,62.1670761108
,will,,64.0067825317,,64.2592926025
,we,,64.2592926025,,64.4942932129
,ever,,64.4942932129,,64.8584976196
,fold,,64.8584976196,,65.2198638916
,up,,65.2198638916,,66.0419082642
,dont,,66.7765426636,,67.3437271118
,say,,67.3437271118,,68.4408187866
,maybe,,70.4015045166,,70.793258667
,just,,70.793258667,,71.0260620117
,a,,71.0260620117,,71.2562408447
,heads,,71.2562408447,,71.6942214966
,up,,71.6942214966,,72.5463943481
,is,,72.9529953003,,73.2722167969
,ok,,73.2722167969,,74.8611373901
,when,,89.5637969971,,89.7834243774
,i,,89.7834243774,,89.9976272583
,am,,89.9976272583,,90.2309036255
,in,,90.2309036255,,90.3594894409
,focus,,90.3594894409,,91.7153930664
,i,,92.1673660278,,92.2668914795
,seem,,92.2668914795,,92.9115600586
,blind,,92.9115600586,,94.1968231201
,i,,96.0041732788,,96.1812896729
,can,,96.1812896729,,96.3960266113
,barely,,96.3960266113,,96.8523025513
,notice,,96.8523025513,,98.3145141602
,the,,98.8019180298,,99.3604431152
,time,,99.3604431152,,100.7085723877
,who,,102.4031524658,,102.6125793457
,can,,102.6125793457,,102.8916702271
,i,,102.8916702271,,103.0682067871
,believe,,103.0682067871,,103.6377639771
,in,,103.6377639771,,104.3860321045
,if,,105.007484436,,105.1845855713
,not,,105.1845855713,,105.8142547607
,you,,105.8142547607,,107.6165084839
,youre,,108.8301849365,,109.0034332275
,the,,109.0034332275,,109.1769332886
,only,,109.1769332886,,109.6164703369
,reason,,109.6164703369,,110.9434890747
,im,,111.6029586792,,112.1615371704
,true,,112.1615371704,,113.2038116455
,aw,,115.2082366943,,116.4412384033
,ah,,116.4412384033,,117.8699569702
,aw,,117.8699569702,,121.4921035767
,ah,,121.4921035767,,124.1942443848
,aw,,124.1942443848,,127.928024292
,aw,,127.928024292,,128.6494598389
,ah,,128.6494598389,,129.3294525146
,aw,,129.3294525146,,130.8916473389
,ah,,130.8916473389,,134.0587615967
,aw,,134.0587615967,,134.8846893311
,ah,,134.8846893311,,135.3395080566
,aw,,135.3395080566,,137.2512054443
,aw,,137.2512054443,,137.7867126465
,ah,,137.7867126465,,140.723815918
,ive,,142.0282592773,,142.3751525879
,thought,,142.3751525879,,143.0043792725
,enough,,143.0043792725,,144.8025360107
,should,,145.0497283936,,145.4142150879
,i,,145.4142150879,,145.5393218994
,turn,,145.5393218994,,146.1827087402
,this,,146.1827087402,,146.6045227051
,around,,146.6045227051,,147.9123382568
,is,,148.3482818604,,148.8110809326
,this,,148.8110809326,,149.4306640625
,a,,149.4306640625,,149.9577484131
,bluff,,149.9577484131,,151.4845581055
,should,,151.4845581055,,151.7680969238
,i,,151.7680969238,,151.9938964844
,really,,151.9938964844,,152.5602264404
,make,,152.5602264404,,152.9821166992
,a,,152.9821166992,,153.1403808594
,sound,,153.193145752,,154.3009490967
,am,,154.7694396973,,155.1949920654
,i,,155.1949920654,,155.801574707
,alright,,155.801574707,,157.4007263184
,or,,157.4007263184,,157.8211517334
,am,,157.8211517334,,158.1130828857
,i,,158.1130828857,,158.2834625244
,steering,,158.2834625244,,158.9918365479
,out,,158.9918365479,,159.4119720459
,of,,159.4119720459,,159.7475891113
,sight,,159.7475891113,,161.239364624
,aw,,172.8355560303,,174.0394897461
,ah,,174.0394897461,,175.219039917
,aw,,175.219039917,,175.8442840576
,ah,,175.8442840576,,178.9736022949
,aw,,179.4630279541,,180.672744751
,aw,,180.672744751,,182.0712432861
,ah,,182.0712432861,,182.6715087891
,aw,,182.6715087891,,184.7553710938
,ah,,185.5726776123,,186.2877807617
,aw,,186.2877807617,,186.9566650391
,ah,,186.9566650391,,187.7889404297
,aw,,187.7889404297,,188.5345458984
,aw,,188.5345458984,,189.060333252
,ah,,189.060333252,,191.0944213867
