whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
keep,keep,9.74,10.1839199066,10.38,10.4235830307
on,on,10.38,10.4761419296,10.68,10.7469081879
working,working,10.68,10.7469081879,11.04,11.2713193893
on,on,11.04,11.2713193893,11.44,11.4823484421
your,your,11.44,11.4823484421,11.62,11.7057590485
dreams,dreams,11.62,11.7057590485,12.76,12.3210887909
and,and,12.94,13.1772708893,13.32,13.3562240601
dont,dont,13.32,13.3562240601,13.56,13.4893426895
run,run,13.56,13.6011247635,13.72,13.8784322739
awake,away,13.72,13.8784322739,14.38,14.5356912613
keep,keep,19.06,19.5218162537,19.7,19.8782653809
on,on,19.7,19.8782653809,20.08,20.1689472198
following,following,20.08,20.1689472198,20.38,20.4860630035
your,your,20.38,20.4860630035,20.66,20.6758728027
dreams,dreams,20.66,20.7391414642,21.84,21.4022674561
and,and,22.14,22.3159484863,22.46,22.4729442596
dont,dont,22.46,22.4729442596,22.72,22.6503410339
go,go,22.72,22.7497768402,22.94,23.0028762817
astrake,astray,22.94,23.0028762817,23.78,23.6495246887
searching,we,28.6,28.4551105499,29.28,28.6214962006
everywhere,searching,29.28,28.6781139374,29.9,29.3512210846
for,everywhere,29.98,29.3512210846,30.86,30.51537323
a,for,30.86,30.7036113739,31.06,30.9238643646
piece,the,31.06,30.9238643646,31.34,31.0040817261
of,peace,31.34,31.0713806152,31.56,31.3932266235
mine,of,31.56,31.3932266235,32.02,31.623336792
its,mind,37.52,31.623336792,38.2,32.0725631714
already,its,38.2,37.9040870667,38.68,38.1864967346
there,already,38.68,38.1864967346,39.3,38.8464202881
but,there,39.64,38.8464202881,39.9,39.5885696411
you,but,39.9,39.7653770447,40.1,39.9016685486
cannot,we,40.1,39.9016685486,40.66,40.0803642273
find,can,40.66,40.1399383545,41.26,40.560874939
i,not,45.88,40.560874939,46.56,40.7974586487
keep,find,46.56,40.9109230042,46.9,41.6391830444
struggling,i,46.9,46.4487571716,47.32,46.6031761169
for,keep,47.32,46.6830177307,47.68,46.8984184265
my,struggling,47.68,46.8984184265,47.92,47.5236282349
life,for,47.92,47.5236282349,48.44,47.7559928894
but,my,48.66,47.7559928894,49.0,47.9686927795
im,life,49.0,47.9686927795,49.2,48.5638084412
a,but,49.2,48.9086761475,49.26,49.0238990784
strong,im,49.26,49.0238990784,49.5,49.1427574158
man,a,49.5,49.1427574158,49.8,49.2406349182
today,strong,49.8,49.2406349182,50.22,49.6128044128
i,man,55.019999999999996,49.6128044128,55.74,49.8358726501
keep,today,55.74,49.8358726501,56.02,50.7123794556
fighting,i,56.02,55.6054878235,56.54,55.7952613831
for,keep,56.54,55.8585205078,56.86,56.0912437439
my,fighting,56.86,56.0912437439,57.1,56.7076187134
rights,for,57.1,56.7076187134,57.62,56.9324874878
so,my,57.86,56.9324874878,58.02,57.1157188416
much,rights,58.02,57.1157188416,58.3,57.7117462158
songs,so,58.3,57.7786483765,58.76,58.0963935852
to,much,58.76,58.0963935852,59.04,58.4150238037
play,songs,59.04,58.4150238037,59.44,58.862827301
so,to,64.72,58.862827301,65.44,59.135017395
many,play,65.44,59.135017395,65.74,59.9219970703
problems,so,65.74,65.2625350952,66.5,65.5398864746
so,many,67.58,65.5398864746,67.72,65.8752365112
many,problems,67.72,65.8752365112,68.06,66.6122436523
close,so,68.06,67.5313186646,68.44,67.8183059692
friends,many,68.44,67.8183059692,68.88,68.1620635986
and,close,69.5,68.1620635986,70.06,68.4760131836
when,friends,70.06,68.4760131836,70.28,69.4008178711
its,and,70.28,69.8949127197,70.64,70.0869598389
gonna,when,70.64,70.0869598389,70.96,70.3281097412
rain,its,70.96,70.3281097412,71.6,70.6024475098
im,gonna,72.2,70.7240524292,72.5,71.0514144897
in,rain,72.5,71.0514144897,72.64,71.6930618286
your,how,72.64,72.1801834106,72.88,72.4644317627
sand,many,72.88,72.4644317627,73.28,72.7428970337
so,gonna,73.28,72.7428970337,74.58,72.9829025269
many,stand,74.58,72.9829025269,74.9,73.4367370605
problems,so,74.9,74.4298400879,75.52,74.7018890381
so,many,75.68,74.7018890381,76.86,75.1105575562
many,problems,76.86,75.1105575562,77.24,75.7093887329
close,so,77.24,76.6917495728,77.56,76.9321594238
friends,many,77.56,76.9321594238,78.06,77.3158340454
and,close,78.48,77.3158340454,79.18,77.6129074097
when,friends,79.18,77.6129074097,79.44,78.5371398926
its,and,79.44,79.0344543457,79.74,79.2234725952
gonna,when,79.74,79.2234725952,80.06,79.4877243042
rain,its,80.06,79.4877243042,80.76,79.7776489258
im,gonna,81.32,79.7776489258,81.66,80.1746826172
in,rain,81.66,80.1746826172,81.78,80.8097991943
your,how,81.78,81.3608932495,81.88,81.5739059448
sand,many,81.88,81.5739059448,82.3,81.8918075562
keep,gonna,91.94,81.8918075562,92.62,82.1062927246
on,stand,92.62,82.1062927246,92.96,82.4424514771
working,keep,92.96,92.4879150391,93.38,92.7787322998
on,on,93.38,92.7787322998,93.72,93.0316543579
your,working,93.72,93.0316543579,93.92,93.5937728882
dreams,on,93.92,93.5937728882,95.04,93.759185791
and,your,95.28,93.759185791,95.6,94.0275497437
dont,dreams,95.6,94.0275497437,95.84,94.5574569702
run,and,95.84,95.4888763428,96.02,95.6586608887
away,dont,96.02,95.6586608887,96.84,95.8882751465
keep,runaway,101.32,95.8882751465,102.0,97.0013580322
on,keep,102.0,101.8823013306,102.34,102.137260437
following,on,102.34,102.137260437,102.68,102.4715652466
your,following,102.68,102.4715652466,102.92,102.735534668
dreams,your,102.92,102.735534668,104.14,103.0202713013
and,dreams,104.38,103.0202713013,104.74,103.7003173828
dont,and,104.74,104.611541748,105.0,104.7862243652
go,dont,105.0,104.7862243652,105.22,105.0427856445
astrake,go,105.22,105.0427856445,106.06,105.2417526245
sit,astray,110.64,105.2417526245,111.44,105.8742828369
back,sit,111.44,111.2373275757,111.76,111.4557800293
and,back,111.76,111.5749130249,111.96,111.808555603
watch,and,111.96,111.808555603,112.36,111.9649581909
what,watch,112.36,111.9649581909,113.0,112.4208602905
happened,what,113.0,112.8131103516,113.48,113.0910949707
those,happens,113.48,113.0910949707,113.78,113.6245269775
days,those,113.78,113.6245269775,114.14,113.9042510986
how,days,119.52,113.9042510986,120.32,114.3582763672
can,how,120.32,120.1715698242,120.64,120.3851242065
i,can,120.64,120.3851242065,120.92,120.7431488037
relax,i,120.92,120.7431488037,121.56,120.9753646851
for,relax,121.56,120.9753646851,122.04,121.6736297607
the,for,122.04,121.9063873291,122.26,122.1038589478
children,the,122.26,122.1038589478,122.64,122.3196716309
of,children,122.64,122.3196716309,123.38,123.0646362305
today,of,123.38,123.0646362305,123.96,123.3662109375
were,today,128.46,123.4667282104,129.22,124.408164978
smart,were,129.22,129.0613861084,129.52,129.217086792
enough,smart,129.52,129.217086792,129.9,129.5755310059
