whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,i,0.0,40.6052246094,1.34,40.7647972107
you,got,1.34,40.7647972107,1.62,40.9481430054
thank,a,42.480000000000004,40.9481430054,43.88,41.107219696
you,lot,43.88,41.107219696,45.28,41.2617835999
thank,on,65.32000000000001,41.2617835999,66.28,41.3989295959
you,my,66.28,41.3989295959,67.24,41.5727233887
thank,mind,91.0,41.5727233887,92.4,41.8992271423
you,and,92.4,41.8992271423,93.14,42.2162322998
thank,all,131.3,42.2162322998,132.5,42.4815483093
you,of,132.5,42.4815483093,133.1,42.6269226074
thank,the,156.35999999999999,42.6269226074,157.76,42.8588485718
you,time,157.76,42.8588485718,159.16,43.2763442993
thank,been,180.92000000000002,43.2763442993,181.96,43.4610061646
you,trying,181.96,43.4610061646,182.48,43.767375946
thank,to,209.66,43.767375946,211.06,43.8836479187
you,do,211.06,43.8836479187,212.46,44.2109718323
thank,right,212.48,44.2109718323,212.94,44.8881645203
you,i,212.94,45.6541175842,214.48000000000002,45.7518920898
thank,may,214.48,45.7518920898,214.9,45.8672904968
you,have,214.9,45.8672904968,216.48000000000002,46.0128326416
thank,the,216.48,46.0128326416,217.08,46.1162338257
you,lost,217.08,46.1162338257,218.48000000000002,46.3903083801
thank,the,254.38,46.3903083801,255.6,46.4903793335
you,light,255.6,46.4903793335,256.3,46.8248748779
thank,but,256.32,46.8248748779,256.84,46.971031189
you,im,256.84,46.971031189,257.54,47.1450805664
thank,keeping,260.34000000000003,47.1450805664,261.74,47.5860137939
you,it,261.74,47.5860137939,262.62,47.8140602112
,tight,,47.8900756836,,48.1694450378
,never,,48.1694450378,,48.4960479736
,give,,48.4960479736,,48.7285003662
,up,,48.7285003662,,48.8334770203
,the,,48.8334770203,,48.9044914246
,fight,,48.9944152832,,49.4023628235
,no,,49.4023628235,,50.226940155
,when,,50.718662262,,50.8636703491
,my,,50.8636703491,,50.9555664062
,life,,50.9555664062,,51.3211402893
,is,,51.3211402893,,51.5061759949
,a,,51.5061759949,,51.9510307312
,wreck,,51.9510307312,,52.4506111145
,when,,53.1753540039,,53.3314781189
,my,,53.3314781189,,53.4276657104
,life,,53.4276657104,,53.7622299194
,is,,53.7622299194,,54.0049133301
,a,,54.0049133301,,54.3824386597
,wreck,,54.3824386597,,55.1118354797
,have,,55.5456466675,,55.683265686
,to,,55.7893638611,,55.9020423889
,keep,,55.9715576172,,56.2885665894
,it,,56.2885665894,,56.4681434631
,all,,56.4681434631,,56.7399711609
,in,,56.7399711609,,56.9697952271
,check,,57.0591545105,,57.9655456543
,keep,,57.9655456543,,58.2821502686
,it,,58.2821502686,,58.5112724304
,all,,58.5112724304,,58.7825317383
,in,,58.7825317383,,58.9672355652
,check,,58.9672355652,,59.7681617737
,even,,69.9929733276,,70.3549957275
,in,,70.3549957275,,70.6433868408
,the,,70.6433868408,,70.7934341431
,darkest,,70.7934341431,,71.302696228
,days,,71.302696228,,71.5842208862
,got,,71.6387786865,,71.7360229492
,a,,71.7360229492,,71.9079437256
,trail,,71.9079437256,,72.1327896118
,to,,72.2171707153,,72.4244918823
,blaze,,72.4912643433,,72.8501205444
,gonna,,72.8501205444,,73.0427246094
,stick,,73.1777801514,,73.3561935425
,to,,73.4089736938,,73.5852737427
,my,,73.5852737427,,73.8002700806
,ways,,73.8916244507,,74.5055770874
,i,,74.9295196533,,75.0149688721
,used,,75.0721664429,,75.2565383911
,to,,75.2565383911,,75.447303772
,be,,75.447303772,,75.7109451294
,caught,,75.7109451294,,76.0242233276
,in,,76.0242233276,,76.1594085693
,a,,76.1594085693,,76.1904754639
,phase,,76.2533111572,,76.5257568359
,where,,76.5257568359,,76.84375
,life,,76.84375,,77.136756897
,was,,77.136756897,,77.3087310791
,a,,77.3087310791,,77.3703384399
,maze,,77.4820632935,,77.8093032837
,until,,77.8093032837,,78.0924377441
,i,,78.0924377441,,78.1823120117
