whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
oh,one,7.98,8.7559394836,8.62,9.202955246
one,two,8.8,9.202955246,9.08,9.6072559357
two,three,9.36,9.8037080765,9.5,10.2717676163
three,see,9.86,10.2717676163,10.06,10.6240730286
see,you,10.3,10.6240730286,10.58,10.9389533997
you,looking,10.58,10.9389533997,10.9,11.4242172241
looking,at,10.9,11.4762353897,11.28,11.8421764374
at,me,11.28,12.0336198807,11.78,12.4500236511
me,with,11.78,12.4500236511,12.24,12.6838998795
with,those,12.24,12.8233308792,12.72,13.1016349792
those,eyes,12.72,13.1016349792,13.04,14.0799999237
eyes,four,13.04,17.3817195892,13.68,17.9153690338
four,five,17.0,17.9153690338,17.64,18.3640823364
five,six,18.04,18.49269104,18.22,19.0752811432
six,i,18.56,19.0752811432,18.78,19.2087078094
i,know,19.16,19.3060302734,19.22,19.5990428925
know,that,19.22,19.5990428925,19.56,19.8432273865
that,you,19.56,19.8432273865,19.8,20.1492233276
you,want,19.8,20.1492233276,20.02,20.5583667755
want,this,20.02,20.7109088898,20.48,21.2695350647
this,am,20.48,21.2695350647,21.14,21.5627670288
am,i,21.36,21.5627670288,21.54,21.8578739166
i,right,21.54,21.8578739166,21.76,22.7613601685
right,think,21.76,23.3588428497,22.34,23.7456016541
think,im,22.96,23.7456016541,23.6,24.0344600677
im,right,23.6,24.0344600677,23.98,24.9208164215
right,lets,23.98,25.9320106506,24.42,26.0933513641
lets,skip,25.480000000000004,26.0933513641,26.12,26.2704753876
skip,the,26.12,26.4444122314,26.34,26.5728721619
the,games,26.34,26.5728721619,26.52,27.4404792786
games,fast,26.52,27.4404792786,27.24,27.7557621002
fast,forward,27.56,27.7557621002,27.78,28.0801429749
forward,to,27.78,28.0801429749,28.02,28.1675434113
to,the,28.02,28.1675434113,28.2,28.3295001984
the,whats,28.2,28.3295001984,28.3,28.6586971283
whats,your,28.3,28.6586971283,28.66,28.711473465
your,name,28.66,28.7798938751,28.74,29.1178226471
name,why,28.74,29.1841278076,29.0,29.6573467255
why,take,29.0,29.6573467255,29.4,30.104434967
take,our,29.4,30.104434967,29.92,30.5383110046
our,time,29.92,30.5383110046,30.4,31.079908371
time,time,30.4,32.4357414246,31.02,32.9491157532
time,so,31.2,34.5799331665,32.8,34.9369888306
so,one,34.28,34.9369888306,34.76,35.2943305969
one,two,35.22,35.414440155,35.24,35.7645339966
two,three,35.54,35.8920593262,35.62,36.5635375977
three,know,35.94,36.5635375977,36.2,36.7889823914
know,you,36.36,36.7889823914,36.74,37.0742340088
you,heard,36.74,37.0742340088,36.94,37.5355949402
heard,about,36.94,37.5355949402,37.38,37.8601379395
about,me,37.38,38.0348167419,37.84,38.7327880859
me,thats,37.84,38.7327880859,38.4,38.9334259033
thats,alright,38.4,39.0003089905,39.02,39.7815856934
alright,just,39.02,40.7774238586,39.46,41.0166625977
just,hit,39.86,41.0166625977,40.9,41.2234344482
hit,my,40.9,41.2234344482,41.08,41.5289573669
my,line,41.08,41.5289573669,41.36,42.3473930359
light,oh,41.36,42.8211898804,41.94,43.2890968323
oh,so,42.5,43.2890968323,42.98,43.6277732849
so,come,43.14,43.6277732849,43.5,43.8691978455
come,to,43.5,43.8691978455,43.8,44.0645675659
to,me,43.8,44.0645675659,44.0,44.7912940979
me,tonight,44.0,44.8660240173,44.44,45.1695861816
so,we,44.78,45.1695861816,45.0,45.2738342285
now,dont,45.0,45.2738342285,45.12,45.3977622986
we,have,45.12,45.3977622986,45.28,45.5587997437
dont,to,45.28,45.5587997437,45.38,45.6868553162
have,be,45.38,45.6868553162,45.56,45.8442153931
to,enemies,45.56,45.8442153931,45.64,47.0958747864
be,keep,45.64,47.1928482056,45.8,47.3061103821
enemies,it,45.8,47.3061103821,46.38,47.4417381287
keep,going,46.38,47.4417381287,47.28,47.7179794312
it,like,47.28,47.7179794312,47.44,47.8657073975
going,its,47.44,47.8657073975,47.62,47.999168396
like,meant,47.62,47.999168396,47.86,48.2246780396
its,to,47.86,48.2246780396,47.98,48.4265327454
meant,be,47.98,48.4265327454,48.14,49.3257141113
to,meant,48.14,50.1896400452,48.32,50.3869590759
be,to,48.32,50.3869590759,49.2,50.6253051758
next,be,49.900000000000006,50.6253051758,50.38,50.9884414673
to,just,50.38,50.9884414673,50.58,51.297000885
me,wait,50.58,51.297000885,50.8,51.5232658386
just,and,51.08,51.6154022217,51.14,51.7959060669
dont,see,51.14,51.7959060669,51.3,52.1121177673
wait,so,51.3,52.1121177673,51.46,52.3428573608
and,come,51.46,52.4318161011,51.62,52.6620521545
see,with,51.62,52.6620521545,51.9,52.8686294556
so,me,52.12,52.8686294556,52.2,53.5053062439
come,and,52.2,53.5846557617,52.46,53.7283172607
with,maybe,52.46,53.7283172607,52.72,53.9709510803
me,you,52.72,53.9709510803,53.04,54.1257781982
and,can,53.04,54.1257781982,53.68,54.2617645264
maybe,touch,53.68,54.2617645264,53.9,54.3668518066
you,my,53.9,54.3668518066,54.08,54.5747032166
can,body,54.08,54.5747032166,54.2,55.6179580688
touch,dont,54.2,55.8818435669,54.36,56.0012054443
my,be,54.36,56.0012054443,54.5,56.0747756958
body,scared,54.5,56.0747756958,55.12,56.3358001709
dont,to,55.12,56.3358001709,56.04,56.4931221008
be,take,56.04,56.4931221008,56.1,56.6533737183
scared,ahold,56.1,56.6533737183,56.28,56.9894866943
to,of,56.28,56.9894866943,56.4,57.1069374084
take,me,56.4,57.1650733948,56.62,57.9559173584
a,take,56.62,58.6182823181,56.72,58.7643165588
hold,me,56.72,58.7643165588,56.96,58.9075508118
of,in,56.96,58.9075508118,57.08,59.1663742065
me,and,57.08,59.1663742065,57.46,59.3297462463
take,breathe,58.34,59.3297462463,58.74,59.7500762939
me,tear,58.74,59.7500762939,58.92,59.8515892029
in,me,58.92,59.8515892029,59.16,60.0573577881
and,up,59.16,60.0573577881,59.28,60.1632652283
breathe,to,59.28,60.2531242371,59.58,60.4290924072
throw,pieces,59.74,60.4290924072,59.84,61.2399406433
me,oh,59.84,61.2399406433,60.0,61.6925163269
up,get,60.0,64.0764541626,60.24,64.2319412231
to,a,60.24,64.2319412231,60.34,64.3227233887
pieces,taste,60.34,64.3227233887,60.88,64.537727356
get,of,63.76,64.537727356,64.16,64.7173614502
a,my,64.16,64.7173614502,64.34,64.9013977051
taste,bad,64.34,64.9013977051,64.52,65.1028518677
of,side,64.52,65.1028518677,64.72,65.7995452881
my,just,64.72,68.312828064,64.9,68.501914978
bad,a,64.9,68.501914978,65.1,68.6862869263
side,taste,65.1,68.6862869263,65.6,68.9033203125
just,of,68.1,68.9033203125,68.5,69.088760376
a,my,68.5,69.088760376,68.66,69.2114257812
taste,bad,68.66,69.2685928345,68.86,69.4533920288
of,side,68.86,69.4533920288,69.06,70.4203186035
my,you,69.06,72.5806732178,69.22,72.807800293
bad,want,69.22,72.807800293,69.48,72.9908676147
side,a,69.48,72.9908676147,70.02,73.0706939697
you,taste,72.36000000000001,73.0706939697,72.76,73.3240661621
want,of,72.76,73.3240661621,72.94,73.4677505493
a,my,72.94,73.4677505493,73.04,73.6260986328
taste,bad,73.04,73.6260986328,73.22,73.8209381104
of,side,73.22,73.8209381104,73.42,74.86693573
my,just,73.42,77.0879211426,73.6,77.2609710693
bad,a,73.6,77.2609710693,73.84,77.3966217041
side,taste,73.84,77.3966217041,74.5,77.6149139404
just,of,76.84,77.6149139404,77.24,77.8163223267
a,my,77.24,77.8163223267,77.38,77.9794006348
taste,bad,77.38,77.9794006348,77.58,78.1763076782
of,side,77.58,78.1763076782,77.8,78.9159164429
my,you,77.8,79.2017593384,77.96,79.3640441895
bad,wanna,77.96,79.3640441895,78.16,79.630531311
side,know,78.16,79.630531311,78.62,79.8879852295
you,what,78.62,79.8879852295,79.32,80.0129318237
want,it,79.32,80.0129318237,79.54,80.1140060425
to,feels,79.54,80.1140060425,79.64,80.4353179932
know,like,79.64,80.4353179932,79.8,81.2059860229
what,to,79.8,81.3869171143,80.02,81.4672088623
it,get,80.02,81.5282669067,80.12,81.6470947266
feels,a,80.12,81.6470947266,80.38,81.7819747925
like,taste,80.38,81.7819747925,80.92,82.0246200562
you,of,80.92,82.0246200562,81.46,82.1914825439
want,my,81.46,82.1914825439,81.5,82.3516921997
to,bad,81.5,82.3516921997,81.5,82.5727462769
know,side,81.5,82.5727462769,81.5,83.1259841919
what,la,81.5,83.0046920776,81.5,83.2453155518
it,di,81.5,83.2453155518,81.5,83.3567352295
feels,da,81.5,83.5625610352,81.5,83.7964630127
like,di,81.5,84.0619125366,81.5,84.4843521118
to,bet,81.5,84.5597839355,81.5,84.7914428711
get,youll,81.5,84.7914428711,81.66,85.0149459839
a,think,81.66,85.0894546509,81.74,85.3591918945
taste,its,81.74,85.3591918945,81.98,85.6078338623
of,nothing,81.98,85.6078338623,82.18,86.7207489014
my,till,82.18,86.7207489014,82.32,87.0285415649
bad,it,82.32,87.0285415649,82.58,87.1706085205
side,drops,82.58,87.267250061,83.02,88.198097229
i,all,83.02,88.9170837402,83.1,89.2024078369
hear,at,83.1,89.2024078369,83.28,89.3648986816
that,once,83.28,89.5079193115,83.76,90.3531951904
deep,your,83.76,90.8430480957,84.3,91.0940246582
bet,heart,84.62,91.0940246582,84.78,91.297958374
youll,oh,84.78,91.3828735352,85.02,91.6985015869
think,my,85.02,91.91456604,85.26,92.1825256348
its,oh,85.26,92.1825256348,85.62,92.4800872803
