whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
regier,regiere,10.100000000000001,10.298412323,10.7,10.7453966141
das,das,10.7,10.7453966141,10.96,10.9873018265
biss,biz,10.96,11.0679368973,11.26,11.261677742
wie,wie,11.26,11.261677742,11.48,11.4764623642
ein,ein,11.48,11.4764623642,11.68,11.6876192093
illuminat,illuminat,11.68,11.6876192093,12.8,12.793469429
bin,in,12.8,12.9473018646,13.06,13.2876186371
in,jedem,13.06,13.2876186371,13.24,13.6304759979
jedem,staat,13.24,13.6304759979,13.54,14.0977773666
staat,sowie,13.54,14.0977773666,13.94,14.3847618103
so,im,13.94,14.3847618103,14.22,14.5396823883
wie,emirat,14.22,14.5396823883,14.4,15.3273468018
im,bin,14.4,15.5174598694,14.52,15.6139678955
emirat,ich,14.52,15.6139678955,15.38,15.8269386292
bin,raps,15.38,15.9263496399,15.58,16.1901130676
ich,most,15.58,16.1901130676,15.8,16.5442180634
fred,valuable,15.8,16.5442180634,16.06,17.1330604553
most,thronkandidat,16.06,17.2673015594,16.48,18.4489803314
valuable,hip,16.48,18.7385025024,16.96,19.0171432495
show,hops,16.96,19.0171432495,17.42,19.1902046204
kandidat,best,17.42,19.2457141876,18.52,19.5936508179
hip,limited,18.52,19.5936508179,18.96,20.1817684174
hop,edition,18.96,20.1817684174,19.2,21.1167354584
best,im,19.2,21.394285202,19.5,21.5644435883
limited,lexikon,19.5,21.5644435883,19.86,22.221496582
edition,unter,19.86,22.221496582,20.8,22.5142860413
im,champion,20.8,22.616235733,21.52,23.4864406586
lexikon,erhaltet,21.52,23.7765083313,22.2,24.2474384308
und,von,22.2,24.2474384308,22.4,24.4273929596
als,mir,22.4,24.4273929596,22.56,24.6015415192
champion,die,22.56,24.6015415192,23.24,24.7350559235
erhaltet,originalversion,23.24,24.7350559235,24.24,26.1518363953
von,von,24.24,26.4431743622,24.4,26.5993652344
mir,streetrap,24.4,26.6514282227,24.62,27.2195911407
die,in,24.62,27.2195911407,24.76,27.3531074524
original,germany,24.76,27.3531074524,25.24,28.3559188843
version,wir,25.24,28.5663490295,26.1,28.7230834961
von,geben,26.1,28.7230834961,26.56,29.0525169373
street,alles,26.56,29.0525169373,26.84,29.4893417358
rap,für,26.84,29.4893417358,27.12,29.5796833038
in,die,27.12,29.5796833038,27.36,29.7502040863
germany,company,27.36,29.8742866516,27.9,31.0302047729
wir,folgt,27.9,31.2355556488,28.7,31.5123806
geben,mir,28.7,31.5123806,28.98,31.7184581757
alles,auffällig,28.98,31.7184581757,29.3,32.2692070007
für,zum,29.3,32.2692070007,29.64,32.4419059753
die,hauptmenü,29.64,32.4419059753,29.8,33.4530601501
company,bin,29.8,33.7193641663,30.32,33.8663024902
folgt,euer,30.32,33.8663024902,31.48,34.0926971436
mir,lieblings,31.48,34.0926971436,31.62,34.6285705566
auffällig,baby,31.62,34.7174606323,32.2,35.4742851257
zum,in,32.2,35.4742851257,32.4,35.5787773132
hauptmenü,jeder,32.4,35.5787773132,33.36,35.9640808105
bin,city,33.36,36.0489807129,33.8,36.7706108093
euer,vorbei,33.8,37.0869827271,34.12,37.4770050049
lieblingsbaby,in,34.12,37.4770050049,35.06,37.6203193665
in,der,35.06,37.6203193665,35.56,37.8031730652
jeder,lounge,35.56,37.8031730652,35.9,38.1790466309
cd,an,35.9,38.1790466309,36.48,38.3720626831
vorbei,jeder,36.48,38.3720626831,37.44,38.6612243652
in,security,37.44,38.6612243652,37.6,39.683265686
der,hab,37.6,39.9034919739,37.72,40.0326538086
lounge,mit,37.72,40.1244430542,38.12,40.3149223328
an,abstand,38.12,40.3149223328,38.3,40.7800445557
jeder,die,38.3,40.7800445557,38.58,40.9483909607
security,coolste,38.58,40.9483909607,39.38,41.5161895752
hab,identity,39.38,41.5161895752,40.04,42.3869400024
mit,halte,40.04,42.6107940674,40.28,42.9688873291
abstand,mein,40.28,42.9688873291,40.76,43.1194572449
die,gleichgewicht,40.76,43.1194572449,41.0,43.8984107971
coups,im,41.0,43.8984107971,41.4,44.1092071533
identity,ying,41.4,44.1092071533,42.24,44.355556488
halte,und,42.24,44.355556488,42.9,44.5841255188
mein,yang,42.9,44.5841255188,43.08,45.0057144165
gleichgewicht,hab,43.08,45.2596817017,43.86,45.4588661194
im,einen,43.86,45.4588661194,44.06,45.783946991
ying,inneren,44.06,45.783946991,44.24,46.2653961182
und,drang,44.24,46.2653961182,44.52,46.7526512146
yang,für,44.52,47.075553894,44.86,47.273651123
hab,den,44.86,47.273651123,45.42,47.4895248413
einen,perfekten,45.42,47.4895248413,45.7,48.2996826172
inneren,klang,45.7,48.2996826172,46.22,48.8163261414
drang,vom,46.22,49.1022224426,46.7,49.2749214172
für,aussehen,46.7,49.2749214172,47.2,49.7879371643
den,her,47.2,49.7879371643,47.38,49.9758720398
perfekten,bin,47.38,49.9758720398,48.18,50.1307945251
klang,ich,48.18,50.1307945251,48.72,50.305305481
vom,blickfang,48.72,50.3727874756,49.28,51.1855773926
aussehen,von,49.28,51.4565086365,49.72,51.6825408936
her,hier,49.72,51.6825408936,49.9,51.8675727844
bin,in,49.9,51.8675727844,50.08,51.9695243835
ich,alle,50.08,51.9695243835,50.28,52.2351036072
blickfang,strassen,50.28,52.285533905,51.04,52.924079895
von,in,51.04,52.924079895,51.6,53.0285720825
hier,den,51.6,53.0285720825,51.82,53.2027206421
in,strassen,51.82,53.2027206421,52.0,53.8238563538
alle,leuchten,52.0,53.8238563538,52.2,54.3111114502
straßen,die,52.2,54.3111114502,52.72,54.4972343445
entlang,sterne,52.72,54.4972343445,53.22,55.1111106873
in,klar,53.22,55.1111106873,53.24,55.6081619263
den,so,53.24,55.8552398682,53.26,55.9608154297
straßen,unerreichbar,53.26,56.0330162048,53.54,57.0804519653
leuchten,und,53.54,57.0804519653,54.24,57.2749214172
die,doch,54.24,57.2749214172,54.48,57.5854873657
sterne,so,54.48,57.5854873657,55.02,57.8336524963
klar,nah,55.02,57.8336524963,55.4,58.3444900513
so,lichter,83.97999999999999,58.6057128906,85.38,59.0657577515
unerreichbar,scheinen,85.38,59.0657577515,85.38,59.6114273071
und,auf,85.38,59.6114273071,85.38,59.7815856934
doch,das,85.38,59.7815856934,85.38,59.9673461914
so,panorama,85.38,60.0177764893,85.38,60.9534683228
nah,auf,85.38,61.1091156006,85.38,61.3006820679
hier,jeden,85.38,61.3006820679,85.56,61.7676200867
in,block,85.56,61.7676200867,85.68,61.9461212158
den,bis,85.68,62.0669403076,85.78,62.252696991
neuen,zum,85.78,62.252696991,85.98,62.520816803
straßen,himalaya,85.98,62.6009979248,86.46,63.5936508179
