whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
wenn,wenn,13.68,14.4253969193,14.5,14.5600004196
die,die,14.5,14.6895236969,14.7,14.8549661636
schneemänner,schneemänner,14.7,14.8549661636,15.84,15.9346942902
im,im,15.84,16.0043544769,16.28,16.4194107056
garten,garten,16.28,16.4194107056,16.96,17.2263031006
wachsen,wachsen,16.96,17.2263031006,17.58,17.6645812988
und,und,17.58,17.6645812988,17.84,17.9374141693
die,die,17.84,17.9374141693,18.02,18.0081634521
eiszapfen,eiszapfen,18.02,18.070930481,19.16,19.3015880585
vom,vom,19.16,19.3015880585,19.46,19.5780506134
dach,dach,19.46,19.6702041626,20.0,20.1229934692
runter,runterkracksen,20.0,20.1229934692,20.36,20.9124717712
kraxen,wenn,20.36,20.9124717712,20.82,21.0808162689
wenn,die,20.86,21.2172336578,21.04,21.3246250153
die,eiskristalle,21.04,21.3246250153,21.22,22.561088562
eiskristalle,an,21.22,22.561088562,22.42,22.7932872772
an,der,22.42,22.7932872772,22.76,22.8571434021
der,scheibe,22.76,22.9268035889,22.88,23.5330619812
scheibe,haften,22.88,23.6495246887,23.48,24.16979599
haften,kann,23.48,24.5986385345,24.08,24.9208164215
kann,ich,24.3,24.9208164215,24.78,25.0311107635
ich,die,24.78,25.0311107635,24.98,25.1983680725
die,kälte,24.98,25.2633113861,25.16,25.8409061432
kette,meistens,25.16,25.8409061432,25.68,26.2704753876
meist,nicht,25.68,26.2704753876,26.08,26.5512924194
nicht,verkraften,26.08,26.6448974609,26.5,27.4430847168
verkraften,und,26.5,27.4430847168,27.4,27.6956005096
und,dann,27.4,27.6956005096,27.66,27.8813610077
dann,lieg,27.66,27.8813610077,27.84,29.7240810394
lieg,ich,27.84,29.9102039337,29.2,30.1616325378
ich,krank,29.2,30.3368701935,30.16,30.7301578522
kranke,im,30.16,30.7301578522,30.8,31.1263484955
im,bett,30.8,31.1263484955,31.1,31.4804534912
bett,wenn,31.1,33.8343772888,31.44,33.9911117554
wenn,meine,31.62,33.9911117554,33.88,34.22838974
meine,stirn,33.88,34.3074836731,34.24,34.7951011658
stirn,dann,34.24,34.7951011658,34.76,35.175327301
dann,glüht,34.76,35.175327301,35.0,35.5530166626
glüht,und,35.0,35.6281166077,35.5,35.8138771057
und,mein,35.5,35.8138771057,35.76,35.9593658447
mein,atem,35.76,36.0344657898,35.96,36.6556015015
atem,rasselt,35.96,36.6556015015,36.58,37.3551025391
rasselt,und,36.58,37.526348114,37.22,37.5785942078
der,der,37.4,37.5785942078,37.58,37.6482543945
doktor,doktor,37.58,37.6482543945,38.12,38.192653656
kommt,kommt,38.12,38.28099823,38.62,38.7424926758
und,und,38.62,38.7424926758,38.8,38.8905220032
lauter,lauter,38.8,38.8905220032,39.12,39.3229942322
blödsinn,blödsinn,39.12,39.3229942322,39.86,40.0079803467
quasselt,quasselt,39.86,40.0079803467,40.4,40.5159187317
rümmt,wenn,40.46,40.5159187317,40.76,40.759727478
der,der,40.76,40.759727478,40.84,40.8990478516
schnupfern,schnupfen,40.84,40.8990478516,41.48,41.5985488892
aus,aus,41.48,41.7552833557,42.06,42.0963249207
dem,dem,42.06,42.1790466309,42.42,42.5795936584
nasenloch,nasenloch,42.42,42.5795936584,43.52,43.5707931519
die,die,43.7,44.0395469666,44.12,44.1425857544
taschentücher,taschentücher,44.12,44.204990387,45.28,45.4066200256
sind,sind,45.28,45.4066200256,45.64,45.83618927
leer,leer,45.64,45.83618927,46.08,46.2367362976
jedoch,jedoch,46.08,46.2367362976,46.58,46.7388648987
dann,dann,46.84,46.8172340393,47.04,47.1452140808
zieh,zieh,47.04,47.4470748901,48.4,49.069568634
ich,ich,48.4,49.1218147278,49.34,49.3765068054
den,den,49.34,49.4614067078,49.66,49.7095680237
schnudder,schnodder,49.66,49.7654418945,50.34,50.7385025024
hoch,hoch,50.34,50.7385025024,51.1,51.2946929932
ja,ja,53.059999999999995,53.5626296997,53.66,53.7774162292
der,der,53.8,53.7774162292,53.86,53.8666648865
schnudderdotter,schnodderdodder,53.86,53.9196357727,55.2,55.3447608948
und,und,55.2,55.3447608948,55.42,55.4492530823
der,der,55.42,55.4492530823,55.58,55.6524276733
