whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
you,wir,28.580000000000002,43.6800003052,29.98,43.8628578186
wir,stehn,42.800000000000004,43.8628578186,43.76,44.362449646
stehen,auf,43.76,44.362449646,44.18,44.6399993896
auf,der,44.18,44.6399993896,44.62,44.7836723328
der,stelle,44.62,44.7836723328,44.8,45.6054420471
stelle,die,44.8,47.4761009216,45.22,47.6897964478
die,see,46.580000000000005,47.6897964478,47.54,48.0565986633
seele,ist,47.54,48.0565986633,48.1,48.3497505188
ist,ruhig,48.1,48.3497505188,48.36,48.883808136
ruhig,bewegt,48.36,49.1508407593,48.94,49.9054870605
bewegt,sich,49.16,49.9054870605,49.88,50.2616767883
sich,nicht,49.88,50.3804092407,50.24,50.9648971558
nicht,wir,50.24,51.32081604,50.82,51.4612236023
wir,stehn,50.82,51.4612236023,51.42,52.0475273132
stehen,auf,51.42,52.0475273132,51.88,52.1621780396
auf,der,51.88,52.2579574585,52.22,52.3900222778
der,stelle,52.22,52.3900222778,52.42,54.6612243652
stelle,und,52.42,55.2460784912,52.88,55.4550552368
und,meilenweit,54.34,55.4550552368,55.3,56.5986404419
meilen,kein,55.3,56.854057312,55.94,57.3420410156
weit,land,55.94,57.3420410156,56.58,57.5804100037
kein,in,56.58,57.5804100037,57.1,57.7872123718
land,sicht,57.1,57.9860305786,57.58,58.8321075439
in,die,57.58,59.9706115723,57.86,60.1208152771
sicht,sonne,57.86,60.1208152771,58.5,60.6693878174
die,steht,58.5,60.7927436829,60.02,61.2806358337
sonne,am,60.02,61.4432640076,60.62,61.8521537781
steht,horizont,60.62,61.8521537781,61.14,63.3795928955
am,aschfahl,61.14,63.3795928955,61.76,64.3069381714
horizont,und,61.76,64.3069381714,63.26,64.6312942505
das,wärmt,63.26,64.7967376709,63.7,65.0666656494
schwallt,nicht,63.7,65.2799987793,64.42,65.6413574219
und,mehr,64.42,65.7567367554,64.64,66.1855773926
wärmt,der,64.64,67.6484375,65.18,67.8980484009
nicht,ozean,65.18,67.8980484009,65.54,69.155921936
mehr,ist,65.54,69.155921936,66.06,69.507484436
der,kalt,66.06,69.5902023315,67.76,70.0865325928
ozean,und,67.76,70.0865325928,69.08,70.5509262085
ist,tief,69.08,70.5509262085,69.44,70.9746932983
kalt,und,69.44,71.2195892334,70.04,71.484085083
und,der,70.04,71.484085083,70.42,71.6321105957
tief,proviant,70.42,71.7420425415,70.82,72.877281189
und,ist,70.82,73.0024490356,71.38,73.4367370605
der,leer,71.38,73.4367370605,71.6,73.8917007446
proviant,wir,71.6,74.4315643311,72.88,74.5824966431
ist,stehn,72.88,74.5824966431,73.26,75.121635437
leer,auf,73.26,75.121635437,73.7,75.2848968506
wir,der,73.7,75.2848968506,74.58,75.4532394409
stehen,stelle,74.58,75.4532394409,74.94,76.2775497437
auf,und,74.94,78.1960983276,75.26,78.2759170532
der,keiner,75.26,78.373878479,75.44,79.1346969604
stelle,weiß,75.44,79.1346969604,75.84,79.7953720093
und,wies,77.24000000000001,79.8824462891,78.26,80.3207244873
keiner,weiter,78.26,80.3207244873,78.82,80.8858947754
weiß,geht,78.82,81.0742874146,79.52,81.5542831421
wies,wir,79.86,82.0506134033,80.22,82.2044448853
weitergeht,stehn,80.22,82.2044448853,81.42,82.7624511719
wir,auf,81.42,82.7624511719,82.14,82.9242630005
stehen,der,82.14,82.9242630005,82.64,83.0766448975
auf,stelle,82.64,83.1274414062,82.92,85.3812255859
der,wer,82.92,85.9069366455,83.1,86.1453094482
stelle,weiß,83.1,86.1453094482,83.58,86.3782348633
wer,wohin,85.2,86.4478912354,86.04,87.5508422852
weint,der,86.04,87.5508422852,86.32,87.9687957764
wohin,wind,86.32,87.9687957764,87.28,88.1893844604
der,uns,87.64,88.3199996948,87.82,88.7292480469
nimmt,weht,87.82,88.8032684326,88.2,89.2799987793
uns,die,88.2,125.3061218262,88.66,125.5706100464
weh,nacht,88.66,125.5706100464,89.14,125.9247131348
wir,fällt,113.94,125.9247131348,115.22,126.2838973999
stehen,wie,115.22,126.4036254883,116.5,126.6971435547
auf,ein,116.5,126.6971435547,117.14,126.9812240601
der,sanftes,117.14,127.1510238647,117.22,127.9869384766
stelle,tuch,117.22,128.0783691406,117.24,128.5910186768
die,und,124.42,129.1101989746,125.44,129.2995910645
nacht,hüllt,125.44,129.2995910645,125.78,129.541229248
fällt,meine,125.78,129.7273406982,126.18,130.197555542
wie,träume,126.18,130.197555542,126.56,130.9975585938
ein,ein,126.56,130.9975585938,127.06,131.745300293
sanftes,die,127.06,132.7512207031,128.04,133.1134643555
tuch,segel,128.04,133.1134643555,128.48,133.9004058838
und,sie,128.48,134.7105712891,129.28,135.020401001
tönt,füllen,129.28,135.020401001,129.66,135.3781433105
meine,sich,129.66,135.3781433105,130.06,135.8824462891
träume,denn,130.06,136.4538726807,130.82,136.7713317871
ein,der,130.82,136.7713317871,131.46,136.9991912842
die,wind,131.46,136.9991912842,133.02,137.2067108154
segel,bläst,133.02,137.2067108154,133.64,137.7563781738
sie,voll,133.94,137.9395904541,134.86,138.3154602051
führen,hinein,134.86,138.3154602051,135.24,139.2457122803
sich,die,135.24,140.6399993896,135.76,140.8587799072
denn,wogen,135.76,140.8587799072,136.64,141.6032714844
der,sie,136.64,142.2563323975,136.94,142.3901977539
wind,funkeln,136.94,142.4863433838,137.2,143.506942749
ist,und,137.2,144.3852996826,137.66,144.5732421875
voll,sterne,137.66,144.5732421875,138.22,145.0376434326
hinein,falln,138.22,145.0376434326,139.24,145.309387207
die,vom,139.24,145.309387207,140.72,145.4791870117
bogen,firmament,140.72,145.5542907715,141.34,147.0461730957
sie,der,141.6,148.302947998,142.4,148.4858093262
funkeln,mond,142.4,148.5554656982,143.14,148.79347229
und,hängt,143.14,149.0057067871,144.52,149.3779602051
sterne,wie,144.52,149.5020446777,144.98,149.7280731201
fahren,ein,144.98,149.7280731201,145.28,150.2693939209
vom,nasser,145.28,150.2693939209,145.54,151.0987701416
firmament,sack,145.54,151.0987701416,146.64,151.6147003174
der,der,146.64,152.1012268066,148.38,152.3363189697
mond,meine,148.38,152.3363189697,148.9,153.2110595703
hängt,sehnsucht,148.9,153.2110595703,149.34,154.0702056885
wie,kennt,149.34,154.0702056885,149.62,154.621673584
ein,wir,149.62,155.016418457,150.18,155.1847686768
nasser,stehn,150.18,155.1847686768,150.86,155.7594604492
sack,auf,150.86,155.7594604492,151.54,155.9626312256
der,der,151.54,155.9626312256,152.22,156.142578125
meine,stelle,152.22,156.142578125,152.84,156.9727020264
sehnsucht,wir,152.84,159.7942810059,153.88,160.0489807129
kennt,geben,153.88,160.0489807129,154.46,160.4734649658
der,nichts,154.46,160.4734649658,155.06,160.7575531006
meine,mehr,155.06,160.7575531006,155.06,160.9781341553
sehnsucht,von,155.06,160.9781341553,155.06,161.262588501
kennt,uns,155.06,161.262588501,155.06,161.6689300537
wir,her,155.06,161.6689300537,155.1,162.3539276123
stehen,mein,155.1,163.6375579834,155.64,163.8167724609
auf,schiff,155.64,163.8167724609,155.92,164.3160095215
der,das,155.92,164.3160095215,156.08,164.7557373047
stelle,ist,156.08,164.9023132324,156.52,165.1428527832
wir,in,159.0,165.1428527832,159.92,165.8020935059
geben,voller,159.92,165.8020935059,160.34,166.294052124
nichts,fahrt,160.34,166.4580535889,160.66,167.0675811768
mehr,und,160.66,167.4938812256,160.84,167.6016387939
von,vor,160.84,167.694519043,161.18,168.0195922852
uns,uns,161.18,168.0195922852,161.64,168.6610412598
her,liegt,161.64,168.6610412598,162.08,168.890335083
man,das,162.08,168.890335083,163.76,169.3431243896
schippt,meer,163.76,169.4418182373,164.38,172.3689727783
das,glaub,164.38,226.3934631348,164.72,226.5222625732
ist,ich,164.72,226.5222625732,165.02,226.6151428223
in,geh,165.02,226.6151428223,165.48,226.7196350098
voller,jetzt,165.48,226.7196350098,166.26,226.8935089111
