whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
hes,hes,17.380000000000003,18.4456748962,18.78,18.7543029785
a,a,18.78,18.7543029785,19.02,18.9444713593
whistler,whistler,19.02,18.9444713593,19.86,20.5191841125
when,when,19.86,20.6239032745,20.82,20.8515357971
the,the,20.82,20.8515357971,21.04,21.0694694519
wind,wind,21.04,21.0694694519,21.5,21.6486415863
blows,blows,21.5,21.6486415863,22.38,22.4522457123
keeps,keeps,22.38,22.6290454865,23.08,22.8779754639
it,it,23.08,22.8779754639,23.2,23.2041873932
simple,simple,23.2,23.2041873932,24.14,24.4463500977
holy,only,24.18,24.8603954315,25.26,25.4274082184
whole,whole,25.26,25.4274082184,25.8,25.8883800507
notes,notes,25.8,25.8883800507,26.72,26.8016319275
plays,plays,26.72,27.7849464417,28.32,28.3823356628
his,his,28.32,28.3823356628,28.74,28.7673473358
hollow,hollow,28.74,28.8808097839,29.38,29.4590473175
tune,tune,29.38,29.6517868042,30.12,30.3727245331
effortlessly,effortlessly,30.12,30.3727245331,31.92,33.7371444702
he,he,34.32,35.5750541687,35.72,35.8597297668
just,just,35.72,35.8597297668,36.04,36.1845626831
sits,sits,36.04,36.1845626831,36.52,36.6360168457
there,there,36.52,36.6360168457,37.38,37.5412254333
in,in,37.38,37.8915786743,38.22,38.269203186
limbo,limbo,38.22,38.269203186,39.16,39.5951004028
doesnt,doesnt,39.16,39.8567771912,40.38,40.3544464111
listen,listen,40.38,40.3544464111,41.08,41.6653060913
full,full,41.08,41.9046974182,42.32,42.165348053
of,of,42.32,42.165348053,42.56,42.4116134644
blowholes,blow,42.56,42.4116134644,43.88,42.8761062622
curtains,holes,43.88,42.8761062622,45.94,44.2122459412
where,curtains,45.94,44.9461326599,46.38,46.1177177429
the,waver,46.38,46.1177177429,46.82,46.5682525635
old,the,46.82,46.5682525635,47.42,46.9353637695
refrain,old,47.42,46.9353637695,48.28,47.4605751038
repeat,refrain,48.28,47.4605751038,49.12,48.5072555542
a,repeats,52.78,48.5072555542,53.98,52.4961891174
penny,a,53.98,53.8258247375,54.44,53.9918365479
for,penny,54.44,54.1156921387,54.94,54.6110572815
a,for,54.94,54.6110572815,55.34,54.9401054382
thought,a,55.34,54.9401054382,56.2,55.275100708
for,thought,56.2,55.4621543884,57.66,56.8097953796
pounds,for,57.66,57.5541877747,58.34,57.6587753296
of,pounds,58.34,57.8245277405,58.54,58.401966095
flesh,of,58.54,58.401966095,58.98,58.4816322327
he,flesh,58.98,58.5985412598,59.38,59.1172485352
fought,hes,59.38,59.1172485352,60.14,59.673992157
a,bought,60.14,59.673992157,62.04,61.0906105042
peso,a,62.04,61.8476982117,62.46,61.9853057861
for,peso,62.46,62.1083717346,63.36,62.7526512146
what,for,63.36,62.8276786804,63.84,63.448513031
not,what,63.84,63.448513031,64.26,63.7910194397
to,not,64.26,63.9554672241,64.86,64.5257644653
confess,to,64.86,64.5257644653,66.04,65.0760192871
here,confess,66.04,65.0760192871,66.92,66.1659698486
the,here,69.05999999999999,66.1659698486,70.46,69.0938796997
last,the,70.46,70.3625488281,71.02,70.6034164429
shall,last,71.02,70.6034164429,71.48,71.2492294312
be,shall,71.48,71.2492294312,71.96,71.7570877075
the,be,71.96,71.7570877075,72.36,72.064994812
first,the,72.36,72.064994812,73.98,72.476776123
wordlessly,first,73.98,72.476776123,76.06,74.2661209106
coerced,wordlessly,76.06,74.9153594971,78.08,76.3309707642
death,coerced,78.08,76.3309707642,79.5,78.2138748169
is,death,79.5,79.2688293457,80.16,79.7826843262
not,is,80.16,79.7826843262,80.64,80.2063217163
the,not,80.64,80.2063217163,81.04,80.6171417236
worst,the,81.04,80.806892395,81.66,81.2024154663
atrocity,worst,81.66,81.2024154663,83.46,81.7788925171
theres,atrocity,85.97999999999999,81.7788925171,87.38,86.4555130005
a,theres,87.38,87.0246887207,87.54,87.3034820557
hissing,a,87.54,87.3034820557,88.54,87.6366043091
through,hissing,88.54,87.6366043091,89.3,88.9110183716
the,through,89.3,89.0845718384,89.6,89.4351348877
window,the,89.6,89.4351348877,90.42,89.7223510742
like,window,90.42,89.7223510742,91.54,90.9877548218
a,like,91.54,91.336151123,91.8,91.6293334961
twisted,a,91.8,91.6293334961,92.56,91.8121871948
virtuoso,twisted,92.56,91.8121871948,94.54,93.4406814575
warning,virtuoso,94.54,93.4406814575,96.98,95.3893890381
of,warning,96.98,96.282081604,97.8,97.4397277832
a,of,97.8,97.4397277832,98.1,97.7925949097
storm,a,98.1,97.7925949097,98.6,98.0246276855
brewing,storm,98.6,98.0246276855,99.64,98.8505325317
again,brewing,99.64,98.8505325317,100.8,99.9337081909
to,again,102.89999999999999,99.9337081909,104.3,102.3869400024
the,to,104.3,104.1484985352,104.64,104.4667358398
victor,the,104.64,104.4667358398,105.86,104.7388763428
goes,victor,105.86,104.7388763428,106.52,106.1322479248
the,goes,106.52,106.2813873291,106.78,106.6033172607
intro,the,106.78,106.6033172607,107.62,106.9152679443
full,intro,107.62,106.9152679443,108.64,108.1795883179
of,full,108.64,108.3689575195,109.02,108.7301101685
whisper,of,109.02,108.7301101685,109.74,108.9112091064
innuendo,whispered,109.74,108.9112091064,111.72,110.4032669067
and,innuendo,111.72,110.5026092529,113.42,112.6563262939
time,time,113.42,113.4497375488,113.88,114.0656738281
once,once,113.88,114.0656738281,114.4,114.4505691528
more,more,114.4,114.5788803101,114.84,114.8564605713
for,for,114.84,114.8564605713,115.2,115.1483840942
a,a,115.2,115.1483840942,115.46,115.4056091309
paranoid,paranoid,115.46,115.4056091309,116.78,116.9142837524
crusade,crusade,116.78,116.9991836548,118.36,121.1152801514
the,the,137.92,138.9048919678,139.1,139.2474365234
past,past,139.1,139.2474365234,139.64,139.7685546875
shall,shall,139.64,139.7685546875,140.14,140.3313140869
be,be,140.14,140.3313140869,140.58,140.6748046875
reversed,reversed,140.58,140.6748046875,141.9,142.8244934082
the,the,141.9,143.3032836914,143.4,143.4194946289
dead,dead,143.4,143.5440826416,143.86,143.8503570557
not,not,143.86,143.9524688721,144.3,144.3772735596
so,so,144.3,144.3772735596,144.94,144.9098968506
accursed,accursed,144.94,144.9098968506,146.32,147.1129302979
a,a,146.32,147.5718383789,147.72,147.8904418945
universe,universe,147.72,147.8904418945,148.98,149.4359130859
worst,rehearsed,148.98,149.4359130859,149.86,150.3355712891
in,in,149.86,150.3355712891,150.64,150.7534484863
tragedy,tragedy,150.64,150.7534484863,151.64,154.6448974609
hes,hes,154.51999999999998,155.5876617432,155.92,155.933380127
a,a,155.92,155.933380127,156.16,156.1661376953
whistler,whistler,156.16,156.1661376953,156.98,157.6906280518
hes,hes,156.98,157.6906280518,158.02,158.0129394531
a,a,158.02,158.0129394531,158.22,158.2911682129
widow,widow,158.22,158.2911682129,158.92,159.5479431152
doesnt,doesnt,158.92,159.8503112793,160.4,160.3663024902
miss,miss,160.4,160.3663024902,160.86,160.9561004639
her,her,160.86,160.9561004639,161.4,161.7879333496
