whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
honey,honey,9.940000000000001,10.39802742,10.66,10.8821029663
i,i,10.98,10.8821029663,11.0,10.9242630005
told,told,11.0,11.0431718826,11.3,11.3974142075
you,you,11.3,11.3974142075,11.56,11.5811395645
something,something,11.56,11.5811395645,12.12,12.6535596848
sorry,sorry,12.12,13.0110387802,13.42,13.6730594635
i,i,13.44,13.6730594635,13.78,13.875872612
didnt,didnt,13.78,13.875872612,14.34,14.3717346191
hear,hear,14.34,14.3717346191,14.84,15.3832197189
maybe,maybe,14.84,15.9667787552,16.14,16.4895744324
there,there,16.14,16.4895744324,16.72,16.8074703217
was,was,16.72,16.8074703217,17.08,17.1273612976
something,something,17.08,17.1273612976,17.64,17.8544597626
yeah,yeah,17.64,17.8544597626,18.12,18.6185359955
yeah,stuck,18.24,18.6185359955,18.34,19.1419506073
yeah,in,18.38,19.2725811005,18.54,19.7629318237
stuck,your,18.72,19.7629318237,18.96,20.0305747986
in,ear,18.96,20.0305747986,19.72,20.9197273254
your,why,19.72,21.5399646759,19.98,21.9577770233
ear,is,19.98,22.0970363617,20.42,22.428358078
why,it,20.42,22.428358078,21.74,22.6430835724
is,everytime,21.74,22.7517166138,22.34,24.0
it,you,22.34,24.081653595,22.64,24.2107925415
every,say,22.64,24.2107925415,23.16,24.6319446564
time,you,23.16,24.6319446564,23.8,24.7219963074
you,do,23.8,24.820350647,24.2,25.2834968567
say,you,24.2,25.2834968567,24.5,25.4258499146
you,dont,24.74,25.4901542664,24.76,26.8516998291
do,maybe,24.76,27.0410308838,25.04,27.6053733826
you,i,25.04,27.6053733826,25.4,27.7804985046
dont,just,25.4,27.8835697174,26.14,28.1959877014
maybe,thought,26.14,28.1959877014,27.42,28.7610454559
i,that,27.42,28.7610454559,27.76,28.9424991608
just,you,27.76,28.9424991608,28.12,29.2369441986
thought,were,28.12,29.2369441986,28.6,29.7355079651
that,talking,28.6,29.7355079651,28.92,30.3654956818
you,on,28.92,30.3654956818,29.14,30.7238101959
were,the,29.14,30.7238101959,29.54,30.9225177765
