whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
tears,tears,14.019999999999996,14.627986908,14.82,14.8242521286
are,are,14.82,14.8242521286,15.02,15.0118379593
like,like,15.02,15.0118379593,15.4,15.4615869522
diamonds,diamonds,15.4,15.8946714401,16.26,16.5765457153
in,in,16.26,16.5765457153,16.84,16.9704265594
my,my,16.84,16.9704265594,17.12,17.0971431732
eyes,eyes,17.12,17.1846237183,17.52,17.5746040344
glide,blind,17.52,17.980266571,18.2,18.2126102448
me,me,18.2,18.2126102448,18.36,18.36759758
so,so,18.36,18.36759758,18.76,18.9460315704
now,now,19.06,19.2571582794,19.44,19.5431480408
youre,youre,19.44,19.5431480408,19.88,19.9338665009
out,out,19.88,19.9338665009,20.32,20.28698349
of,of,20.32,20.3706111908,20.56,20.5331382751
sight,sight,20.56,20.5331382751,20.9,21.0946025848
its,its,20.9,21.432302475,21.7,21.726518631
enough,enough,21.7,21.726518631,22.3,22.3746032715
its,its,22.52,22.7203178406,22.98,22.976064682
too,too,22.98,22.976064682,23.22,23.4009971619
late,late,23.22,23.4009971619,23.7,23.7307929993
to,to,23.7,23.8239326477,24.02,24.0812702179
break,break,24.02,24.2536964417,24.56,24.5854415894
this,this,24.56,24.6960124969,24.96,25.1149291992
silence,silence,24.96,25.1149291992,26.02,26.427936554
in,in,27.66,28.2790107727,28.5,28.5058116913
a,a,28.5,28.5058116913,28.78,28.740228653
rose,rose,28.78,28.740228653,29.22,29.2977771759
colored,coloured,29.22,29.5683135986,29.88,30.2754936218
view,view,29.88,30.2754936218,30.48,30.6760120392
of,of,30.48,30.6760120392,30.92,30.8990688324
us,us,30.92,30.8990688324,31.34,31.3752384186
i,either,31.34,31.7242488861,31.88,32.0609512329
got,cause,31.88,32.1522827148,32.1,32.6857147217
lost,could,32.1,33.0047187805,32.6,33.2572975159
could,i,32.78,33.2572975159,33.2,33.6793212891
i,realize,33.2,33.6793212891,33.54,34.7905197144
realize,all,33.54,35.1609230042,34.52,35.4035110474
all,your,34.52,35.4035110474,35.34,35.6486473083
your,lies,35.34,35.6486473083,35.54,36.0584144592
lives,would,35.54,36.4536781311,36.02,36.7099075317
would,be,36.02,36.7099075317,36.6,36.9774932861
be,blades,36.6,36.9774932861,36.86,37.4941215515
blades,to,36.86,37.4941215515,37.42,37.6891212463
and,knifes,37.42,37.6891212463,37.72,38.2882537842
