whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
thank,the,11.92,54.6666259766,13.32,54.8456077576
you,sun,13.32,54.8456077576,14.72,55.7841339111
thank,is,34.86,55.7841339111,35.54,56.0329666138
you,fading,35.54,56.0329666138,36.22,56.5533599854
its,under,60.0,56.5533599854,61.08,56.8787307739
over,blood,61.08,56.9503288269,61.76,57.5
life,red,62.48,57.5,63.66,57.8766403198
soon,sky,63.66,57.8766403198,64.14,58.3234710693
will,the,64.14,58.3234710693,64.4,58.5255241394
break,reign,64.4,58.5255241394,64.98,58.7536735535
free,of,64.98,58.7536735535,65.86,58.9217147827
they,day,66.88,58.9217147827,66.94,59.6571426392
wake,is,66.94,60.0108909607,67.5,61.062625885
in,over,67.5,61.062625885,67.8,62.5726966858
the,night,67.8,62.9011230469,68.0,63.7209587097
eerie,soon,68.0,63.7209587097,68.3,64.267074585
glow,will,68.3,64.267074585,68.7,64.5083770752
of,break,68.7,64.5083770752,68.98,65.2666473389
moonlight,free,68.98,65.2666473389,69.72,66.2450790405
forgotten,they,70.28,66.7303314209,70.84,67.0672683716
sounds,wake,70.84,67.0672683716,71.52,67.4980773926
beyond,in,71.52,67.4980773926,72.12,67.7650909424
our,the,72.12,67.7650909424,72.78,67.9875335693
sight,eerie,72.78,67.9875335693,73.94,68.4402389526
the,glow,73.94,68.4402389526,75.12,68.7694549561
world,of,75.12,68.7694549561,75.38,68.9732513428
is,moonlight,75.38,68.9732513428,75.7,70.0952377319
young,forgotten,75.7,70.2792892456,76.1,70.9334869385
forever,souls,76.28,70.9334869385,76.72,71.8104324341
long,beyond,76.72,71.8104324341,77.3,72.4141616821
ago,our,77.3,72.4141616821,77.76,72.8512802124
lost,sight,78.14,72.8512802124,78.5,74.209526062
in,world,78.5,75.0230865479,78.76,75.4981689453
the,thats,78.76,75.4981689453,78.9,75.7644958496
rise,gone,78.9,75.7644958496,79.44,76.1978683472
they,forever,79.7,76.1978683472,80.0,77.0146942139
shine,long,80.0,77.0146942139,81.02,77.4302062988
with,ago,81.02,77.4302062988,81.7,78.1054000854
mist,lost,81.7,78.2417526245,82.36,78.5593109131
we,in,82.52,78.5593109131,82.64,78.7269134521
last,their,82.64,78.7269134521,83.32,79.0316314697
remain,eyes,83.32,79.0316314697,84.0,79.5733337402
in,that,84.0,79.7673721313,84.4,80.2031784058
shadows,shine,84.4,80.3959732056,84.86,81.2676620483
of,with,84.86,81.2676620483,85.32,81.7914505005
last,mystery,85.32,81.9660339355,85.68,82.8139648438
time,last,85.68,82.9357376099,86.2,83.4925231934
whispering,remaining,86.36,83.4925231934,87.08,84.3865814209
in,shadows,87.08,84.3865814209,87.98,85.0498733521
their,of,87.98,85.0498733521,88.24,85.3300170898
moonlight,lost,88.24,85.3300170898,89.64,85.743888855
surprise,time,92.28,85.743888855,93.2,86.2810440063
youre,whisper,93.74,86.4600830078,93.96,87.0237731934
waking,in,93.96,87.0237731934,94.28,87.7722625732
in,the,94.28,87.7722625732,94.74,88.5074462891
the,moonlight,94.74,88.5074462891,94.86,90.2755584717
morning,surprised,94.86,92.6434249878,95.7,93.7204055786
cant,youre,96.02,93.7204055786,96.56,94.0272445679
understand,waking,96.56,94.0272445679,97.16,94.5065307617
your,in,97.16,94.5065307617,98.2,94.6880569458
feelings,the,98.2,94.6880569458,99.86,94.9244766235
and,morning,100.56,94.9244766235,100.94,95.9746017456
where,cant,100.94,96.2638320923,101.36,96.4962615967
do,understand,101.36,96.4962615967,101.64,97.9690475464
you,your,101.64,97.9690475464,102.0,98.8850784302
get,feelings,102.0,99.0022888184,102.4,100.4698410034
these,and,102.4,100.7780075073,102.84,101.0253372192
thoughts,where,102.84,101.0253372192,103.54,101.528678894
inside,dyou,104.38,101.528678894,105.14,102.1751251221
your,get,105.14,102.1751251221,105.88,102.4953079224
mind,these,105.88,102.4953079224,106.3,102.9220199585
the,thoughts,106.34,102.9220199585,106.46,104.3860321045
voice,inside,106.46,104.7004547119,106.7,105.7252197266
is,your,106.7,105.7252197266,106.88,105.9678573608
calling,mind,106.88,105.9678573608,107.6,106.3487701416
for,the,107.6,106.3487701416,108.68,106.4625091553
the,voice,108.68,106.4625091553,108.94,106.7724380493
night,is,108.94,106.7724380493,109.48,106.9496078491
to,calling,109.48,106.9496078491,109.86,108.1853942871
rise,for,109.86,108.4847183228,110.3,108.7666320801
at,the,110.3,108.7666320801,110.68,108.9787139893
your,night,110.68,108.9787139893,110.86,109.6912155151
side,to,110.86,109.6912155151,111.82,109.8766784668
the,rise,111.82,109.8766784668,112.68,110.3853225708
world,at,112.68,110.3853225708,113.34,110.562538147
is,your,113.34,110.7038726807,113.72,110.8758926392
young,side,113.72,110.8758926392,114.1,112.1930160522
forever,world,114.3,112.9935073853,114.82,113.5033874512
long,thats,114.82,113.5033874512,115.3,113.7782897949
ago,gone,115.3,113.7782897949,115.98,114.2297286987
lost,forever,116.16,114.2297286987,116.52,115.0023040771
in,long,116.52,115.0023040771,116.7,115.3235931396
the,ago,116.7,115.3235931396,117.0,116.1748657227
rise,lost,117.0,116.1748657227,117.42,116.543762207
they,in,117.62,116.543762207,118.0,116.7602920532
shine,their,118.0,116.7602920532,119.0,117.0193634033
with,eyes,119.0,117.0193634033,119.62,117.5263519287
mist,that,119.62,117.7642364502,120.46,118.3223800659
we,shine,120.52,118.3223800659,120.74,119.1263504028
last,with,120.74,119.2253189087,121.38,119.6952362061
remain,mystery,121.38,119.9016876221,121.8,120.8228607178
in,last,121.8,121.0207061768,122.4,121.4890060425
shadows,remaining,122.4,121.4890060425,122.86,122.3894729614
of,shadows,122.86,122.3894729614,123.3,123.0398406982
last,of,123.3,123.0398406982,123.66,123.3151626587
time,lost,123.66,123.3151626587,124.18,123.7460708618
whispering,time,124.46,123.7460708618,125.04,124.2920608521
in,whisper,125.04,124.4799880981,125.98,125.0369567871
their,in,125.98,125.0369567871,126.34,125.7772903442
moonlight,the,126.34,125.7772903442,127.06,126.5153045654
so,moonlight,127.06,126.5153045654,128.68,128.2387237549
hear,so,128.68,128.366394043,129.36,128.8825531006
their,hear,129.36,128.8825531006,129.8,129.4945526123
voice,their,129.8,129.4945526123,130.54,130.0028076172
sharing,voice,130.74,130.0028076172,131.32,130.7249908447
their,sharing,131.32,130.9657287598,131.8,131.5125274658
yearning,their,131.8,131.5125274658,132.8,131.9606323242
give,yearning,132.98,131.9606323242,133.4,132.9921264648
their,gift,133.4,132.9921264648,133.78,133.5072021484
giving,theyre,133.78,133.5072021484,134.5,134.0511169434
to,giving,134.5,134.0511169434,135.3,134.9724273682
you,to,135.3,134.9724273682,136.28,136.0480651855
hear,you,136.74,136.0480651855,137.34,136.5536499023
their,hear,137.34,136.947555542,137.76,137.5176544189
