whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
the,ive,0.0,5.9666142464,0.46,6.4217805862
time,been,0.46,6.4217805862,1.24,6.687567234
of,nothing,1.24,6.687567234,2.12,7.1861224174
day,but,2.12,7.1861224174,2.56,7.4615392685
i,drinking,5.4200000000000035,7.4615392685,6.26,8.0073204041
aint,and,6.26,8.0073204041,6.44,8.2381811142
been,thinking,6.44,8.2381811142,6.68,8.7361726761
doing,yeah,6.68,8.7361726761,6.78,9.8351020813
nothing,long,6.78,12.4058771133,7.06,12.8923969269
but,since,7.06,12.8923969269,7.38,13.3049354553
drinking,you,7.38,13.3049354553,7.72,13.5356359482
and,been,7.72,13.5356359482,8.06,13.723654747
faking,away,8.06,13.723654747,8.6,14.8179588318
yeah,i,8.6,18.1422653198,9.44,18.5286846161
yeah,dont,9.54,18.5286846161,10.0,18.7559185028
yeah,think,10.0,18.8875923157,10.64,19.128162384
oh,that,11.900000000000004,19.2434978485,12.74,19.6363945007
since,im,13.0,19.6363945007,13.16,19.8661231995
youve,coming,13.16,20.0170822144,13.56,20.6940898895
been,back,13.56,20.6940898895,13.66,22.6481628418
away,boy,13.66,23.9954051971,14.28,24.4789447784
oh,i,14.28,24.4789447784,15.94,24.5485706329
come,told,16.6,24.7270507812,16.88,25.132106781
on,you,16.88,25.132106781,17.22,25.467382431
i,im,17.22,25.467382431,18.24,25.6587753296
dont,done,18.24,25.8189239502,18.82,26.1970672607
think,with,18.82,26.1970672607,19.14,26.3836727142
that,that,19.14,26.5576000214,19.58,28.1012248993
im,you,19.58,29.8328914642,19.9,30.1257133484
coming,think,19.9,30.1924571991,20.52,30.4653053284
back,you,20.52,30.5803546906,21.28,30.8048973083
boy,can,23.420000000000005,30.9312515259,24.26,31.2992038727
i,do,24.3,31.2992038727,24.56,31.6792240143
told,me,24.56,31.6792240143,24.98,31.8739032745
you,so,24.98,31.8739032745,25.3,32.2811393738
im,wrong,25.3,32.2811393738,25.72,33.5673484802
done,im,25.72,33.8791160583,26.08,34.4563941956
with,not,26.08,34.4563941956,26.48,34.8081626892
that,the,26.48,34.9655342102,26.98,35.3791389465
you,one,29.46,35.3791389465,30.0,36.0562858582
think,no,30.0,36.0562858582,30.44,36.5257148743
you,im,30.44,36.8197021484,30.76,37.35597229
can,not,30.76,37.35597229,31.14,37.7338790894
do,the,31.14,37.9380111694,31.5,38.2476768494
me,one,31.5,38.2476768494,31.82,39.9020423889
so,back,31.82,41.1707878113,32.4,41.3317070007
wrong,in,32.4,41.3317070007,33.38,41.4621315002
im,high,33.38,41.5726928711,34.46,41.7672615051
not,school,34.46,41.7672615051,34.96,42.1286392212
the,under,34.96,42.2490997314,35.26,42.5661735535
one,the,35.26,42.5661735535,35.82,42.6739234924
no,trees,35.82,42.7256393433,36.32,43.1492080688
im,we,36.88,43.2210235596,37.42,43.346736908
not,use,37.42,43.346736908,37.84,43.5633659363
the,to,37.84,43.5633659363,38.14,43.7368888855
one,mess,38.14,43.7368888855,39.16,43.9705696106
back,around,40.74,43.9705696106,41.28,44.3575553894
at,id,41.28,44.3575553894,41.48,44.4880027771
high,feel,41.48,44.4880027771,41.76,44.6233024597
school,you,41.76,44.6233024597,42.02,44.8144798279
under,down,42.18,44.8144798279,42.52,45.0032463074
the,right,42.52,45.0032463074,42.7,45.1083908081
trees,there,42.7,45.1821212769,43.04,45.3662071228
we,in,43.04,45.3662071228,43.26,45.5293998718
used,the,43.26,45.5293998718,43.5,45.6123809814
to,streets,43.5,45.6123809814,43.64,46.2585029602
mess,damn,43.64,46.3199729919,43.88,46.6358261108
around,those,43.88,46.8457717896,44.2,47.0229225159
id,were,44.2,47.0229225159,44.4,47.2117614746
fill,the,44.4,47.2117614746,44.58,47.2961463928
you,days,44.58,47.412940979,44.72,47.7242622375
down,baby,44.72,47.7941093445,44.94,48.2031745911
right,now,44.94,48.4710693359,45.14,48.6407814026
there,you,45.14,48.6407814026,45.34,48.7365074158
in,barely,45.34,48.8614425659,45.52,49.1862220764
the,look,45.52,49.1862220764,45.66,49.345500946
streets,at,45.66,49.345500946,46.14,49.5136489868
damn,me,46.14,49.5136489868,46.54,49.7067832947
those,like,46.82,49.7067832947,46.98,49.8747406006
were,you,46.98,49.9307365417,47.18,50.089050293
the,was,47.18,50.089050293,47.3,50.2709274292
days,never,47.3,50.2709274292,47.7,50.634552002
baby,my,47.82,50.634552002,48.04,50.7755088806
now,lady,48.04,50.8567390442,48.58,51.2467536926
you,what,48.58,51.2467536926,48.72,51.4187736511
barely,has,48.72,51.4187736511,49.06,51.6368179321
look,this,49.06,51.6368179321,49.38,51.7826805115
at,come,49.38,51.7826805115,49.5,51.997127533
me,to,49.5,51.997127533,49.66,52.0925178528
like,be,49.66,52.1703529358,49.9,52.4879837036
you,shit,49.9,52.7379302979,50.04,53.2605438232
was,i,50.04,53.4347496033,50.24,53.5365066528
never,guess,50.24,53.6124839783,50.48,53.8267822266
my,we,50.48,53.8267822266,50.78,53.9174613953
lady,grown,50.78,53.9876899719,51.1,54.2071914673
what,apart,51.1,54.2071914673,51.4,54.8281173706
has,went,51.4,55.115978241,51.58,55.2551002502
this,and,51.58,55.2551002502,51.72,55.3301239014
come,seperated,51.72,55.3301239014,51.92,56.094329834
to,but,51.92,56.1808662415,52.08,56.3154907227
be,you,52.08,56.3154907227,52.38,56.4227104187
shit,still,52.62,56.4227104187,53.04,56.7292976379
i,up,53.44,56.7292976379,53.52,56.8054428101
guess,in,53.52,56.9205513,53.74,57.0846405029
weve,my,53.74,57.0846405029,54.0,57.228767395
grown,heart,54.0,57.228767395,54.12,57.6181411743
apart,and,54.12,57.8486366272,54.7,58.0214195251
when,that,54.7,58.0214195251,55.22,58.1660461426
its,will,55.22,58.1660461426,55.46,58.3649101257
separated,always,55.46,58.3649101257,55.98,58.6510658264
but,be,55.98,58.7464485168,56.26,58.9124298096
youre,the,56.26,58.9124298096,56.54,59.048828125
still,case,56.54,59.048828125,56.66,59.3428115845
up,you,56.66,59.3428115845,56.9,59.4820556641
in,were,56.9,59.4820556641,57.02,59.5664405823
my,my,57.02,59.6165161133,57.2,59.7151908875
heart,first,57.2,59.8358268738,57.58,60.1413192749
and,one,57.58,60.1413192749,57.98,60.5242614746
i,no,57.98,60.8060112,58.12,60.9375457764
will,matter,58.12,60.9375457764,58.32,61.26404953
always,how,58.32,61.26404953,58.66,61.4426727295
be,the,58.66,61.4426727295,58.84,61.5619049072
the,fuck,58.84,61.6181030273,59.02,61.7690010071
case,we,59.02,61.7690010071,59.22,61.8627090454
you,split,59.22,61.8627090454,59.42,62.1854324341
were,i,59.42,62.1854324341,59.58,62.3218383789
my,wish,59.58,62.3218383789,59.76,62.5887565613
first,you,59.76,62.5887565613,60.08,62.7090072632
one,nothin,60.08,62.7090072632,60.48,63.0951271057
no,but,60.48,63.0951271057,60.84,63.2969551086
matter,love,60.84,63.2969551086,61.12,63.6450805664
how,but,61.12,63.6450805664,61.38,63.8727722168
the,now,61.38,63.8727722168,61.56,64.0936584473
fuck,im,61.56,64.0936584473,61.72,64.2684783936
we,doing,61.72,64.454826355,61.9,64.755645752
split,these,61.9,64.755645752,62.12,64.9659957886
i,shows,62.12,64.9659957886,62.28,65.3827896118
wish,and,62.28,65.3827896118,62.54,65.5148468018
you,im,62.54,65.5148468018,62.66,65.6948699951
nothing,making,62.66,65.6948699951,62.92,65.9970550537
but,this,62.92,65.9970550537,63.18,66.2283477783
love,money,63.18,66.2283477783,63.54,66.6108779907
but,im,63.54,66.6108779907,63.78,66.7659912109
now,never,63.78,66.7659912109,63.98,67.0328521729
im,stoppin,63.98,67.0328521729,64.3,67.4732818604
doing,for,64.3,67.4732818604,64.6,67.6740341187
these,these,64.6,67.6740341187,64.88,67.907699585
shows,hoes,64.88,67.907699585,65.22,68.2437362671
and,all,65.22,68.2437362671,65.5,68.3904876709
im,want,65.5,68.3904876709,65.7,68.5075378418
making,me,65.7,68.5075378418,65.92,68.7082672119
this,for,65.92,68.7082672119,66.16,68.9183731079
money,money,66.16,68.9183731079,66.48,69.4429626465
im,and,66.48,69.4429626465,66.76,69.5815963745
never,shit,66.76,69.5815963745,66.98,70.0589599609
stopping,got,66.98,70.4111785889,67.36,70.6168823242
for,these,67.36,70.6168823242,67.62,70.8303833008
these,new,67.62,70.8303833008,67.82,71.0553512573
hoes,friends,67.82,71.0553512573,68.18,71.3525924683
oh,on,68.18,71.3525924683,68.36,71.4412689209
i,deck,68.4,71.4997024536,68.48,71.6480712891
mean,when,68.48,71.7464981079,68.68,71.9191970825
for,i,68.68,71.9191970825,68.86,71.989112854
my,cash,68.86,72.0558013916,69.08,72.3106765747
money,in,69.08,72.3106765747,69.4,72.3664398193
and,my,69.4,72.4290161133,69.6,72.5758361816
shit,checks,69.6,72.5758361816,69.92,72.9880599976
got,late,69.92,72.9880599976,70.54,73.1716918945
these,up,70.54,73.1716918945,70.74,73.2335586548
new,on,70.74,73.3744354248,71.0,73.5006561279
friends,they,71.0,73.5006561279,71.3,73.6326522827
out,rent,71.3,73.715057373,71.48,73.9267883301
deck,feeling,71.48,73.9267883301,71.66,74.2859573364
when,my,71.66,74.2859573364,71.86,74.3884429932
i,heart,71.86,74.3884429932,72.02,74.6667938232
cash,poppin,72.02,74.6667938232,72.26,75.0011901855
in,outta,72.26,75.0011901855,72.38,75.3646850586
my,my,72.38,75.3646850586,72.52,75.4321975708
checks,chest,72.52,75.517829895,72.86,75.9981842041
laid,aint,72.86,76.291343689,73.16,76.4354324341
up,no,73.16,76.4354324341,73.36,76.5400619507
on,slippin,73.36,76.5400619507,73.54,77.0044250488
the,in,73.54,77.0044250488,73.62,77.1643218994
rent,this,73.62,77.1643218994,73.84,77.3471603394
feeling,game,73.84,77.3471603394,74.1,77.727897644
my,tho,74.1,77.727897644,74.36,78.0770950317
heart,they,74.36,78.2916259766,74.58,78.4420776367
ive,take,74.58,78.4420776367,74.84,78.6435012817
been,advantage,74.84,78.6435012817,74.98,79.1856002808
out,just,74.98,79.1856002808,75.18,79.3817138672
of,to,75.18,79.3817138672,75.3,79.4981231689
my,use,75.3,79.4981231689,75.48,79.7223434448
chest,you,75.48,79.7223434448,75.84,79.8222198486
aint,for,75.84,79.8858261108,76.42,80.111946106
no,the,76.42,80.111946106,76.54,80.2031784058
slipping,clout,76.54,80.2703857422,76.86,80.6253814697
in,too,76.86,80.6253814697,77.14,81.0806121826
this,thats,77.14,81.2323455811,77.32,81.3989639282
game,why,77.32,81.3989639282,77.64,81.6948318481
no,i,77.66,81.6948318481,77.96,81.8260650635
they,keep,77.96,81.8260650635,78.38,81.9676589966
take,my,78.38,81.9676589966,78.64,82.0498886108
advantage,circle,78.64,82.1782989502,79.08,82.5389328003
just,small,79.08,82.5389328003,79.32,82.7356033325
to,and,79.32,82.8894348145,79.5,83.0548706055
use,i,79.5,83.0548706055,79.74,83.1492080688
you,keep,79.74,83.2129516602,79.86,83.4190063477
for,my,79.86,83.4190063477,80.06,83.4829940796
the,friends,80.06,83.5737228394,80.24,83.950340271
clout,close,80.24,83.950340271,80.56,84.3791351318
too,remembering,80.66,84.5156936646,80.86,85.2389831543
thats,to,80.86,85.2389831543,81.38,85.3405914307
why,watch,81.38,85.4015884399,81.56,85.6608810425
i,my,81.56,85.6608810425,81.74,85.7861938477
keep,enemies,81.74,85.7861938477,81.88,86.5318832397
my,when,81.88,86.5318832397,82.08,86.6975784302
circle,they,82.08,86.6975784302,82.36,86.8208618164
small,coming,82.36,86.8956756592,82.68,87.262336731
and,through,82.68,87.262336731,83.04,87.9818572998
i,i,83.04,88.3865432739,83.14,88.7984695435
keep,dont,83.14,88.7984695435,83.34,89.01587677
my,think,83.34,89.1262054443,83.52,89.3605422974
friends,that,83.52,89.4888916016,83.82,89.8697433472
close,im,83.82,89.8697433472,84.24,90.0897979736
remember,coming,84.24,90.2108230591,84.9,90.9616088867
when,back,84.9,90.9616088867,85.22,92.6766433716
i,boy,85.22,94.2463150024,85.34,94.7178268433
watch,i,85.34,94.7178268433,85.62,94.8172302246
our,told,85.62,94.9738922119,85.74,95.3313980103
enemies,you,85.74,95.3313980103,86.28,95.752204895
when,im,86.28,95.752204895,86.62,95.9129257202
they,done,86.62,96.0688095093,86.78,96.446105957
come,with,86.78,96.446105957,87.08,96.6566925049
through,that,87.08,96.8075637817,87.38,98.456237793
shit,you,87.38,100.084777832,88.44,100.384803772
i,think,88.44,100.4848251343,88.74,100.842666626
dont,you,88.74,100.842666626,89.08,101.0467147827
think,can,89.08,101.1830978394,89.36,101.56300354
that,do,89.36,101.56300354,89.82,101.917175293
im,me,89.82,101.917175293,90.14,102.1266937256
coming,so,90.14,102.1266937256,90.78,102.615776062
back,wrong,90.78,102.615776062,91.4,103.7496566772
boy,im,93.84,104.107383728,94.52,104.7078399658
i,not,94.74,104.7078399658,94.78,105.2050933838
told,the,94.78,105.2050933838,95.2,105.660194397
you,one,95.2,105.660194397,95.54,106.3380737305
im,no,95.54,106.3380737305,95.98,106.6267547607
done,im,95.98,107.0397262573,96.34,107.6648330688
with,not,96.34,107.6648330688,96.74,107.9873046875
that,the,96.74,108.1550979614,97.22,108.5219421387
you,one,99.63999999999999,108.5219421387,100.24,110.3637161255
think,im,100.24,111.2517166138,100.68,111.4195709229
you,feeling,100.68,111.4195709229,101.02,111.8135986328
can,blessed,101.02,111.8135986328,101.38,112.1810760498
do,now,101.38,112.1810760498,101.74,112.5333328247
me,im,101.74,112.7170028687,102.06,112.842048645
so,finally,102.06,112.842048645,102.5,113.2260284424
wrong,able,102.5,113.2260284424,103.64,113.6088867188
youre,to,103.64,113.6088867188,104.68,113.6835174561
not,support,104.68,113.6835174561,104.98,114.1462097168
the,my,104.98,114.1462097168,105.5,114.317779541
one,momma,105.5,114.317779541,106.1,114.6013641357
no,too,106.28,114.6692581177,106.58,114.8516998291
youre,no,106.58,115.2481307983,107.6,115.3831787109
not,more,107.6,115.3831787109,107.94,115.5628128052
the,double,107.94,115.6351928711,108.38,115.8727798462
one,shifts,108.38,115.8727798462,109.46,116.361000061
im,no,110.88,116.5676727295,111.48,116.6730422974
feeling,more,111.48,116.6730422974,111.62,116.7972869873
blessed,stressing,111.62,116.7972869873,112.06,117.2534561157
now,bout,112.06,117.2534561157,112.36,117.3768692017
im,the,112.36,117.4546356201,112.88,117.6364364624
finally,rent,112.88,117.6364364624,113.14,117.9201507568
here,shit,113.14,117.9201507568,113.42,118.0734710693
would,complaining,113.42,118.1741943359,113.64,118.6676559448
have,about,113.64,118.6676559448,113.72,118.8172302246
support,the,113.72,118.9063720703,114.06,119.0896530151
my,hunger,114.06,119.0896530151,114.32,119.4396514893
mama,and,114.32,119.4396514893,114.56,119.5573730469
too,goin,114.56,119.620803833,114.86,119.98777771
no,to,114.86,119.98777771,115.36,120.0653076172
more,bed,115.36,120.1331787109,115.54,120.4080886841
double,starving,115.54,120.4080886841,115.82,120.9443511963
shifts,and,115.82,120.9443511963,116.28,121.1225738525
no,its,116.28,121.1225738525,116.64,121.3224716187
more,all,116.64,121.3224716187,116.82,121.4989318848
stressing,thanks,116.82,121.4989318848,117.12,121.6854171753
about,to,117.12,121.6854171753,117.38,121.8139343262
the,you,117.38,121.8139343262,117.56,122.4078445435
rent,momma,117.56,122.4078445435,117.86,122.8081665039
shit,if,117.86,123.1508102417,118.1,123.3317871094
complaining,it,118.2,123.3317871094,118.58,123.4920730591
about,wasnt,118.58,123.4920730591,118.82,123.8558044434
the,all,118.82,123.8558044434,119.0,123.9776687622
hunger,for,119.0,123.9776687622,119.34,124.1122817993
and,you,119.34,124.1122817993,119.56,124.6102523804
going,beleiving,119.56,124.6102523804,119.82,125.1105880737
to,in,119.82,125.1105880737,120.08,125.3193664551
bed,me,120.08,125.3193664551,120.36,125.5764160156
starving,id,120.36,125.7870101929,120.9,125.9392318726
in,probably,120.9,126.0129318237,121.08,126.3129272461
itself,be,121.08,126.412727356,121.4,126.6058807373
thanks,in,121.4,126.6058807373,121.62,126.7430877686
to,jail,121.62,126.7430877686,121.76,127.1390914917
you,doin,121.76,127.1390914917,122.1,127.4122467041
mama,two,122.28,127.5699996948,122.66,127.6800003052
if,to,122.66,127.6800003052,123.3,127.7351455688
it,three,123.3,127.8000030518,123.42,128.1233520508
was,you,123.42,128.4277191162,123.68,128.5477600098
enough,raised,123.68,128.5477600098,123.96,128.7878112793
of,me,123.96,128.7878112793,124.14,128.9522705078
you,up,124.14,128.9522705078,124.36,129.1163787842
believing,all,124.36,129.1163787842,125.02,129.3108062744
in,on,125.02,129.3108062744,125.22,129.4345550537
me,your,125.22,129.4345550537,125.5,129.5818634033
id,own,125.5,129.6833953857,126.06,130.0243835449
probably,grew,126.06,130.0243835449,126.3,130.1933898926
