whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
live,live,15.82,15.9496278763,16.16,16.2358970642
in,in,16.16,16.2358970642,16.32,16.3049240112
a,a,16.32,16.3049240112,16.42,16.4000988007
time,time,16.42,16.4000988007,16.56,16.6406860352
of,of,16.56,16.6406860352,16.78,16.7430744171
straight,straight,16.78,16.7430744171,16.96,17.0061511993
sin,sin,16.96,17.0061511993,17.22,17.3172721863
we,we,17.34,17.3172721863,17.38,17.4188117981
got,got,17.38,17.4188117981,17.52,17.5819206238
black,black,17.52,17.5819206238,17.8,17.8398227692
sheep,sheep,17.8,17.8398227692,18.06,18.1088047028
that,that,18.06,18.1088047028,18.22,18.2208423615
dont,dont,18.22,18.2208423615,18.4,18.400560379
fit,fit,18.4,18.400560379,18.64,18.724609375
in,in,18.64,18.724609375,18.9,18.9097480774
im,im,18.98,18.9097480774,19.0,18.980386734
like,like,19.0,18.980386734,19.16,19.1860294342
ha,huhhh,19.24,19.1860294342,19.36,19.4351024628
terrorists,terrorists,19.94,19.9974899292,20.42,20.5184631348
are,who,20.42,20.5184631348,20.58,20.6208591461
on,wanna,20.58,20.6208591461,20.68,20.7612857819
a,cut,20.68,20.7612857819,20.76,20.906665802
cut,limbs,20.76,21.0728130341,20.96,21.4151096344
lens,dont,20.96,21.4151096344,21.3,21.5765151978
dont,zoom,21.44,21.5765151978,21.6,21.9234046936
zoom,in,21.6,21.9234046936,21.82,22.1042633057
in,to,21.82,22.1042633057,22.06,22.1985530853
in,my,22.06,22.1985530853,22.18,22.3813781738
my,true,22.18,22.3813781738,22.32,22.6904182434
true,lens,22.32,22.6904182434,22.58,23.0275611877
lens,these,22.58,23.0275611877,22.94,23.1931056976
these,loose,23.04,23.1931056976,23.16,23.5326271057
loose,ends,23.16,23.5326271057,23.44,23.832321167
ends,are,23.44,23.832321167,23.74,23.9020404816
are,too,23.74,23.9764175415,23.92,24.1197280884
too,grim,23.92,24.3040904999,24.14,24.5150051117
grim,to,24.14,24.5150051117,24.44,24.6056842804
to,just,24.44,24.6056842804,24.6,24.7893943787
discomprehend,comprehend,24.6,24.7893943787,25.24,25.2552776337
im,im,25.24,25.2552776337,25.36,25.3645458221
like,like,25.36,25.3645458221,25.5,25.6007156372
ha,huhhh,25.62,25.6007156372,25.72,25.7523803711
oh,oh,26.36,26.3894042969,26.58,26.6358127594
lord,lord,26.58,26.6358127594,26.9,26.9933929443
its,its,27.0,26.9933929443,27.16,27.1656551361
getting,getting,27.16,27.1656551361,27.32,27.4601345062
worse,worse,27.32,27.4601345062,27.72,27.7768707275
pops,cops,27.96,27.98595047,28.28,28.3199748993
out,out,28.28,28.3199748993,28.5,28.497592926
in,on,28.5,28.497592926,28.6,28.5978775024
that,that,28.6,28.5978775024,28.76,28.6998634338
game,gang,28.76,28.7955379486,28.94,28.9262580872
turf,turf,28.94,29.0405406952,29.28,29.3703403473
rich,rich,29.6,29.5996360779,29.8,29.8778190613
folks,folks,29.8,29.8778190613,30.08,30.1899414062
dont,dont,30.08,30.1899414062,30.36,30.351858139
share,share,30.36,30.351858139,30.56,30.6684703827
it,first,30.56,30.6684703827,30.72,30.9612770081
first,got,30.72,30.9612770081,30.92,31.1765937805
god,planned,31.02,31.1765937805,31.14,31.5214176178
playing,parents,31.14,31.5214176178,31.42,31.8525924683
parents,dont,31.42,31.8525924683,31.76,31.9434013367
dont,need,31.76,32.0145683289,32.0,32.2813682556
need,birth,32.0,32.2813682556,32.2,32.590133667
birth,got,32.2,32.590133667,32.48,32.7829856873
god,prayers,32.58,32.7829856873,32.74,33.1411972046
prays,out,32.74,33.1411972046,33.12,33.28540802
out,and,33.12,33.28540802,33.28,33.3998184204
and,dont,33.28,33.3998184204,33.4,33.5540122986
dont,see,33.4,33.5540122986,33.56,33.7371444702
see,church,33.56,33.8394813538,33.76,34.2117004395
church,hands,33.76,34.4003219604,34.14,34.7499275208
hands,up,34.3,34.7499275208,34.66,34.8971405029
up,and,34.66,34.8971405029,34.88,34.9782600403
and,they,34.88,34.9782600403,34.98,35.1133880615
they,shoot,34.98,35.1133880615,35.1,35.3436737061
shoot,first,35.1,35.4064598083,35.34,35.7349205017
first,another,35.34,35.7349205017,35.66,35.9908332825
another,young,35.72,35.9908332825,35.92,36.1404075623
young,life,35.92,36.2161407471,36.14,36.5284423828
life,in,36.14,36.5284423828,36.46,36.594707489
in,that,36.46,36.594707489,36.62,36.7694816589
that,black,36.62,36.7694816589,36.72,36.9197273254
black,hurst,36.72,37.0696983337,36.94,37.4018249512
curse,im,36.94,37.4018249512,37.28,37.6012573242
something,too,37.4,37.6012573242,37.56,37.694694519
to,hurt,37.56,37.784954071,37.74,38.0647010803
hurt,im,37.74,38.0647010803,38.04,38.1903648376
im,like,38.14,38.1903648376,38.2,38.3617477417
like,huhhh,38.2,38.3617477417,38.32,38.5697975159
ha,yall,38.38,38.413230896,38.46,38.6072807312
y,better,38.46,38.6719665527,38.56,38.8487930298
all,come,38.56,38.8487930298,38.6,39.0253257751
better,my,38.6,39.0253257751,38.76,39.2420005798
come,way,38.76,39.2420005798,39.0,39.4840812683
my,yall,39.0,39.590221405,39.16,39.8522491455
way,better,39.16,39.8522491455,39.44,40.0351448059
y,come,39.54,40.0351448059,39.74,40.3987236023
all,way,39.74,40.3987236023,39.78,40.5938453674
better,okay,39.78,40.5938453674,39.94,40.9416770935
come,and,39.94,40.9416770935,40.18,41.1105270386
my,say,40.18,41.1105270386,40.38,41.5476341248
way,yall,40.38,41.5476341248,40.56,41.8435134888
oh,better,40.66,41.8435134888,40.8,42.0195808411
peyton,come,40.8,42.0195808411,41.14,42.196056366
say,my,41.14,42.196056366,41.38,42.3852729797
y,way,41.64,42.3852729797,41.74,42.7183685303
all,im,41.74,42.8398857117,41.78,43.0359840393
better,gonna,41.78,43.0359840393,41.96,43.2067871094
come,make,41.96,43.2067871094,42.18,43.3916015625
my,a,42.18,43.3916015625,42.38,43.5179367065
way,statement,42.38,43.5179367065,42.64,43.9772033691
ima,day,42.88,43.9772033691,43.16,44.1692428589
make,by,43.16,44.1692428589,43.42,44.3905944824
a,day,43.42,44.3905944824,43.54,44.7905883789
statement,yall,43.54,44.7905883789,43.86,45.0410308838
day,better,43.86,45.0410308838,44.14,45.2063446045
by,come,44.14,45.2063446045,44.3,45.3946342468
day,my,44.3,45.3946342468,44.6,45.574546814
y,way,44.82,45.574546814,44.9,45.841632843
all,yall,44.9,45.9853782654,44.98,46.2283935547
better,better,44.98,46.2283935547,45.14,46.4401931763
come,come,45.14,46.4401931763,45.38,46.6497955322
my,way,45.38,46.807220459,45.56,47.0383682251
way,okay,45.56,47.1492652893,45.78,47.4102478027
y,and,45.92,47.4102478027,46.12,47.5329208374
all,say,46.12,47.5329208374,46.16,48.0177230835
better,yall,46.16,48.0177230835,46.34,48.2260398865
come,better,46.34,48.2260398865,46.56,48.3986816406
my,come,46.56,48.3986816406,46.74,48.594745636
way,my,46.74,48.594745636,46.92,48.7755317688
oh,way,47.02,48.7755317688,47.2,49.0546951294
peyton,im,47.2,49.2461242676,47.46,49.3913574219
say,gonna,47.46,49.3913574219,47.78,49.6037406921
y,make,48.02,49.6037406921,48.12,49.8067245483
all,a,48.12,49.8067245483,48.18,49.9278450012
better,statement,48.18,49.9278450012,48.34,50.3916625977
come,day,48.34,50.3916625977,48.54,50.6049308777
my,by,48.54,50.6049308777,48.76,50.8312835693
way,day,48.76,50.8312835693,48.98,51.1991043091
ima,peace,49.18,51.1991043091,49.54,51.433506012
make,signs,49.54,51.433506012,49.82,51.6024208069
a,peace,49.82,51.6024208069,49.94,51.7521705627
statement,signs,49.94,51.7521705627,50.26,52.0394744873
day,up,50.26,52.0394744873,50.52,52.215511322
by,put,50.52,52.4003143311,50.72,52.5130805969
day,em,50.72,52.5130805969,51.0,52.5965232849
peace,in,51.2,52.5965232849,51.4,52.6678657532
out,the,51.4,52.6678657532,51.54,52.7660865784
peace,air,51.6,52.7660865784,51.76,52.9804153442
signs,and,51.76,52.9804153442,51.98,53.1781921387
up,go,51.98,53.1781921387,52.24,53.3441619873
put,rise,52.36,53.3441619873,52.5,53.6735801697
them,up,52.5,53.6735801697,52.58,53.8253059387
in,yeah,52.58,53.9899177551,52.7,54.3914299011
there,peace,52.7,54.3914299011,52.96,54.6261405945
aint,signs,52.96,54.6261405945,53.2,54.8704032898
gon,peace,53.2,54.8704032898,53.3,55.065738678
rise,signs,53.4,55.065738678,53.56,55.2670402527
up,up,53.56,55.2670402527,53.78,55.4367332458
peace,put,53.9,55.6034545898,54.5,55.7232437134
sign,em,54.5,55.7232437134,54.74,55.8221359253
peace,in,54.84,55.8221359253,54.94,55.9201583862
signs,the,54.94,55.9201583862,55.18,55.9900436401
up,air,55.18,55.9900436401,55.42,56.1935348511
put,and,55.54,56.1935348511,55.72,56.3922538757
them,go,55.72,56.3922538757,55.84,56.547580719
in,rise,55.84,56.547580719,55.92,56.7893943787
there,up,55.92,56.7893943787,56.14,57.0171432495
aint,yeah,56.16,57.2262573242,56.44,57.5894126892
gon,peace,56.44,57.5894126892,56.52,57.7972259521
rise,signs,56.62,57.7972259521,56.76,58.0221176147
up,peace,56.76,58.0221176147,56.98,58.2084655762
peace,signs,57.12,58.2084655762,57.4,58.4686965942
sign,up,57.4,58.4686965942,57.92,58.6296615601
peace,put,58.04,58.8146018982,58.12,58.9025917053
signs,em,58.12,58.9025917053,58.38,59.0056114197
up,in,58.38,59.0056114197,58.6,59.0911903381
put,the,58.74,59.0911903381,58.9,59.1617660522
them,air,58.9,59.1617660522,59.0,59.4171981812
in,and,59.0,59.4171981812,59.12,59.6027526855
there,go,59.12,59.6027526855,59.3,59.82081604
aint,rise,59.32,59.82081604,59.64,60.0261611938
gon,up,59.64,60.0261611938,59.74,60.238368988
rise,yeah,59.82,60.4195785522,59.98,60.8103942871
up,peace,59.98,60.8103942871,60.22,61.0044021606
peace,signs,60.34,61.0044021606,60.56,61.2119941711
sign,peace,60.56,61.2119941711,61.14,61.420211792
peace,signs,61.28,61.420211792,61.32,61.6584701538
signs,up,61.32,61.6584701538,61.58,61.8492507935
up,put,61.58,61.9774780273,61.82,62.1067428589
put,em,61.96,62.1067428589,62.12,62.2043647766
them,in,62.12,62.2043647766,62.22,62.2926521301
in,the,62.22,62.2926521301,62.34,62.3620452881
there,air,62.34,62.3620452881,62.5,62.6041221619
aint,and,62.5,62.6041221619,62.84,62.7972831726
gon,go,62.84,62.7972831726,62.92,62.9768600464
rise,rise,63.02,62.9768600464,63.16,63.1832351685
up,up,63.16,63.1832351685,63.42,63.4361915588
live,yeah,63.54,63.573223114,63.88,64.5648956299
in,live,63.88,67.1109085083,67.48,67.3955307007
a,in,67.48,67.3955307007,67.58,67.4750518799
time,a,67.58,67.4750518799,67.76,67.5854568481
of,time,67.76,67.5854568481,67.94,67.8241958618
true,in,67.94,67.8241958618,68.12,67.9171600342
greed,true,68.12,67.9171600342,68.44,68.2339859009
we,greed,68.52,68.2339859009,68.6,68.5194473267
got,we,68.6,68.5194473267,68.72,68.6048660278
kids,got,68.72,68.6048660278,69.02,68.7788009644
here,kids,69.02,68.7788009644,69.26,69.1204986572
cant,here,69.34,69.1204986572,69.58,69.2688293457
write,who,69.58,69.2688293457,69.72,69.3564910889
and,cant,69.72,69.3564910889,69.86,69.5767211914
read,write,69.86,69.5767211914,70.04,69.7824554443
im,and,70.16,69.7824554443,70.22,69.8878707886
like,read,70.22,69.8878707886,70.38,70.1006546021
ha,im,70.46,70.1006546021,70.56,70.1817245483
disgust,like,71.18,70.1817245483,71.68,70.3438110352
for,huhhh,71.68,70.3438110352,71.82,70.6416320801
that,disgust,71.82,71.1843795776,71.96,71.7783126831
mistrust,for,71.96,71.7783126831,72.48,71.8338699341
say,that,72.62,71.8338699341,72.74,71.9738769531
one,mistrust,72.74,72.0282363892,72.96,72.6014328003
word,say,72.96,72.6014328003,73.26,72.7336044312
in,one,73.26,72.7928085327,73.4,73.0736923218
your,word,73.4,73.0736923218,73.52,73.3143615723
handcuff,and,73.52,73.3143615723,74.06,73.4105148315
dont,your,74.2,73.4105148315,74.34,73.592048645
call,handcuffed,74.34,73.592048645,74.54,74.1654815674
bluff,dont,74.54,74.1654815674,74.82,74.3826065063
and,call,74.82,74.3826065063,75.0,74.6639556885
youll,bluff,75.0,74.6639556885,75.14,74.8978424072
get,and,75.14,74.8978424072,75.3,75.0047988892
struck,youll,75.3,75.0047988892,75.6,75.1151046753
and,get,75.6,75.1960525513,75.82,75.2892532349
you,struck,75.82,75.3558197021,75.92,75.6803970337
you,and,75.92,75.6803970337,75.94,75.7879562378
aint,youre,75.94,75.7879562378,76.24,75.9999084473
cool,in,76.24,75.9999084473,76.46,76.2569122314
i,court,76.66,76.2569122314,76.72,76.6039505005
live,like,76.72,76.6039505005,77.8,76.8074417114
life,huhhh,77.8,76.8074417114,78.1,76.9828567505
with,live,78.1,77.6049194336,78.22,77.8703994751
no,life,78.22,77.8703994751,78.36,78.1281967163
limits,with,78.36,78.1281967163,78.74,78.2244415283
my,no,79.22,78.2244415283,79.34,78.3752441406
way,limits,79.34,78.3752441406,79.64,78.8462600708
no,my,79.8,79.2121734619,79.9,79.4596405029
gimmicks,way,79.9,79.4596405029,80.34,79.7698440552
pro,no,80.82,79.7698440552,80.98,79.9608535767
