whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
ich,ich,14.7,15.4238548279,15.52,15.5689792633
träum,träume,15.52,15.683265686,15.86,15.9314289093
den,den,15.86,15.9314289093,16.0,16.1110210419
ganzen,ganzen,16.0,16.1110210419,16.36,16.5616321564
tag,tag,16.36,16.5616321564,16.84,16.8634929657
von,von,16.84,17.0089797974,17.14,17.2669391632
dir,dir,17.14,17.2669391632,17.52,17.6994094849
oh,oh,18.22,18.9126529694,19.04,19.0868034363
bitte,bitte,19.04,19.1608161926,19.46,19.8443546295
glaube,glaube,19.96,19.9477558136,20.34,20.5681629181
mir,mir,20.34,20.5681629181,20.74,21.2375507355
ich,ich,21.36,21.5597286224,21.66,21.7665309906
weiß,weiß,21.66,21.7665309906,22.02,22.2138767242
nicht,nicht,22.02,22.2138767242,22.64,22.7301578522
warum,warum,22.96,25.0253067017,25.3,25.6101589203
warum,du,25.3,29.6424484253,25.46,29.8448982239
du,bist,28.9,29.8448982239,29.7,30.4065303802
bist,so,29.7,30.4065303802,30.3,30.5719718933
so,weit,30.3,30.6873474121,30.64,30.9072113037
weit,weg,30.64,31.0987758636,30.94,31.3164634705
weg,ich,30.94,31.4612236023,31.34,32.0065307617
ich,fühle,31.56,32.0065307617,31.92,32.5485725403
fühle,mich,31.92,32.5485725403,32.38,32.9991836548
mich,wien,32.38,32.9991836548,32.74,33.14503479
wie,stück,32.74,33.2734680176,33.06,33.5804100037
ein,dreck,33.06,33.5804100037,33.22,34.0636749268
stück,ich,33.22,35.4089813232,33.42,35.496055603
dreck,weiß,33.42,35.5951004028,33.96,35.9401359558
ich,nicht,34.78,36.0605888367,35.46,36.5561904907
weiß,warum,35.46,38.9050331116,35.86,39.4013595581
nicht,in,35.86,43.1738777161,36.42,43.3730621338
warum,meinem,36.42,43.3730621338,39.1,43.7057609558
in,kopf,42.099999999999994,43.8367347717,43.26,44.3385047913
meinem,dreht,43.26,44.9795913696,43.68,45.1337852478
kopf,sich,43.68,45.263671875,44.26,45.7200889587
dreht,alles,44.26,45.8057136536,45.22,46.6140594482
sich,nur,45.22,46.7232666016,45.5,46.8462600708
alles,um,45.5,46.9551010132,46.18,47.1085700989
nur,dich,46.18,47.1085700989,46.8,47.7053985596
